parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,chains,draws_per_chain,warmup_per_chain,adapt_delta,divergences,max_depth_hits,min_bfmi,passed
"natural[81,4]",2.27368,0.00349979,0.513704,0.502939,1.4648,2.25502,3.14072,21945.2,13170.7,6.83315,1.00017,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[82,1]",0.810912,0.00105968,0.151363,0.147262,0.50843,0.847279,0.986139,18750.4,11588.6,5.83837,1.00021,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[82,2]",1.26811,0.00203214,0.291464,0.286443,0.838597,1.24135,1.78402,20730.5,12544.7,6.45491,1.00016,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[82,3]",0.00886507,7.3477e-05,0.0104928,0.00589808,0.000297429,0.00511839,0.0303816,20773.3,11699.5,6.46825,1.00002,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[82,4]",2.63946,0.00532953,0.776414,0.764635,1.42646,2.59788,3.97744,22218.9,12066.5,6.91834,1.00013,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[83,1]",0.0382301,0.000327877,0.0414406,0.0263719,0.00167985,0.0240971,0.123055,14538.0,12108.4,4.52674,1.00007,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[83,2]",0.88627,0.00327384,0.398858,0.32387,0.405838,0.802591,1.66194,15413.7,12472.2,4.79942,1.00023,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[83,3]",0.468584,0.00210089,0.247007,0.286799,0.0882018,0.453061,0.893784,12806.2,10331.5,3.98751,1.00016,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[83,4]",2.2796,0.00497441,0.753734,0.748759,1.07524,2.25798,3.55453,22980.1,12841.2,7.15538,1.00059,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[84,1]",0.492462,0.00259867,0.258912,0.29858,0.0708428,0.479176,0.9225,9532.45,7831.24,2.96815,1.00003,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[84,2]",0.406918,0.00183775,0.200377,0.189494,0.126862,0.381264,0.767437,10796.8,9493.37,3.36183,1.00021,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[84,3]",0.0354425,0.00072434,0.0675143,0.0196936,0.000743607,0.0161082,0.121664,9650.92,11124.8,3.00503,1.00046,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[84,4]",0.557228,0.00344343,0.509695,0.501769,-0.280563,0.550436,1.40215,21986.7,13824.2,6.84606,1.00013,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[85,1]",0.724596,0.00280444,0.182395,0.167794,0.370381,0.75866,0.954838,5459.04,3582.88,1.6998,1.00019,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[85,2]",0.5472,0.00249155,0.188565,0.186134,0.239701,0.541436,0.865788,5525.83,4643.64,1.72059,1.00062,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[85,3]",0.299362,0.00159106,0.119765,0.100214,0.100714,0.294555,0.500945,5660.29,3108.19,1.76246,1.00012,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[85,4]",1.28862,0.00466443,0.484266,0.476653,0.518245,1.27319,2.1102,10809.0,11625.1,3.36562,1.0005,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[86,1]",0.133128,0.00125997,0.115624,0.0728572,0.0161322,0.103872,0.346839,8251.47,7057.02,2.56928,1.0001,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[86,2]",0.474864,0.0026383,0.274996,0.257386,0.131065,0.425051,0.997787,8687.41,8172.39,2.70502,1.00068,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[86,3]",0.120635,0.00163375,0.145297,0.0682749,0.00738552,0.0732657,0.421201,8553.26,9693.9,2.66325,1.00009,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[86,4]",1.80892,0.00333998,0.484104,0.481618,1.04409,1.79261,2.62771,21029.4,12954.5,6.54798,1.00009,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[87,1]",0.357946,0.00216695,0.23709,0.237638,0.0217873,0.322535,0.818085,11054.9,7904.77,3.44219,1.00028,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[87,2]",0.352446,0.00190863,0.194431,0.175456,0.0992386,0.319108,0.724007,9212.47,9429.38,2.86851,1.00013,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[87,3]",0.0339197,0.000940795,0.0819852,0.0150369,0.000762143,0.0127969,0.109447,9645.3,9799.42,3.00328,1.00022,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[87,4]",1.03583,0.00357928,0.526927,0.518357,0.186628,1.02704,1.92521,21800.8,13339.9,6.78818,1.00001,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[88,1]",0.368766,0.000877752,0.0939736,0.0825787,0.23794,0.357836,0.536297,13164.0,11415.3,4.09891,1.00057,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[88,2]",1.28429,0.00315343,0.395148,0.392151,0.696617,1.24844,1.97534,14397.6,10727.7,4.483,1.00041,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[88,3]",0.0728058,0.000247161,0.0286514,0.0258869,0.027823,0.0713097,0.121848,12905.5,8690.82,4.01841,1.00051,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
"natural[88,4]",1.31091,0.00365922,0.533403,0.526241,0.45779,1.2943,2.21191,21291.4,12408.3,6.62955,1.00006,N111_H8_zero_full,111,4,4000,3000,0.99,0,0,0.6927154024253648,True
