run,model,category,label,measure,n_subjects,observed,mean,median,ci_low,ci_high,partner,offer_pair,zero_option,residual_high,posterior_fit_window
H8_full_age,H8,offer,friend:0-8,high_probability,111,0.8603603603603603,0.526554054054054,0.5262762762762763,0.4778340840840841,0.5754692192192191,friend,0-8,zero,0.33380630630630637,full_age
H8_full_age,H8,offer,friend:2-4,high_probability,111,0.7897897897897899,0.5186961961961962,0.5191441441441442,0.46996996996997,0.5657094594594595,friend,2-4,positive_positive,0.27109359359359364,full_age
H8_full_age,H8,offer,friend:2-8,high_probability,111,0.7037859287859289,0.5344358644358644,0.5332475332475333,0.4992130523380523,0.5675544294294294,friend,2-8,positive_positive,0.1693500643500645,full_age
H8_full_age,H8,offer,friend:4-8,high_probability,111,0.6373873873873874,0.5286461461461461,0.5292792792792793,0.4800863363363363,0.5717154654654654,friend,4-8,positive_positive,0.1087412412412413,full_age
H8_full_age,H8,offer,stranger:0-2,high_probability,111,0.7575075075075076,0.5275525525525525,0.527027027027027,0.4744369369369369,0.5759009009009008,stranger,0-2,zero,0.2299549549549551,full_age
H8_full_age,H8,offer,stranger:0-4,high_probability,111,0.7064564564564564,0.5512237237237237,0.551051051051051,0.5030030030030029,0.5919857357357355,stranger,0-4,zero,0.15523273273273264,full_age
H8_full_age,H8,offer,stranger:0-8,high_probability,111,0.5893393393393394,0.5673198198198198,0.5690690690690691,0.5179804804804805,0.6152965465465465,stranger,0-8,zero,0.022019519519519526,full_age
H8_full_age,H8,offer,stranger:2-4,high_probability,111,0.4782282282282282,0.5246321321321322,0.524024024024024,0.4740052552552552,0.5732545045045044,stranger,2-4,positive_positive,-0.04640390390390403,full_age
H8_full_age,H8,offer,stranger:2-8,high_probability,111,0.392996567996568,0.5433773058773058,0.5434148434148434,0.5101083226083226,0.5726914414414414,stranger,2-8,positive_positive,-0.1503807378807378,full_age
H8_full_age,H8,offer,stranger:4-8,high_probability,111,0.3288288288288288,0.5388338338338339,0.5390390390390389,0.4887012012012012,0.5859797297297298,stranger,4-8,positive_positive,-0.21000500500500507,full_age
H8_full_age,H8,offer,computer:0-2,high_probability,111,0.6584084084084084,0.5247597597597599,0.5247747747747747,0.4698948948948949,0.5747184684684684,computer,0-2,zero,0.13364864864864856,full_age
H8_full_age,H8,offer,computer:0-4,high_probability,111,0.6006006006006005,0.5397572572572572,0.5397897897897898,0.4946696696696697,0.5870870870870871,computer,0-4,zero,0.06084334334334329,full_age
H8_full_age,H8,offer,computer:0-8,high_probability,111,0.5157657657657657,0.5401001001001,0.5394144144144144,0.4868430930930931,0.5893768768768769,computer,0-8,zero,-0.024334334334334295,full_age
H8_full_age,H8,offer,computer:2-4,high_probability,111,0.4872372372372372,0.5207257257257257,0.521021021021021,0.4770457957957958,0.5653153153153153,computer,2-4,positive_positive,-0.03348848848848851,full_age
H8_full_age,H8,offer,computer:2-8,high_probability,111,0.3788610038610038,0.5512487487487487,0.5497908622908623,0.5189698627198627,0.5872975654225654,computer,2-8,positive_positive,-0.17238774488774494,full_age
H8_full_age,H8,offer,computer:4-8,high_probability,111,0.3498498498498498,0.5343343343343343,0.5349099099099099,0.4868430930930931,0.5814752252252252,computer,4-8,positive_positive,-0.1844844844844845,full_age
