run_zero,model,variant_zero,participant_id,parameter,probability_positive_zero,mean_zero,median_zero,ci_low_zero,ci_high_zero,run_base,variant_base,probability_positive_base,mean_base,median_base,ci_low_base,ci_high_base,change_posterior_mean
N111_H5_zero_full,H5,zero,sub-10478,theta,1.0,4.711716421813262,4.364125177,1.70921545545,9.587452914475,N111_H5_base_full,base,1.0,9.205989270572374,8.864725268499999,3.813084186375,16.547474291249998,-4.494272848759112
N111_H5_zero_full,H5,zero,sub-10486,alpha,1.0,0.0924351115098377,0.06357863201,0.006163690045625,0.34813832973,N111_H5_base_full,base,1.0,0.0879299083779827,0.06377249813,0.00622231511915,0.3183028494524998,0.004505203131854998
N111_H5_zero_full,H5,zero,sub-10486,kappa,1.0,0.1710755442985915,0.1538036403,0.0383093383739999,0.4024063711949999,N111_H5_base_full,base,1.0,0.1280876075911706,0.11752583355,0.038829771926,0.27575730406,0.042987936707420904
N111_H5_zero_full,H5,zero,sub-10486,theta,1.0,7.272760217324168,7.0988260355,2.91158506365,12.646828813,N111_H5_base_full,base,1.0,11.417150103535626,11.183285665,5.28839045155,18.74175451325,-4.144389886211457
N111_H5_zero_full,H5,zero,sub-10529,alpha,1.0,0.0818940083749744,0.05531780439,0.006309347978575,0.3276105538924999,N111_H5_base_full,base,1.0,0.1006749679531108,0.077546740455,0.009537487771175,0.332550015265,-0.0187809595781364
N111_H5_zero_full,H5,zero,sub-10529,kappa,1.0,0.3070758180142346,0.25487840865,0.0314900007815,0.84964086024,N111_H5_base_full,base,1.0,0.0829966965158523,0.06787340178,0.01821083788975,0.2343632904124999,0.22407912149838233
N111_H5_zero_full,H5,zero,sub-10529,theta,1.0,2.803082418286741,1.893965198,0.3987241799725,9.345386344224996,N111_H5_base_full,base,1.0,8.677670159410917,8.269488058,2.374311576475,17.274301347999998,-5.874587741124176
N111_H5_zero_full,H5,zero,sub-10541,alpha,1.0,0.1445932527418541,0.1055008558,0.0105512245285,0.5086353175,N111_H5_base_full,base,1.0,0.1313082256557343,0.1022419512,0.01108029697825,0.4235073107599997,0.01328502708611981
N111_H5_zero_full,H5,zero,sub-10541,kappa,1.0,0.115303106069105,0.08215626574,0.0124779767405,0.3908215920399998,N111_H5_base_full,base,1.0,0.0525812373963487,0.04244164556,0.0107719164495,0.1574753452349999,0.06272186867275631
N111_H5_zero_full,H5,zero,sub-10541,theta,1.0,3.9788377341933736,3.2549059245,0.2122736077025,11.251760760249995,N111_H5_base_full,base,1.0,9.20107177471874,8.8980418005,2.0787572078500003,18.301353672,-5.222234040525366
N111_H5_zero_full,H5,zero,sub-10555,alpha,1.0,0.3765866774342574,0.37041518425,0.05409934547975,0.7431587125674999,N111_H5_base_full,base,1.0,0.3580527872878836,0.3461145395,0.03688120552725,0.7745761874549999,0.0185338901463738
N111_H5_zero_full,H5,zero,sub-10555,kappa,1.0,0.4262397170359706,0.37404719955,0.03980179501175,1.1140410423999998,N111_H5_base_full,base,1.0,0.2202088280696205,0.1598416597,0.0169691556045,0.7201506154099998,0.20603088896635008
N111_H5_zero_full,H5,zero,sub-10555,theta,1.0,2.5727616575428085,1.8197162105,0.1680358530675,8.793813968249998,N111_H5_base_full,base,1.0,5.583274434827008,4.562860034,0.6525247230275,15.314482979749998,-3.010512777284199
N111_H5_zero_full,H5,zero,sub-10559,alpha,1.0,0.0523319240330654,0.0506935930099999,0.01056249715225,0.104887788215,N111_H5_base_full,base,1.0,0.0566588402629528,0.0546073529649999,0.01105270763975,0.115083257105,-0.004326916229887401
N111_H5_zero_full,H5,zero,sub-10559,kappa,1.0,2.666971861450988,2.591105297,1.574748131275,4.172752439175,N111_H5_base_full,base,1.0,2.260121178507557,2.1999880745,1.392965487425,3.4756251977749995,0.4068506829434311
N111_H5_zero_full,H5,zero,sub-10559,theta,1.0,0.2216938633739715,0.21937265715,0.0051175158681499,0.4898117916224999,N111_H5_base_full,base,1.0,0.2063286536969723,0.19652747265,0.0005421758937599,0.50619701674,0.015365209676999225
N111_H5_zero_full,H5,zero,sub-10572,alpha,1.0,0.023893000781611,0.018505175775,0.002366305980975,0.0748224781867499,N111_H5_base_full,base,1.0,0.0702533602796251,0.0514642435,0.005597627672975,0.2499604122649999,-0.046360359498014106
N111_H5_zero_full,H5,zero,sub-10572,kappa,1.0,1.3628209567564813,1.350279697,0.7625083137625,2.043374552475,N111_H5_base_full,base,1.0,0.4514762002420331,0.446085275,0.03149687434375,0.8942910600599999,0.9113447565144481
N111_H5_zero_full,H5,zero,sub-10572,theta,1.0,0.1549424943989315,0.137815436,0.004806333910175,0.40298540798,N111_H5_base_full,base,1.0,0.6136203537047491,0.25521851875,0.002497970202025,4.811478679274996,-0.4586778593058176
N111_H5_zero_full,H5,zero,sub-10581,alpha,1.0,0.0503741828667052,0.042124364025,0.005770086768225,0.1414246857849999,N111_H5_base_full,base,1.0,0.062352930662568,0.051864028915,0.005712416364025,0.1805837619924999,-0.011978747795862804
N111_H5_zero_full,H5,zero,sub-10581,kappa,1.0,0.7870319056369394,0.7749822446500001,0.2009068648125,1.4595883826749998,N111_H5_base_full,base,1.0,0.3977136472795937,0.36366404355,0.0620810071205,0.93394306083,0.3893182583573457
N111_H5_zero_full,H5,zero,sub-10581,theta,1.0,1.6451511359975812,1.3606972819999998,0.6687847133025,4.528111893474997,N111_H5_base_full,base,1.0,3.942747587566844,2.8579418050000003,1.0813307199750002,12.1788219035,-2.2975964515692624
N111_H5_zero_full,H5,zero,sub-10584,alpha,1.0,0.0511805384517032,0.04430962876,0.0068696934145,0.1375715010999999,N111_H5_base_full,base,1.0,0.1014997718311888,0.07748196397,0.0105079008775,0.3449493214799999,-0.0503192333794856
N111_H5_zero_full,H5,zero,sub-10584,kappa,1.0,1.0541995396556187,1.043482613,0.568038556525,1.5969313101749998,N111_H5_base_full,base,1.0,0.4575286899734853,0.4500778039499999,0.1397412035075,0.8147099962675,0.5966708496821335
N111_H5_zero_full,H5,zero,sub-10584,theta,1.0,0.0606062711389772,0.04127822799,0.001494633910875,0.227052694555,N111_H5_base_full,base,1.0,0.1383851235574661,0.059420161565,0.000546576434595,0.5371954173499999,-0.07777885241848889
N111_H5_zero_full,H5,zero,sub-10585,alpha,1.0,0.1320466428023088,0.10602162765,0.01319833987575,0.400357191715,N111_H5_base_full,base,1.0,0.1163386136432848,0.09367974578,0.0095239326084,0.3452809461675,0.015708029159024
N111_H5_zero_full,H5,zero,sub-10585,kappa,1.0,0.1799474026304257,0.1526803949,0.040052203263,0.4643655036049999,N111_H5_base_full,base,1.0,0.0984425280511217,0.086554112075,0.030881976866,0.2347159090374999,0.08150487457930398
N111_H5_zero_full,H5,zero,sub-10585,theta,1.0,5.023108915719918,4.6405634375,1.4553801397,10.59023830175,N111_H5_base_full,base,1.0,9.660914070915938,9.3576689065,3.69239270525,17.394525896999998,-4.63780515519602
N111_H5_zero_full,H5,zero,sub-10589,alpha,1.0,0.0631223347975447,0.04429736118,0.005078904475325,0.2372620013099999,N111_H5_base_full,base,1.0,0.0909235664596534,0.07070921747,0.007617965480125,0.2952369332124999,-0.027801231662108697
N111_H5_zero_full,H5,zero,sub-10589,kappa,1.0,0.3502832503169535,0.29502575005,0.05523451946175,0.91226854463,N111_H5_base_full,base,1.0,0.11720201802149,0.1024132633,0.0362866331845,0.2827459452999998,0.23308123229546351
N111_H5_zero_full,H5,zero,sub-10589,theta,1.0,3.6269585897459,2.988087276,0.959663459745,9.399970784625,N111_H5_base_full,base,1.0,9.233146467850313,8.8721654725,3.32118154245,17.28431695325,-5.6061878781044125
N111_H5_zero_full,H5,zero,sub-10590,alpha,1.0,0.09608795778885,0.08880793162,0.01583384484375,0.2244507685324999,N111_H5_base_full,base,1.0,0.1554778807552355,0.1417877552,0.0250484478205,0.3592353095699999,-0.0593899229663855
N111_H5_zero_full,H5,zero,sub-10590,kappa,1.0,1.294418793867831,1.27261234,0.574604865,2.1250472322,N111_H5_base_full,base,1.0,0.6649240085108656,0.64471706775,0.201952672175,1.2463476376999998,0.6294947853569655
N111_H5_zero_full,H5,zero,sub-10590,theta,1.0,1.847459467658244,1.633468565,0.8935219026475,4.110685965325,N111_H5_base_full,base,1.0,4.151779739900919,3.4901107435,1.511854234425,10.323284686999996,-2.3043202722426743
N111_H5_zero_full,H5,zero,sub-10596,alpha,1.0,0.0811010640901126,0.059750320375,0.007327774187,0.2869426152075,N111_H5_base_full,base,1.0,0.0699961407760365,0.0529750409349999,0.005527343132825,0.2337964667274999,0.011104923314076101
N111_H5_zero_full,H5,zero,sub-10596,kappa,1.0,0.2073627126026431,0.1909072383,0.06822262903825,0.4379378178949999,N111_H5_base_full,base,1.0,0.1342601705046943,0.12385840455,0.05196094860275,0.2753584549275,0.07310254209794881
N111_H5_zero_full,H5,zero,sub-10596,theta,1.0,6.378094595068749,6.1591336275,2.702672366775,11.279868936499998,N111_H5_base_full,base,1.0,10.939348719985876,10.68452014,5.1514676482,18.047417825,-4.561254124917127
N111_H5_zero_full,H5,zero,sub-10603,alpha,1.0,0.0797059811144303,0.07007858935,0.011957130856,0.2027328461724999,N111_H5_base_full,base,1.0,0.0697205075426432,0.061602157315,0.00877733632445,0.180905307935,0.009985473571787098
N111_H5_zero_full,H5,zero,sub-10603,kappa,1.0,0.5693414837335878,0.550107755,0.109778062645,1.144750607425,N111_H5_base_full,base,1.0,0.6103663048137775,0.60482934245,0.09069950249,1.1443265422499995,-0.04102482108018968
N111_H5_zero_full,H5,zero,sub-10603,theta,1.0,1.7757011051668563,1.392200501,0.628582395605,5.426704613875,N111_H5_base_full,base,1.0,1.6040265184785232,1.204889004,0.602396884075,6.202553702724989,0.17167458668833313
N111_H5_zero_full,H5,zero,sub-10606,alpha,1.0,0.0951529266717824,0.06976646861,0.005762121610675,0.3257146390125,N111_H5_base_full,base,1.0,0.0881859805912654,0.06745190232,0.0059525852668,0.2919782523974999,0.006966946080517011
N111_H5_zero_full,H5,zero,sub-10606,kappa,1.0,0.1656205088249218,0.1546747453499999,0.05674740207175,0.3355519430149999,N111_H5_base_full,base,1.0,0.1217198122355268,0.1149525550999999,0.0514830078742499,0.230892380445,0.043900696589394994
N111_H5_zero_full,H5,zero,sub-10606,theta,1.0,8.220519097543686,8.0790807995,4.084037505825,13.34385543375,N111_H5_base_full,base,1.0,12.918678952284129,12.72248769,7.06102660995,19.863667620999998,-4.698159854740442
N111_H5_zero_full,H5,zero,sub-10608,alpha,1.0,0.0366274717462513,0.02412254144,0.001798006037675,0.1424936670025,N111_H5_base_full,base,1.0,0.0642037813152296,0.0464823768599999,0.003831879906525,0.2184125407225,-0.027576309568978295
N111_H5_zero_full,H5,zero,sub-10608,kappa,1.0,4.325868650399888,4.0883888175,1.825783135275,8.0936932182,N111_H5_base_full,base,1.0,2.2838719412587687,2.166037893,0.96319798382,4.304026746825,2.0419967091411197
N111_H5_zero_full,H5,zero,sub-10608,theta,1.0,2.482075699199644,2.1421396725,0.83118612114,5.984282536924999,N111_H5_base_full,base,1.0,4.318772526769657,3.8408344585,1.3132035992250002,9.827215761674996,-1.8366968275700133
N111_H5_zero_full,H5,zero,sub-10617,alpha,1.0,0.1238127474007904,0.08326066501,0.008593098226,0.4748429495799995,N111_H5_base_full,base,1.0,0.1367253624443219,0.1005487157499999,0.01080097454575,0.4674175970199999,-0.0129126150435315
N111_H5_zero_full,H5,zero,sub-10617,kappa,1.0,0.3133914713979647,0.24212360625,0.027775085958,0.94174281951,N111_H5_base_full,base,1.0,0.1038148004761964,0.0771439245349999,0.01497086600175,0.3479822105049999,0.2095766709217683
N111_H5_zero_full,H5,zero,sub-10617,theta,1.0,2.92700011967798,2.071184451,0.2019499967675,9.595809990524998,N111_H5_base_full,base,1.0,7.784609927016403,7.3701121585,1.305544868575,16.841660702999995,-4.857609807338423
N111_H5_zero_full,H5,zero,sub-10636,alpha,1.0,0.1047687295149591,0.0805298386449999,0.0081447931189,0.3404547431824999,N111_H5_base_full,base,1.0,0.0907274951703761,0.06985285204,0.0064050723767,0.2957350326624999,0.014041234344583
N111_H5_zero_full,H5,zero,sub-10636,kappa,1.0,0.1490746895444867,0.13900811255,0.0505012769785,0.3051543361874999,N111_H5_base_full,base,1.0,0.1143937392131143,0.10715901675,0.0467222589482499,0.2221521059749998,0.03468095033137239
N111_H5_zero_full,H5,zero,sub-10636,theta,1.0,7.585900614510888,7.4143232295,3.62772388935,12.61512846325,N111_H5_base_full,base,1.0,12.127510882905188,11.91962599,6.262513428075,19.241125075,-4.5416102683943
N111_H5_zero_full,H5,zero,sub-10638,alpha,1.0,0.0863431880217813,0.063772799025,0.005279170863125,0.2996300723874999,N111_H5_base_full,base,1.0,0.0987950951842539,0.078038776105,0.0071947945879,0.3062791931849999,-0.012451907162472603
N111_H5_zero_full,H5,zero,sub-10638,kappa,1.0,0.155863914461715,0.1450142873,0.05252572620475,0.3203020595475,N111_H5_base_full,base,1.0,0.1247490540262062,0.1180001577,0.0525130438595,0.2357022546624999,0.03111486043550879
N111_H5_zero_full,H5,zero,sub-10638,theta,1.0,8.347786411940062,8.1547391935,4.15367374675,13.458202923999998,N111_H5_base_full,base,1.0,12.828166949359249,12.60758534,7.015413515775,19.95313299525,-4.480380537419187
N111_H5_zero_full,H5,zero,sub-10640,alpha,1.0,0.1639998672269302,0.15944141385,0.0328198231,0.3293857982924999,N111_H5_base_full,base,1.0,0.1567240412794289,0.1524318912,0.03227651399275,0.3179708845075,0.007275825947501285
N111_H5_zero_full,H5,zero,sub-10640,kappa,1.0,1.0359305738712237,1.018732179,0.4532932232775,1.71140541535,N111_H5_base_full,base,1.0,1.0435181870899344,1.026062949,0.5078451493724999,1.6778217922499998,-0.007587613218710709
N111_H5_zero_full,H5,zero,sub-10640,theta,1.0,0.609291315993969,0.5841374022500001,0.2100345523024999,1.1578455130999994,N111_H5_base_full,base,1.0,0.5618604950210272,0.55421275985,0.1752851560525,0.966078969755,0.04743082097294182
N111_H5_zero_full,H5,zero,sub-10641,alpha,1.0,0.0555559068936075,0.04021592803,0.004552604378075,0.1953465780174998,N111_H5_base_full,base,1.0,0.0832610342973771,0.06142661886,0.005849996703075,0.297810522945,-0.027705127403769604
N111_H5_zero_full,H5,zero,sub-10641,kappa,1.0,1.0303352660028493,0.9951585231,0.299737489925,1.9646849832499995,N111_H5_base_full,base,1.0,0.5064975563056668,0.4672030212,0.1228009617675,1.1164553594749995,0.5238377096971825
N111_H5_zero_full,H5,zero,sub-10641,theta,1.0,3.885670587599575,3.6131070275,1.24987987855,8.158438865699999,N111_H5_base_full,base,1.0,7.376606860565275,6.973829732,2.4930699037250004,14.4578527115,-3.4909362729657
N111_H5_zero_full,H5,zero,sub-10642,alpha,1.0,0.023296965140748,0.018741087425,0.002236209650475,0.0692670328757499,N111_H5_base_full,base,1.0,0.0279781242019598,0.022777526015,0.002374605563825,0.08189701844875,-0.0046811590612118
N111_H5_zero_full,H5,zero,sub-10642,kappa,1.0,3.1644745820557185,3.080595743,1.768242622875,5.034226619149999,N111_H5_base_full,base,1.0,2.335881078422075,2.285646004,1.37196282775,3.6092021441,0.8285935036336434
N111_H5_zero_full,H5,zero,sub-10642,theta,1.0,2.620075411226269,2.289462994,0.9773284503625,5.982966780675,N111_H5_base_full,base,1.0,4.258619876188293,3.7540467275,1.35223417415,9.867717587175,-1.638544464962024
N111_H5_zero_full,H5,zero,sub-10644,alpha,1.0,0.0790994930677276,0.0672167406199999,0.0071901962329,0.218264526745,N111_H5_base_full,base,1.0,0.0638865231873439,0.05155225031,0.004847859487725,0.1886496515349999,0.01521296988038369
N111_H5_zero_full,H5,zero,sub-10644,kappa,1.0,1.3706097972854312,1.3418321734999998,0.6728497013375001,2.2430666591,N111_H5_base_full,base,1.0,1.4625468852066124,1.4400067435,0.8031246421624999,2.255833394,-0.09193708792118116
N111_H5_zero_full,H5,zero,sub-10644,theta,1.0,3.855300361350656,3.612259266,1.66323682095,7.380780258275,N111_H5_base_full,base,1.0,4.930349952245944,4.4678903025,1.747386746425,10.55065818925,-1.0750495908952882
N111_H5_zero_full,H5,zero,sub-10647,alpha,1.0,0.0139935157635654,0.01194361471,0.0016858101674,0.0375439952592499,N111_H5_base_full,base,1.0,0.0205967268330341,0.017982350745,0.0024546034801,0.0527954111902499,-0.006603211069468699
N111_H5_zero_full,H5,zero,sub-10647,kappa,1.0,4.89340288961225,4.742388983,2.5986433623000003,8.071379335549999,N111_H5_base_full,base,1.0,2.869991529966137,2.7603299035,1.619129911025,4.730960785499999,2.0234113596461127
N111_H5_zero_full,H5,zero,sub-10647,theta,1.0,0.2964741964148282,0.30965183125,0.091594698589,0.4200625079099999,N111_H5_base_full,base,1.0,0.2754761353374468,0.2963559417,0.01018911662875,0.456258146265,0.02099806107738139
N111_H5_zero_full,H5,zero,sub-10649,alpha,1.0,0.0919592979655783,0.0629472621749999,0.0059580799202,0.3547889972374999,N111_H5_base_full,base,1.0,0.0868005107440649,0.0642462722,0.0062401967660999,0.2949021042874999,0.005158787221513389
N111_H5_zero_full,H5,zero,sub-10649,kappa,1.0,0.1040608962083949,0.094743592565,0.02763342,0.2355030749499999,N111_H5_base_full,base,1.0,0.0818991674039413,0.076575978395,0.0306146603045,0.1629200716549999,0.022161728804453593
N111_H5_zero_full,H5,zero,sub-10649,theta,1.0,7.639240971428719,7.481290513999999,3.123349848275,13.075819391,N111_H5_base_full,base,1.0,12.17530804464375,11.944777055,6.134332825475,19.52199746,-4.5360670732150306
N111_H5_zero_full,H5,zero,sub-10652,alpha,1.0,0.128279485419802,0.083523207625,0.008165646409225,0.4753485716099999,N111_H5_base_full,base,1.0,0.1619851754843432,0.12636324945,0.01281567195175,0.4896796134324999,-0.033705690064541216
N111_H5_zero_full,H5,zero,sub-10652,kappa,1.0,0.3189790426580622,0.25361290105,0.0391222626192499,0.8980609327549999,N111_H5_base_full,base,1.0,0.1030135748568408,0.08577353514,0.02553830095,0.2795883604825,0.2159654678012214
N111_H5_zero_full,H5,zero,sub-10652,theta,1.0,3.2077544250195307,2.3876074155,0.6240653880275,9.4481638769,N111_H5_base_full,base,1.0,8.536827684209886,8.139715598,2.556751036,16.887159686,-5.329073259190356
N111_H5_zero_full,H5,zero,sub-10656,alpha,1.0,0.0318155846552874,0.0248128820449999,0.0029827933159,0.1003180129324999,N111_H5_base_full,base,1.0,0.0561555883435972,0.04755783406,0.005537915196975,0.1548444844074999,-0.024340003688309797
N111_H5_zero_full,H5,zero,sub-10656,kappa,1.0,2.5039800973276,2.4474641615,1.545649536375,3.7771048777,N111_H5_base_full,base,1.0,1.3531930203278248,1.3217925204999998,0.78761531431,2.081102961125,1.1507870769997752
N111_H5_zero_full,H5,zero,sub-10656,theta,1.0,0.1520829258263275,0.14949960735,0.005204669982,0.3293459651875,N111_H5_base_full,base,1.0,0.1674462292820911,0.1555411807,0.0008699921057875,0.4203324714874999,-0.015363303455763616
N111_H5_zero_full,H5,zero,sub-10661,alpha,1.0,0.1188603416555988,0.085556696465,0.0069346986394999,0.4042612395575,N111_H5_base_full,base,1.0,0.0828498287605434,0.060460481275,0.004823839457625,0.2921797485674999,0.0360105128950554
N111_H5_zero_full,H5,zero,sub-10661,kappa,1.0,0.1775404778196,0.1657052555,0.06035521742875,0.3595803294799998,N111_H5_base_full,base,1.0,0.121328066373935,0.1149331701,0.05105194578875,0.2277360706849999,0.056212411445664995
N111_H5_zero_full,H5,zero,sub-10661,theta,1.0,8.0326794587075,7.875278227,3.924244847925,13.062332298499998,N111_H5_base_full,base,1.0,13.032640947154626,12.840775145,7.168216597624999,19.9737516565,-4.999961488447125
N111_H5_zero_full,H5,zero,sub-10663,alpha,1.0,0.0695489475875389,0.064840716905,0.016930743217,0.1522944434875,N111_H5_base_full,base,1.0,0.1529974628431309,0.13943796995,0.047077877995,0.3349980900274999,-0.08344851525559199
N111_H5_zero_full,H5,zero,sub-10663,kappa,1.0,2.2281600490238063,2.191890695,1.3029695479,3.336123011375,N111_H5_base_full,base,1.0,0.9009483012033198,0.88546978955,0.3660229896025,1.535873004325,1.3272117478204866
N111_H5_zero_full,H5,zero,sub-10663,theta,1.0,0.2860874702545029,0.2938278602999999,0.03730436251575,0.4979369646325,N111_H5_base_full,base,1.0,0.3883250484352019,0.3526138646,0.0054712480214,0.9274103157,-0.102237578180699
N111_H5_zero_full,H5,zero,sub-10668,alpha,1.0,0.1076704361436816,0.084175664905,0.01060134710125,0.3387594381399999,N111_H5_base_full,base,1.0,0.0963892039061846,0.0748139161499999,0.00851678938175,0.31654149065,0.011281232237496996
N111_H5_zero_full,H5,zero,sub-10668,kappa,1.0,0.433601253107008,0.3664010208,0.06538061527775,1.1550487319499998,N111_H5_base_full,base,1.0,0.2399098507208531,0.1729910522,0.03129838644275,0.7975685824299998,0.19369140238615487
N111_H5_zero_full,H5,zero,sub-10668,theta,1.0,3.053869980658285,2.457165613,0.6449826484475,8.393430556499998,N111_H5_base_full,base,1.0,6.043956021989653,5.1801376275,1.038644753225,15.2429023595,-2.9900860413313683
N111_H5_zero_full,H5,zero,sub-10673,alpha,1.0,0.0928176327788542,0.0547103084649999,0.006241663408175,0.4190671747299997,N111_H5_base_full,base,1.0,0.1209359861544573,0.08179465215,0.008526882847225,0.4705010573224999,-0.028118353375603103
N111_H5_zero_full,H5,zero,sub-10673,kappa,1.0,0.3133270790485842,0.2844841383,0.018844063208,0.7929426795125,N111_H5_base_full,base,1.0,0.0815604252091311,0.04765897007,0.006507992574625,0.3277908421299995,0.2317666538394531
N111_H5_zero_full,H5,zero,sub-10673,theta,1.0,1.2932250090404,0.5887989258499999,0.0234599431175,7.6265900931999955,N111_H5_base_full,base,1.0,6.23920512567105,5.0915965235,0.1535551972875,17.596868186749994,-4.94598011663065
N111_H5_zero_full,H5,zero,sub-10674,alpha,1.0,0.1003996910352277,0.06940677405,0.005535176610275,0.3586331815149999,N111_H5_base_full,base,1.0,0.0788218592155206,0.058278262375,0.004948124720275,0.2750780301799999,0.0215778318197071
N111_H5_zero_full,H5,zero,sub-10674,kappa,1.0,0.1428134795262237,0.1339840669999999,0.04783235744075,0.2904524665699999,N111_H5_base_full,base,1.0,0.1081265213100931,0.10250542385,0.04579800736025,0.2025437806374999,0.0346869582161306
N111_H5_zero_full,H5,zero,sub-10674,theta,1.0,8.582710788927375,8.414827336,4.297412276725,13.789778490499993,N111_H5_base_full,base,1.0,13.439348704076435,13.219611595,7.50907845395,20.35475972675,-4.85663791514906
N111_H5_zero_full,H5,zero,sub-10677,alpha,1.0,0.0777322273686843,0.063680499615,0.00867313722135,0.2281949641924998,N111_H5_base_full,base,1.0,0.1177800960988852,0.0925751806,0.011749629188,0.3797113327275,-0.0400478687302009
N111_H5_zero_full,H5,zero,sub-10677,kappa,1.0,0.7930219745573989,0.78717049255,0.2229380812475,1.4121634400749998,N111_H5_base_full,base,1.0,0.2794487535354354,0.23660243425,0.02362580962975,0.76673765901,0.5135732210219635
N111_H5_zero_full,H5,zero,sub-10677,theta,1.0,0.7846313575094582,0.6780081212,0.1985639066625,2.01480743845,N111_H5_base_full,base,1.0,3.633949691593146,2.0746282525,0.5593391826674999,13.62964351575,-2.849318334083688
N111_H5_zero_full,H5,zero,sub-10685,alpha,1.0,0.1488837450268794,0.14286954225,0.01772974032575,0.32217858232,N111_H5_base_full,base,1.0,0.1289147420407114,0.12044095855,0.01284806087525,0.2941715532174999,0.019969002986167994
