comparison,sample,metric,n,mean_difference,median_difference,fraction_improved
preference - M2,primary,AICc,111,-21.529772771401564,-14.540482049527476,0.8198198198198198
preference - M2,primary,BIC,111,-17.42910508072803,-10.339973304481788,0.7117117117117117
M5_power - M2_power,primary,AIC,111,-13.23741314261565,-6.092566165120992,0.6846846846846847
M5_power - M2_power,primary,AICc,111,-12.977476117541375,-5.569838892393719,0.6756756756756757
M5_power - M2_power,primary,BIC,111,-10.962216712620883,-3.952371825919329,0.6306306306306306
M5_side - M2_side,primary,AIC,111,-14.990703866636492,-10.954289614419238,0.8468468468468469
M5_side - M2_side,primary,AICc,111,-14.730766841562216,-10.747960500495182,0.8468468468468469
M5_side - M2_side,primary,BIC,111,-12.715507436641726,-8.523472815575929,0.7567567567567568
M5_lapse - M2_lapse,primary,AIC,111,-15.26820660381327,-11.265416440375361,0.8288288288288288
M5_lapse - M2_lapse,primary,AICc,111,-15.008269578738995,-11.059087326451305,0.8288288288288288
M5_lapse - M2_lapse,primary,BIC,111,-12.993010173818504,-8.834599641532037,0.7567567567567568
M7 - preference,primary,AIC,111,1.4800743869935222,0.4517952473381399,0.2702702702702703
M7 - preference,primary,AICc,111,1.4800743869935213,0.4517952473381399,0.2702702702702703
M7 - preference,primary,BIC,111,1.4800743869935222,0.4517952473381399,0.2702702702702703
M0 - M2,sensitivity,AIC,109,0.8708868378557943,-3.760546832198827,0.7247706422018348
M0 - M2,sensitivity,AICc,109,0.6882203423752388,-3.9143929860449873,0.7339449541284404
M0 - M2,sensitivity,BIC,109,-3.6877170996630673,-7.475698547579654,0.8440366972477065
M1 - M2,sensitivity,AIC,109,-0.7285619004737622,-1.999715029306202,0.8256880733944955
M1 - M2,sensitivity,AICc,109,-0.8513665036840625,-2.0991895701741186,0.8348623853211009
M1 - M2,sensitivity,BIC,109,-3.007863869233194,-4.0652379640981025,0.9357798165137615
M2 - M2,sensitivity,AIC,109,0.0,0.0,0.0
M2 - M2,sensitivity,AICc,109,0.0,0.0,0.0
M2 - M2,sensitivity,BIC,109,0.0,0.0,0.0
M5 - M2,sensitivity,AIC,109,-15.072162824197546,-11.265604246804173,0.8440366972477065
M5 - M2,sensitivity,AICc,109,-14.883086835926404,-11.113752394952314,0.8440366972477065
M5 - M2,sensitivity,BIC,109,-12.792860855438114,-8.834787447960863,0.7522935779816514
M6 - M2,sensitivity,AIC,109,-14.293531436867404,-8.539586935689044,0.7889908256880734
M6 - M2,sensitivity,AICc,109,-14.104455448596262,-8.3877350838372,0.7614678899082569
M6 - M2,sensitivity,BIC,109,-12.014229468107969,-6.182611348368326,0.6605504587155964
M7 - M2,sensitivity,AIC,109,-20.821733090462352,-13.66675215935716,0.8348623853211009
M7 - M2,sensitivity,AICc,109,-20.373704281870875,-13.308571193581287,0.7981651376146789
M7 - M2,sensitivity,BIC,109,-16.26312915294348,-10.06347544799884,0.6880733944954128
M8 - M2,sensitivity,AIC,109,-12.445753561864729,-2.287332984652963,0.6330275229357798
M8 - M2,sensitivity,AICc,109,-12.25667757359358,-2.135481132801118,0.6146788990825688
M8 - M2,sensitivity,BIC,109,-10.16645159310529,0.14348381419036116,0.4954128440366973
M0 - M2,complete_ratings,AIC,103,1.097776479364251,-3.760546832198827,0.7184466019417476
M0 - M2,complete_ratings,AICc,103,0.9198918258714247,-3.9143929860449873,0.7184466019417476
M0 - M2,complete_ratings,BIC,103,-3.499280938242642,-7.955490431569601,0.8349514563106796
M1 - M2,complete_ratings,AIC,103,-0.6460465728735268,-1.9997000286874425,0.8155339805825242
M1 - M2,complete_ratings,AICc,103,-0.7656003927027358,-2.0991895701741186,0.8252427184466019
M1 - M2,complete_ratings,BIC,103,-2.9445752816769746,-4.154850983677534,0.9223300970873787
M2 - M2,complete_ratings,AIC,103,0.0,0.0,0.0
M2 - M2,complete_ratings,AICc,103,0.0,0.0,0.0
M2 - M2,complete_ratings,BIC,103,0.0,0.0,0.0
M5 - M2,complete_ratings,AIC,103,-14.941691660166015,-11.246436795222166,0.8446601941747572
M5 - M2,complete_ratings,AICc,103,-14.757799433460349,-11.094584943370322,0.8446601941747572
M5 - M2,complete_ratings,BIC,103,-12.643162951362562,-8.815619996378857,0.7475728155339806
M6 - M2,complete_ratings,AIC,103,-14.763365200446076,-8.613428147211636,0.7766990291262136
M6 - M2,complete_ratings,AICc,103,-14.579472973740415,-8.46157629535979,0.7475728155339806
M6 - M2,complete_ratings,BIC,103,-12.464836491642627,-6.356288833540191,0.6699029126213593
M7 - M2,complete_ratings,AIC,103,-21.118031074247785,-13.66675215935716,0.8446601941747572
M7 - M2,complete_ratings,AICc,103,-20.682544359693075,-13.308571193581287,0.7961165048543689
M7 - M2,complete_ratings,BIC,103,-16.520973656640884,-10.06347544799884,0.6893203883495146
M8 - M2,complete_ratings,AIC,103,-13.01919679897873,-2.287332984652963,0.6310679611650486
M8 - M2,complete_ratings,AICc,103,-12.835304572273065,-2.135481132801118,0.6116504854368932
M8 - M2,complete_ratings,BIC,103,-10.720668090175277,0.14348381419036116,0.49514563106796117
