sample,metric,model_a,model_b,n,mean_difference,median_difference,ci_low,ci_high,p,p_holm
rating_complete_secondary,AIC,M0,M1,103,1.7438230522377778,-2.0000850031687207,0.07832533869239192,3.8230788933823154,0.02773885014893946,0.1386942507446973
rating_complete_secondary,AIC,M0,M2,103,1.097776479364251,-3.760546832198827,-0.7881765237701609,3.295934834032435,0.006643909906324657,0.03986345943794794
rating_complete_secondary,AIC,M0,M3,103,26.63551564815029,15.698335381476937,21.294376537008343,32.19538806421983,2.304810448643206e-16,7.60587448052258e-15
rating_complete_secondary,AIC,M0,M4,103,27.242409721793887,19.066586475145712,21.89008027274159,33.035986709770896,4.808911327804367e-16,1.5388516248973974e-14
rating_complete_secondary,AIC,M0,M5,103,16.03946813953026,10.94257608666652,12.262721319152936,20.1134109220367,1.2111571639178852e-14,3.13843208353756e-13
rating_complete_secondary,AIC,M0,M6,103,15.861141679810329,10.386259016014094,12.471861372841015,19.33904357566756,1.7436503640301655e-12,3.492391808638324e-11
rating_complete_secondary,AIC,M0,M7,103,22.215807553612024,18.933642715208435,17.893557525906516,26.415304289712974,1.120914582094439e-14,3.13843208353756e-13
rating_complete_secondary,AIC,M0,M8,103,14.116973278342982,3.5817175362362264,10.086593426591989,18.54830347775195,1.410542660011457e-07,2.1158139900171853e-06
rating_complete_secondary,AIC,M1,M2,103,-0.6460465728735268,-1.9997000286874425,-1.184200050384031,-0.05819932146802348,1.319085402253717e-07,2.110536643605947e-06
rating_complete_secondary,AIC,M1,M3,103,24.891692595912513,14.046240825279881,19.306337253504196,30.529185830279374,2.1229336599929412e-16,7.217974443976e-15
rating_complete_secondary,AIC,M1,M4,103,25.498586669556115,14.020075671155254,20.00036497909227,31.074601083430622,9.186106517557163e-16,2.755831955267149e-14
rating_complete_secondary,AIC,M1,M5,103,14.295645087292485,10.091948743417355,10.930601312820594,17.953718130163054,1.1208686012634144e-14,3.13843208353756e-13
rating_complete_secondary,AIC,M1,M6,103,14.117318627572551,8.315353600164897,10.909211713080975,17.547098365795524,9.750942899127455e-12,1.8526791508342164e-10
rating_complete_secondary,AIC,M1,M7,103,20.47198450137425,14.606499541669876,16.435427698708576,24.76306131756745,4.34045358866711e-14,1.0417088612801065e-12
rating_complete_secondary,AIC,M1,M8,103,12.373150226105198,1.499583770683003,8.30608748188936,16.854627621965676,2.1992836591530487e-06,3.078997122814268e-05
rating_complete_secondary,AIC,M2,M3,103,25.537739168786036,12.589277289568301,20.120725772545285,31.348925978298855,8.079173398147068e-17,2.9085024233329446e-15
rating_complete_secondary,AIC,M2,M4,103,26.144633242429638,14.836084276067098,20.53299139627128,31.996962335467565,1.955221226967741e-16,6.8432742943870934e-15
rating_complete_secondary,AIC,M2,M5,103,14.941691660166015,11.246436795222166,11.660964008668538,18.715904606710758,8.0314191858540015e-16,2.4897399476147403e-14
rating_complete_secondary,AIC,M2,M6,103,14.763365200446076,8.613428147211636,11.493723654725224,18.16894263806502,2.0862726783468465e-13,4.7984271601977465e-12
rating_complete_secondary,AIC,M2,M7,103,21.118031074247785,13.66675215935716,17.194658737814876,25.348213701589614,2.809361481131886e-15,8.14714829528247e-14
rating_complete_secondary,AIC,M2,M8,103,13.01919679897873,2.287332984652963,8.782006696123453,17.58131201238125,1.0770351759060402e-07,1.8309597990402685e-06
rating_complete_secondary,AIC,M3,M4,103,0.6068940736436006,2.842170943040401e-14,-0.5337256772823441,1.8858608597697473,0.8582575039492427,1.0
rating_complete_secondary,AIC,M3,M5,103,-10.596047508620028,-1.4080134744707067,-16.236463293361663,-5.330445880762947,0.000736933173430973,0.00736933173430973
rating_complete_secondary,AIC,M3,M6,103,-10.77437396833996,-6.236751026409976,-14.240183306524258,-7.542564346755652,6.080220423165381e-10,1.0944396761697687e-08
rating_complete_secondary,AIC,M3,M7,103,-4.419708094538258,-1.7528827317306792,-8.13382378500764,-0.7457067658778854,0.002784882094414816,0.025063938849733344
rating_complete_secondary,AIC,M3,M8,103,-12.51854236980731,-8.63026633659284,-16.058461814878477,-9.18443937339846,1.663043718399202e-12,3.492391808638324e-11
rating_complete_secondary,AIC,M4,M5,103,-11.202941582263628,-0.9472182269127813,-16.905466831753206,-5.907134588651455,5.977410263186446e-05,0.000777063334214238
rating_complete_secondary,AIC,M4,M6,103,-11.381268041983564,-6.537909314766381,-14.509177581301607,-8.299903426358542,8.142729535540355e-13,1.7914004978188783e-11
rating_complete_secondary,AIC,M4,M7,103,-5.026602168181857,-1.9430897360035289,-8.457333462212901,-1.4522170578835603,7.992911516873509e-05,0.0009591493820248211
rating_complete_secondary,AIC,M4,M8,103,-13.125436443450914,-8.605464601462245,-16.63609218841065,-9.961427474499718,1.1803092299055668e-14,3.13843208353756e-13
rating_complete_secondary,AIC,M5,M6,103,-0.17832645971993358,-0.45853434201356436,-4.285701523972375,3.6770150291513017,0.6808966793994506,1.0
rating_complete_secondary,AIC,M5,M7,103,6.1763394140817685,-0.14272608441446266,3.937507388517784,8.56830145787826,0.003333485115528322,0.026667880924226575
rating_complete_secondary,AIC,M5,M8,103,-1.9224948611872819,-0.9257635329999658,-7.620749990488251,3.4864591942165877,0.2076553431032203,0.6229660293096609
rating_complete_secondary,AIC,M6,M7,103,6.354665873801701,0.43876482353758206,3.7782079130769852,9.29898913201702,0.0005447275361105925,0.005992002897216518
rating_complete_secondary,AIC,M6,M8,103,-1.744168401467348,-0.5863948533071834,-4.317563883987454,0.7481595025239757,0.13962913610574035,0.5585165444229614
rating_complete_secondary,AIC,M7,M8,103,-8.098834275269052,-1.9791739603070795,-12.683156414621083,-3.8981863452822503,0.0055473637086843495,0.03883154596079045
rating_complete_secondary,AICc,M0,M1,103,1.6854922185741603,-2.0491404911048363,0.024171800301069815,3.7906337362937945,0.026595107111590764,0.13297553555795383
rating_complete_secondary,AICc,M0,M2,103,0.9198918258714247,-3.9143929860449873,-0.9969371987351944,3.0753961484663064,0.005062768662408432,0.04050214929926746
rating_complete_secondary,AICc,M0,M3,103,26.273738767951805,15.269028236048797,20.81000979577258,32.026910462654286,5.50587345062667e-16,1.816938238706801e-14
rating_complete_secondary,AICc,M0,M4,103,26.880632841595414,18.766586475145715,21.51755061192167,32.44492395886429,1.0226320835199889e-15,3.2724226672639645e-14
rating_complete_secondary,AICc,M0,M5,103,15.677691259331775,10.642576086666523,12.005161836159598,19.781356773928792,3.7292861440973505e-14,9.69614397465311e-13
rating_complete_secondary,AICc,M0,M6,103,15.499364799611842,10.086259016014097,11.979501930897648,19.079366844021205,6.302440148181785e-12,1.260488029636357e-10
rating_complete_secondary,AICc,M0,M7,103,21.6024361855645,18.427313601284396,17.59325543753144,26.07104563443319,3.9229612154863885e-14,9.807403038715971e-13
rating_complete_secondary,AICc,M0,M8,103,13.755196398144491,3.2740252285439198,9.661622969256976,18.092144338627474,8.29489423473859e-07,1.2442341352107886e-05
rating_complete_secondary,AICc,M1,M2,103,-0.7656003927027358,-2.0991895701741186,-1.2898123434560949,-0.1542954733897402,6.466574828295738e-08,1.0993177208102754e-06
rating_complete_secondary,AICc,M1,M3,103,24.588246549377637,13.7918260729748,19.337252715048372,30.167346134919587,4.940966737377392e-16,1.6799286907083132e-14
rating_complete_secondary,AICc,M1,M4,103,25.19514062302124,13.759020270859324,19.86932720566107,30.798168344468042,1.409413436008474e-15,4.3691816516262695e-14
rating_complete_secondary,AICc,M1,M5,103,13.992199040757614,9.746493448620427,10.616265979177857,17.593586165372937,3.285292046723954e-14,8.870288526154676e-13
rating_complete_secondary,AICc,M1,M6,103,13.813872581037682,8.054298199868995,10.56985673873646,17.206627714712805,4.505665095704418e-11,8.560763681838394e-10
rating_complete_secondary,AICc,M1,M7,103,19.916943966990342,14.143061744898745,15.742298270277553,24.229712326786938,2.036339997566116e-13,4.887215994158678e-12
rating_complete_secondary,AICc,M1,M8,103,12.069704179570328,1.133395572915859,8.025911480679094,16.464252365749235,1.5626746974429328e-05,0.00021877445764201058
rating_complete_secondary,AICc,M2,M3,103,25.35384694208037,12.435479821213889,19.873578126548516,31.031933795056673,1.367219025695335e-16,4.921988492503207e-15
rating_complete_secondary,AICc,M2,M4,103,25.96074101572398,14.682286807712686,20.59036411476608,31.868079152481787,3.5671721896467707e-16,1.2485102663763697e-14
rating_complete_secondary,AICc,M2,M5,103,14.757799433460349,11.094584943370322,11.392509578367449,18.424522745057494,1.5679413377548523e-15,4.703824013264557e-14
rating_complete_secondary,AICc,M2,M6,103,14.579472973740415,8.46157629535979,11.283637146928154,17.968144533258734,7.569242000042529e-13,1.7409256600097816e-11
rating_complete_secondary,AICc,M2,M7,103,20.682544359693075,13.308571193581287,16.505485681247166,24.946992714332513,1.3426815235966305e-14,3.7595082660705653e-13
rating_complete_secondary,AICc,M2,M8,103,12.835304572273065,2.135481132801118,8.788402284848948,17.303574613425532,4.814062448597217e-07,7.702499917755547e-06
rating_complete_secondary,AICc,M3,M4,103,0.6068940736436012,4.263256414560601e-14,-0.4686386112787,1.8706047725529307,0.8582574062753952,1.0
rating_complete_secondary,AICc,M3,M5,103,-10.59604750862003,-1.4080134744707067,-16.142348536885965,-5.189655915386753,0.000736933173430973,0.008106264907740702
rating_complete_secondary,AICc,M3,M6,103,-10.77437396833996,-6.236751026409976,-14.357477923378182,-7.373488842937564,6.080220423165381e-10,1.0944396761697687e-08
rating_complete_secondary,AICc,M3,M7,103,-4.671302582387297,-2.0002416925978324,-8.322037806785138,-1.1232748704913544,0.00149954509873719,0.0149954509873719
rating_complete_secondary,AICc,M3,M8,103,-12.518542369807312,-8.630266336592854,-16.124442699584453,-9.130082360043096,1.663043718399202e-12,3.492391808638324e-11
rating_complete_secondary,AICc,M4,M5,103,-11.202941582263628,-0.9472182269127813,-16.702310258158313,-6.090923343215622,5.977410263186446e-05,0.0007172892315823736
rating_complete_secondary,AICc,M4,M6,103,-11.381268041983564,-6.537909314766395,-14.541746278154523,-8.408506147784305,8.142729535540355e-13,1.7914004978188783e-11
rating_complete_secondary,AICc,M4,M7,103,-5.278196656030898,-2.153191560286132,-8.757871034793217,-1.7087372732039912,4.264548795954167e-05,0.0005543913434740417
rating_complete_secondary,AICc,M4,M8,103,-13.125436443450914,-8.605464601462259,-16.533881836985532,-10.127942369664314,1.1803092299055668e-14,3.422896766726144e-13
rating_complete_secondary,AICc,M5,M6,103,-0.1783264597199315,-0.45853434201353593,-4.299427061166603,3.869885373664751,0.6899575077514573,1.0
rating_complete_secondary,AICc,M5,M7,103,5.924744926232732,-0.5168200544211103,3.6141957599863654,8.289111261385324,0.014774652323737047,0.08864791394242227
rating_complete_secondary,AICc,M5,M8,103,-1.9224948611872807,-0.9257635329999516,-7.458391335865494,3.546625859720461,0.2076553431032203,0.6229660293096609
rating_complete_secondary,AICc,M6,M7,103,6.103071385952662,0.208717875180767,3.5583087951551096,8.973132456710692,0.002120674505877647,0.019086070552898824
rating_complete_secondary,AICc,M6,M8,103,-1.7441684014673497,-0.586394853307155,-4.290837579994515,0.7719757176422036,0.13962913610574035,0.5585165444229614
rating_complete_secondary,AICc,M7,M8,103,-7.847239787420014,-1.6747968559299693,-12.354363722420597,-3.706019745647385,0.010186699677677456,0.07130689774374219
rating_complete_secondary,BIC,M0,M1,103,-0.5547056565656678,-4.344645424941177,-2.2789809983287483,1.4918239831672468,8.536311564853003e-06,0.00013658098503764804
rating_complete_secondary,BIC,M0,M2,103,-3.499280938242642,-7.955490431569601,-5.36454394760066,-1.3298763543768504,1.8758790533565086e-07,3.751758106713017e-06
rating_complete_secondary,BIC,M0,M3,103,19.739929521739946,8.552255477455276,14.54361116668651,25.300142839620655,5.481312324674085e-08,1.2058887114282986e-06
rating_complete_secondary,BIC,M0,M4,103,20.346823595383544,11.803145079222233,14.900190280594995,25.99848648174524,6.125814226378075e-09,1.5314535565945187e-07
rating_complete_secondary,BIC,M0,M5,103,9.143882013119919,3.7316498507804,5.33152477647182,13.025150069013797,0.00020911646530214845,0.00271851404892793
rating_complete_secondary,BIC,M0,M6,103,8.965555553399986,3.337740162138303,5.618871624793452,12.374284208510845,0.00030345718416385526,0.0036414862099662633
rating_complete_secondary,BIC,M0,M7,103,13.021692718398242,9.210375519835196,8.754467855465627,17.36849092061387,1.666802468016474e-06,3.0002444424296533e-05
rating_complete_secondary,BIC,M0,M8,103,7.221387151932636,-3.6384402055565346,2.9625449821298715,11.476977775947448,0.14958909244368437,1.0
rating_complete_secondary,BIC,M1,M2,103,-2.9445752816769746,-4.154850983677534,-3.4937355489029875,-2.325230924900707,1.3412317531856353e-11,4.023695259556906e-10
rating_complete_secondary,BIC,M1,M3,103,20.294635178305615,9.20855960968666,14.773910246949962,26.030432989871514,3.752129330583573e-10,1.0505962125634004e-08
rating_complete_secondary,BIC,M1,M4,103,20.901529251949214,9.231177361810353,15.38171771038576,26.604980523593017,1.7428572571100587e-10,5.05428604561917e-09
rating_complete_secondary,BIC,M1,M5,103,9.698587669685587,6.664804610008744,6.353149190473844,13.345621438600936,1.488307447616948e-07,3.1254456399955905e-06
rating_complete_secondary,BIC,M1,M6,103,9.520261209965653,3.679894023646426,6.25174620312799,12.857147111928747,5.7322396569357605e-05,0.0008598359485403641
rating_complete_secondary,BIC,M1,M7,103,13.576398374963905,7.349977718280073,9.592189936857837,17.66230238763226,3.3490546692843593e-07,6.363203871640283e-06
rating_complete_secondary,BIC,M1,M8,103,7.776092808498305,-2.404848103234997,3.770084117653075,12.116815384130206,0.5714848646282905,1.0
rating_complete_secondary,BIC,M2,M3,103,23.239210459982587,10.532391193308897,18.13237288744006,29.022014254318858,1.7812118770759115e-14,6.234241569765691e-13
rating_complete_secondary,BIC,M2,M4,103,23.846104533626182,12.417243668270501,18.31750707334319,29.61570514740419,2.3599249321564372e-14,8.023744769331886e-13
rating_complete_secondary,BIC,M2,M5,103,12.643162951362562,8.815619996378857,9.416114054045224,16.310036476893323,2.009097541220742e-12,6.228202377784301e-11
rating_complete_secondary,BIC,M2,M6,103,12.464836491642627,6.356288833540191,9.167463110304968,15.996304479368101,1.0176999448793987e-08,2.442479867710557e-07
rating_complete_secondary,BIC,M2,M7,103,16.520973656640884,10.06347544799884,12.514633161963594,20.68765244485939,2.1289190733100454e-09,5.535189590606118e-08
rating_complete_secondary,BIC,M2,M8,103,10.720668090175277,-0.14348381419036116,6.693230502383757,15.117780246665465,0.011515316102249977,0.11515316102249977
rating_complete_secondary,BIC,M3,M4,103,0.6068940736436014,2.1316282072803006e-14,-0.5243361871940015,1.828254135595843,0.8595682740571567,1.0
rating_complete_secondary,BIC,M3,M5,103,-10.59604750862003,-1.4080134744707067,-16.09211827712682,-5.2270744307963595,0.000736933173430973,0.008106264907740702
rating_complete_secondary,BIC,M3,M6,103,-10.77437396833996,-6.236751026409962,-14.253174471755763,-7.492080024351955,6.080220423165381e-10,1.641659514254653e-08
rating_complete_secondary,BIC,M3,M7,103,-6.718236803341707,-4.094520601480042,-10.529138453183764,-2.9867985475666123,2.8470794131533375e-06,4.8400350023606735e-05
rating_complete_secondary,BIC,M3,M8,103,-12.518542369807315,-8.630266336592854,-16.169663260700037,-9.269040775313536,1.663043718399202e-12,5.3217398988774464e-11
rating_complete_secondary,BIC,M4,M5,103,-11.202941582263628,-0.9472182269127813,-16.666719533917206,-6.09981432734864,5.977410263186446e-05,0.0008598359485403641
rating_complete_secondary,BIC,M4,M6,103,-11.381268041983564,-6.537909314766395,-14.66155281489893,-8.336924959035471,7.941970025037393e-13,2.6208501082623397e-11
rating_complete_secondary,BIC,M4,M7,103,-7.325130876985309,-4.258554797977098,-10.80692362902205,-3.846487062925758,2.2763013353035832e-08,5.235493071198241e-07
rating_complete_secondary,BIC,M4,M8,103,-13.12543644345091,-8.605464601462245,-16.576853927740462,-10.076685802836971,1.1803092299055668e-14,4.2491132276600404e-13
rating_complete_secondary,BIC,M5,M6,103,-0.17832645971993297,-0.45853434201353593,-4.357913744706759,3.8622961917090404,0.6808966793994506,1.0
rating_complete_secondary,BIC,M5,M7,103,3.8778107052783226,-1.8988382832246913,1.6546789785874954,6.220974624699921,1.0,1.0
rating_complete_secondary,BIC,M5,M8,103,-1.9224948611872832,-0.9257635329999516,-7.310339340788999,3.7483118034245764,0.2076553431032203,1.0
rating_complete_secondary,BIC,M6,M7,103,4.056137164998256,-1.6760503959481667,1.5639169539278885,6.972334754273249,0.7822759593350939,1.0
rating_complete_secondary,BIC,M6,M8,103,-1.7441684014673504,-0.5863948533071692,-4.2670986901770664,0.6362750138344403,0.13962913610574035,1.0
rating_complete_secondary,BIC,M7,M8,103,-5.800305566465604,0.21550463255012176,-10.090866318558476,-1.4330776277806516,0.22100891003460543,1.0
