model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,alpha,kappa,participant_id,theta,theta_stranger,lapse,side_bias,rho,preference_stranger
M4_ratingcentered,42,3,-15.490213213491392,36.98042642698279,37.612005374351206,42.19343528183289,0.3648633593313424,0.4679130051091256,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2264304281104151,0.8687603397170959,sub-10317,5.0,,,,,
preference,42,4,-12.800301033380801,33.6006020667616,34.68168314784268,40.551280539895075,0.42291164318332836,0.5603111708870392,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.5115614006323712,sub-10317,5.0,,,,,-0.33162084499317157
M2_reset,41,2,-28.419044409639003,60.838088819278006,61.15387829296222,64.26523295268662,-0.07037571996017898,-3.5211193694095755e-07,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,1e-05,sub-10369,,,,,,
M5_reset,41,3,-22.798392074347454,51.59678414869491,52.245432797343554,56.73750034880783,0.0922143339373119,0.19777738570967507,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.401989038324843,0.30040058430132316,sub-10369,5.0,,,,,
M5_signed,41,3,-22.79839207434745,51.5967841486949,52.24543279734355,56.73750034880783,0.09221433393731203,0.19777738570967518,True,100,100,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.4019890381054173,0.30040058410879333,sub-10369,5.0,,,,,
M7_signed,41,4,-22.76892368701881,53.53784737403762,54.64895848514873,60.392135640854846,0.058063574312264776,0.19881431000874905,True,100,100,97,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.3977579853329738,0.3047050959583122,sub-10369,5.0,0.17522504889068466,,,,
M2_lapse,41,3,-28.41904240723373,62.83808481446746,63.4867334631161,67.97880101458038,-0.10556333342429615,-2.8165193288742785e-07,True,100,100,100,alpha;kappa;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,1e-05,sub-10369,,,0.2,,,
M5_lapse,41,4,-22.798392074347454,53.59678414869491,54.70789525980602,60.451072415512144,0.057026650013190835,0.19777738570967507,True,100,100,87,theta;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.4019890388010354,0.3004005842014508,sub-10369,5.0,,0.0,,,
M2_side,41,3,-28.11339097443304,62.22678194886608,62.87543059751473,67.36749814897901,-0.09480816741595086,0.010754884356412364,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.0002816398752551038,sub-10369,,,,-0.24523929780583026,,
M5_side,41,4,-22.723291666272658,53.446583332545316,54.55769444365643,60.30087159936255,0.05966925943509927,0.20041999513158348,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.417298602891106,0.2993533976997366,sub-10369,5.0,,,-0.14328671369331836,,
M2_power,41,3,-28.417306951583722,62.834613903167444,63.48326255181609,67.97533010328037,-0.10550226675941939,6.078501294382033e-05,True,100,100,100,alpha;rho,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.026529487240589827,sub-10369,,,,,0.2,
M5_power,41,4,-20.571419619337725,49.14283923867545,50.253950349786564,55.997127505492685,0.1353886528677971,0.27613938856428133,True,100,100,99,theta;rho,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.72518731955178,1.0843981953320092,sub-10369,5.0,,,,0.2,
M5_kappa100,41,3,-22.79839207434745,51.5967841486949,52.24543279734355,56.73750034880783,0.09221433393731203,0.19777738570967518,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.40198903723820933,0.3004005843992776,sub-10369,5.0,,,,,
preference,41,4,-24.35740180366397,56.71480360732794,57.82591471843905,63.56909187414517,0.002168708423371798,0.14291944411985602,True,100,100,95,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.4219874336092667,0.27909714417375214,sub-10369,1.6301088993868151,,,,,-0.009247781715684045
M2_reset,83,2,-57.48133607271889,118.96267214543778,119.11267214543778,123.80035336103097,-0.0338967298501368,0.0008670060748984243,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.018146930586071103,sub-10402,,,,,,
M5_reset,83,3,-54.92248012613744,115.84496025227487,116.1487577206293,123.10148207566466,-0.006800901614072553,0.04534470227348031,True,100,100,44,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.15738241560828062,0.08059608341638778,sub-10402,5.0,,,,,
M5_signed,83,3,-54.859348639070554,115.71869727814111,116.02249474649554,122.9752191015309,-0.0057035584415986015,0.046442045445954316,True,100,100,77,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1604970203038723,0.08066439763223464,sub-10402,5.0,,,,,
M7_signed,83,4,-53.16028879073413,114.32057758146826,114.83339809428877,123.99594001265464,0.006447407540082743,0.07597487939015324,True,100,100,54,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.11188638159976658,0.22168950903960238,sub-10402,2.1345290529864185,1.344202006341808,,,,
M4_signed,83,3,-52.950040173853374,111.90008034770675,112.20387781606118,119.15660217109654,0.027483789200523606,0.07962939308807648,True,100,100,79,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.07515519477195884,0.5459512068600808,sub-10402,1.3561131317724189,,,,,
M2_lapse,83,3,-57.3693560721642,120.7387121443284,121.04250961268284,127.99523396771819,-0.049332176228570196,0.0028134276589827367,True,100,100,100,alpha;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.04074824997808921,sub-10402,,,0.2,,,
M5_lapse,83,4,-54.859348639070554,117.71869727814111,118.23151779096162,127.39405970932751,-0.023085426404116233,0.046442045445954316,True,100,100,69,theta;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.16049702442915448,0.08066439892286131,sub-10402,5.0,,0.0,,,
M2_side,83,3,-57.071183575339035,120.14236715067807,120.4461646190325,127.39888897406786,-0.04414938125870094,0.007996222628851912,True,100,100,99,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.03266581460185578,sub-10402,,,,-0.1705112619571761,,
M5_side,83,4,-54.58196972931599,117.16393945863199,117.6767599714525,126.83930188981839,-0.018264062819175374,0.0512634090308951,True,100,100,80,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1666418718829353,0.0805984993224736,sub-10402,5.0,,,-0.16920959436399718,,
M2_power,83,3,-56.862875531949356,119.72575106389871,120.02954853225314,126.9822728872885,-0.04052859835297116,0.011617005534581781,True,100,100,100,alpha;rho,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.34030527761830437,sub-10402,,,,,0.2,
M5_power,83,4,-52.677269315091394,113.35453863018279,113.8673591430033,123.02990106136917,0.014843188289029257,0.08437066013909977,True,100,100,83,rho,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1387049078734159,1.0993445026119195,sub-10402,0.5171862505069753,,,,0.2,
M5_kappa100,83,3,-54.85934863907054,115.71869727814108,116.02249474649551,122.97521910153087,-0.005703558441598354,0.04644204544595454,True,100,100,43,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1604970247100625,0.08066439883115867,sub-10402,5.0,,,,,
M4_ratingcentered,83,3,-54.81577471445185,115.6315494289037,115.93534689725813,122.88807125229349,-0.004946162237267566,0.047199441650285334,True,100,99,59,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.052916862083507286,sub-10402,5.0,,,,,
preference,83,4,-53.40171865618078,114.80343731236157,115.31625782518208,124.47879974354797,0.0022509054966805895,0.07177837734675108,True,100,100,87,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.07242072318677115,sub-10402,2.6702017311651627,,,,,1.934333823305328
M2_reset,84,2,-58.22451316868539,120.44902633737078,120.59717448551893,125.3106599350574,-0.03435245819541054,-2.57626948285683e-06,True,100,100,90,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1e-05,sub-10418,,,,,,
M5_reset,84,3,-41.62557464918706,89.25114929837412,89.55114929837411,96.54359969490406,0.23355838996187606,0.28508321285076765,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.40075121884255155,sub-10418,5.0,,,,,
M5_signed,84,3,-41.625574649187065,89.25114929837413,89.55114929837413,96.54359969490407,0.23355838996187595,0.28508321285076743,True,100,100,100,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.40075119759920624,sub-10418,5.0,,,,,
M7_signed,84,4,-41.17642905641764,90.35285811283528,90.85918722675933,100.07612530820853,0.22409749803850237,0.2927972618903578,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.46133558150069287,sub-10418,5.0,0.3516159724495516,,,,
M4_signed,84,3,-54.997986516804296,115.99597303360859,116.29597303360859,123.28842343013854,0.0038880056031128304,0.05541282849200435,True,100,100,60,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.05473638742772492,sub-10418,5.0,,,,,
M2_lapse,84,3,-58.2244831680914,122.4489663361828,122.7489663361828,129.74141673271274,-0.05152688389994379,-2.061011052267858e-06,True,100,100,86,alpha;kappa;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1e-05,sub-10418,,,0.2,,,
M5_lapse,84,4,-41.625574649187065,91.25114929837413,91.75747841229818,100.97441649374738,0.21638344899891207,0.28508321285076743,True,100,100,99,alpha;theta;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.4007512169291799,sub-10418,5.0,,0.0,,,
M2_side,84,3,-58.2007022281136,122.4014044562272,122.7014044562272,129.69385485275714,-0.05111844765978121,0.0004063752291103562,True,100,100,84,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1e-05,sub-10418,,,,-0.04762719745893752,,
M5_side,84,4,-41.56262342815388,91.12524685630775,91.63157597023181,100.84851405168101,0.21746463250370357,0.286164396355559,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.40140384443716487,sub-10418,5.0,,,-0.09360899400121979,,
M2_power,84,3,-58.2243838819019,122.4487677638038,122.7487677638038,129.74121816033374,-0.051525178665500646,-3.5577660906227493e-07,True,100,100,100,alpha;kappa;rho,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1e-05,sub-10418,,,,,0.2,
M5_power,84,4,-37.098503873272136,82.19700774654427,82.70333686046833,91.92027494191753,0.29413562231040996,0.3628353861622653,True,100,100,100,alpha;theta;rho,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1.0815789818022241,sub-10418,5.0,,,,0.2,
M5_kappa100,84,3,-41.62557464918705,89.2511492983741,89.5511492983741,96.54359969490405,0.23355838996187617,0.28508321285076776,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.4007512187653373,sub-10418,5.0,,,,,
M4_ratingcentered,84,3,-55.312735985326924,116.62547197065385,116.92547197065385,123.91792236718379,-0.0015177979368875495,0.05000702495200404,True,100,100,82,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.0560825973964802,sub-10418,5.0,,,,,
preference,84,4,-39.82380451442766,87.64760902885531,88.15393814277937,97.37087622422857,0.24732874469223634,0.3160285085440917,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.31792029085662155,sub-10418,5.0,,,,,0.14233965075653307
M2_reset,41,2,-26.463562931660366,56.92712586332073,57.242915337004945,60.35426999672935,-0.0015668557935936023,0.06880851205464855,True,100,100,32,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.17079940543504454,sub-10462,,,,,,
M5_reset,41,3,-24.78647116742218,55.57294233484436,56.22159098349301,60.71365853495729,0.022258435194045134,0.12782148696640827,True,100,100,61,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.014746480681157035,0.9196538275086187,sub-10462,0.6566016728365641,,,,,
M5_signed,41,3,-24.786471167422178,55.572942334844356,56.221590983493,60.713658534957275,0.02225843519404526,0.1278214869664085,True,100,100,40,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.01474648505044298,0.9196538182072407,sub-10462,0.6566016964044091,,,,,
M7_signed,41,4,-24.258190444927525,56.51638088985505,57.627492000966164,63.37066915667228,0.005659726356272362,0.14641046205275665,True,100,100,39,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.053868552711284386,1.5387168145587957,sub-10462,0.7471191496556228,0.4052432705654177,,,,
M4_signed,41,3,-25.548128022768942,57.096256045537885,57.74490469418653,62.236972245650804,-0.004542505490536683,0.10102054628182655,True,100,100,42,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.017565526605085095,3.109752950048847,sub-10462,0.5224023415098173,,,,,
M2_lapse,41,3,-26.463562931660366,58.92712586332073,59.57577451196938,64.06784206343366,-0.03675453971771466,0.06880851205464855,True,100,100,38,alpha;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.17079941026536682,sub-10462,,,0.0,,,
M5_lapse,41,4,-24.6548601255912,57.3097202511824,58.42083136229351,64.16400851799963,-0.008298160989203036,0.13245257470728122,True,100,100,43,lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.019459631385395134,1.4234961506940875,sub-10462,0.6535503761421705,,0.2,,,
M2_side,41,3,-26.281903919559834,58.56380783911967,59.212456487768314,63.704524039232595,-0.03036237981795306,0.07520067195441016,True,100,100,45,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,0.1842586612996792,sub-10462,,,,-0.20433265289369734,,
M5_side,41,4,-24.646379694367436,57.29275938873487,58.403870499845986,64.1470476555521,-0.007999754255761018,0.13275098144072328,True,100,100,60,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0022396593336737095,0.9863533867376686,sub-10462,0.6025432143608251,,,0.20017871199736606,,
M2_power,41,3,-24.911617106481057,55.82323421296211,56.47188286161076,60.96395041307504,0.017854839446054125,0.12341789121841729,True,100,100,22,alpha;rho,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,1.243539794205081,sub-10462,,,,,0.2,
M5_power,41,4,-22.938139251797395,53.87627850359479,54.987389614705904,60.730566770412025,0.05210927050379426,0.19286000620027854,True,100,100,56,rho,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.18559972085917972,2.8132599243528307,sub-10462,0.32666087530216625,,,,0.2,
M5_kappa100,41,3,-24.78647116742218,55.57294233484436,56.22159098349301,60.71365853495729,0.022258435194045134,0.12782148696640827,True,100,100,55,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.014746482209244977,0.9196538240035762,sub-10462,0.6566016753775099,,,,,
M4_ratingcentered,41,3,-25.30704818543239,56.61409637086478,57.262745019513424,61.754812570977705,0.003940535626140464,0.10950358739850363,True,100,100,47,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.04859172325757447,1.520982991498567,sub-10462,0.5755334842162585,,,,,
preference,41,4,-24.54219892413162,57.08439784826324,58.19550895937435,63.93868611508047,-0.004333874241731584,0.13641686145475262,True,100,100,29,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.04722771253802604,1.4602525469047045,sub-10462,0.3358120710405043,,,,,0.1691565847256578
M2_reset,82,2,-56.83821356536864,117.67642713073728,117.82832586491449,122.4898656252658,-0.03519023079906192,-2.5468749409451874e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.26767009140949005,1e-05,sub-10478,,,,,,
M5_reset,82,3,-43.53752943799604,93.07505887599208,93.38275118368439,100.29521661778485,0.18122606176315803,0.2340075876493396,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.13980449707074552,0.31432907765396556,sub-10478,5.0,,,,,
M5_signed,82,3,-43.52391931583386,93.04783863166772,93.35553093936002,100.26799637346048,0.18146551610156383,0.23424704198774537,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.12394576257431707,0.3146261502392278,sub-10478,5.0,,,,,
M7_signed,82,4,-42.832680841722244,93.66536168344449,94.18484220292501,103.2922386725015,0.1760332146111189,0.24640858245936104,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.09918104232413576,0.3337452972330923,sub-10478,5.0,0.48577235066736046,,,,
M2_lapse,82,3,-56.838186578264924,119.67637315652985,119.98406546422216,126.89653089832261,-0.05278359795428465,-2.0720681030983457e-06,True,100,100,100,kappa;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.26778425211975054,1e-05,sub-10478,,,0.2,,,
M5_lapse,82,4,-43.52391931583386,95.04783863166772,95.56731915114824,104.67471562072473,0.1638716741395033,0.23424704198774537,True,100,100,100,theta;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.12394575799608457,0.3146261542608094,sub-10478,5.0,,0.0,,,
M2_side,82,3,-56.44735538057364,118.89471076114728,119.20240306883959,126.11486850294004,-0.04590737562826136,0.006874150257920264,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2257531853881223,1e-05,sub-10478,,,,0.1957435272282808,,
M5_side,82,4,-42.96351260889334,93.92702521778668,94.4465057372672,103.55390220684369,0.17373138117589357,0.24410674902413565,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1259512213717593,0.311640659964442,sub-10478,5.0,,,0.27347717112653214,,
M2_power,82,3,-55.17046149110281,116.34092298220563,116.64861528989793,123.56108072399839,-0.023441906334590847,0.0293396195515907,True,100,100,1,kappa;rho,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.03477393478208353,0.001380036447304828,sub-10478,,,,,3.0,
M5_power,82,4,-42.20303285132742,92.40606570265484,92.92554622213537,102.03294269171185,0.18711114184585442,0.2574865096940966,True,100,100,99,rho,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.14187165124978499,0.5150151102235917,sub-10478,3.5040011664135644,,,,0.2,
M5_kappa100,82,3,-43.52391931583386,93.04783863166772,93.35553093936002,100.26799637346048,0.18146551610156383,0.23424704198774537,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.12394575877871075,0.31462615361534485,sub-10478,5.0,,,,,
preference,82,4,-42.39618018025035,92.7923603605007,93.31184087998122,102.4192373495577,0.18371293826539034,0.2540883061136324,True,100,100,97,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.15738674292509472,0.17144221793483264,sub-10478,5.0,,,,,0.3517531008601518
M2_reset,42,2,-29.11242158434269,62.22484316868538,62.53253547637769,65.70018240525212,-0.06870800785185587,-8.244000000434681e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1e-05,sub-10486,,,,,,
M5_reset,42,3,-25.07251276755335,56.1450255351067,56.776604482475115,61.3580343899568,0.03571250107044464,0.13876214684822774,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.1751135620347284,sub-10486,5.0,,,,,
M5_signed,42,3,-25.07251276755334,56.14502553510668,56.7766044824751,61.358034389956785,0.03571250107044488,0.13876214684822796,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.17511355703117837,sub-10486,5.0,,,,,
M7_signed,42,4,-14.7546086994248,37.5092173988496,38.59029847993068,44.45989587198307,0.35578140560778165,0.4931809333114925,True,100,100,99,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.35500562665093477,sub-10486,5.0,5.0,,,,
M4_signed,42,3,-0.0,6.0,6.631578947368421,11.213008854850106,0.8969503542222169,1.0,True,100,100,100,alpha;kappa;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,20.0,sub-10486,5.0,,,,,
M2_lapse,42,3,-29.11237358404569,64.22474716809138,64.85632611545981,69.43775602294149,-0.10305624097324922,-6.5951954661969125e-06,True,100,100,100,alpha;kappa;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1e-05,sub-10486,,,0.2,,,
M5_lapse,42,4,-25.072512767553345,58.14502553510669,59.22610661618777,65.09570400824016,0.0013626191445170572,0.13876214684822785,True,100,100,99,alpha;theta;lapse,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.1751135570405286,sub-10486,5.0,,0.0,,,
M2_side,42,3,-28.68236469065216,63.36472938130432,63.99630832867274,68.57773823615443,-0.08828548625808261,0.014764159519700448,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,1e-05,sub-10486,,,,-0.2876873106761149,,
M5_side,42,4,-25.028888256237142,58.057776512474284,59.138857593555365,65.00845498560776,0.0028611159573049285,0.14026064366101576,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.17215112923514164,sub-10486,5.0,,,-0.10069776631806447,,
M2_power,42,3,-11.641691417769989,29.283382835539978,29.9149617829084,34.496391690390084,0.49705962860373193,0.6001092743815151,True,100,100,11,alpha;rho,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.017518078845389497,sub-10486,,,,,3.0,
M5_power,42,4,-11.334126770527652,30.668253541055304,31.749334622136384,37.61893201418878,0.4732745559951681,0.6106740836988789,True,100,100,14,alpha;theta;rho,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.018716460057863243,sub-10486,5.0,,,,3.0,
M5_kappa100,42,3,-25.07251276755334,56.14502553510668,56.7766044824751,61.358034389956785,0.03571250107044488,0.13876214684822796,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.1751135575176869,sub-10486,5.0,,,,,
M4_ratingcentered,42,3,-3.694822225952521e-13,6.000000000000739,6.63157894736916,11.213008854850845,0.8969503542222043,0.9999999999999873,True,100,100,100,alpha;kappa;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,20.0,sub-10486,5.0,,,,,
preference,42,4,-12.651996962444993,33.30399392488999,34.38507500597107,40.25467239802346,0.42800587050910777,0.5654053982128185,True,100,100,100,alpha;theta;preference_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.23605088897268187,sub-10486,5.0,,,,,5.0
M2_reset,81,2,-56.14499913889615,116.2899982777923,116.44384443163845,121.07889658713717,-0.035623480372574394,-1.3805975382918945e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.0,1e-05,sub-10529,,,,,,
M5_reset,81,3,-52.321723104841254,110.64344620968251,110.95513452137082,117.82679367369983,0.014662029916211449,0.06809517957876565,True,100,100,84,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.06246102930786593,0.11365389692524676,sub-10529,5.0,,,,,
