sample,model_a,model_b,n,mean_difference,ci_low,ci_high,p,p_holm
rating_complete_secondary,M2,M5,103,0.003833177824722896,-0.059427639422928995,0.05494819037461101,0.00793167804566158,0.1982919511415395
rating_complete_secondary,M2,M6,103,-0.020792896061606742,-0.08547850295115739,0.03555417663488459,0.18818495760989973,1.0
rating_complete_secondary,M2,M7,103,-0.23601973536072,-0.6500433526013136,0.002943317588137576,0.6784861793888706,1.0
rating_complete_secondary,M2,M8,103,0.08287421770849007,0.045837899071124455,0.12293942923299081,0.0001100543790283938,0.0036666349158917108
rating_complete_secondary,M3,M4,103,0.11078669201044042,0.00011835010664994304,0.23475382350281743,0.41644174255620814,1.0
rating_complete_secondary,M3,M5,103,0.07027687277233596,-0.05191617671758265,0.21259473933821718,0.7076227370862089,1.0
rating_complete_secondary,M3,M6,103,0.045650798886006316,-0.05466230824820858,0.16623605148327752,0.19717285626072734,1.0
rating_complete_secondary,M3,M7,103,-0.16957604041310698,-0.4875062025979423,0.035305642753525435,0.04104852671046544,0.8620190609197742
rating_complete_secondary,M3,M8,103,0.14931791265610314,0.03149496823849786,0.28777304993424285,0.6147129033244282,1.0
rating_complete_secondary,M4,M5,103,-0.040509819238104434,-0.12193769260452064,0.05077110219571003,0.014910738333819168,0.35785772001166005
rating_complete_secondary,M4,M6,103,-0.06513589312443407,-0.13609481376793925,0.02430385874193581,0.00010784220340857972,0.0036666349158917108
rating_complete_secondary,M4,M7,103,-0.28036273242354737,-0.6528416278373017,-0.04071984310535881,1.8690379235842897e-06,6.541632732545014e-05
rating_complete_secondary,M4,M8,103,0.03853122064566272,-0.030413514867131293,0.12765532902393784,0.8153077734140249,1.0
rating_complete_secondary,M5,M6,103,-0.024626073886329643,-0.0957602853493877,0.039681978453433776,0.688147673240086,1.0
rating_complete_secondary,M5,M7,103,-0.23985291318544288,-0.6165948419932744,-0.024660711533194178,0.31407169267033985,1.0
rating_complete_secondary,M5,M8,103,0.07904103988376716,0.01664462542089243,0.1504418321487406,0.04170421824493524,0.8620190609197742
rating_complete_secondary,M6,M7,103,-0.21522683929911324,-0.5782195661008722,-0.003379629414419695,0.1552455817517009,1.0
rating_complete_secondary,M6,M8,103,0.10366711377009684,0.04853912094378308,0.16862783427838665,0.000493935368513355,0.014818061055400648
rating_complete_secondary,M7,M8,103,0.3188939530692101,0.08882361191943565,0.7148134297621925,0.00020375227438840427,0.006316320506040533
