model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,alpha,kappa,theta,participant_id,theta_stranger,phi
M3_logitprior,83,3,-50.88154514423564,107.76309028847128,108.06688775682571,115.01961211186106,0.0634380966864631,0.11558370057401601,True,101,101,101,phi,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2921005345332178,0.5453571683915343,,sub-10584,,10.0
M4_theta10,84,3,-49.56064682096851,105.12129364193702,105.42129364193701,112.41374403846696,0.09727399387467232,0.14879881676356388,True,101,100,97,alpha,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,3.1185159868835655,0.6616998713477122,sub-10585,,
M5_theta10,84,3,-50.677318364518506,107.35463672903701,107.65463672903701,114.64708712556696,0.07809522603917939,0.12962004892807089,True,101,101,101,theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.19668220764450983,0.0870500416757149,10.0,sub-10585,,
M6_theta10,84,3,-49.864042357732224,105.72808471546445,106.02808471546444,113.02053511199439,0.09206319344232876,0.14358801633122031,True,101,100,86,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.05252159494294648,10.0,sub-10585,,
M7_theta10,84,4,-48.284437818930506,104.56887563786101,105.07520475178507,114.29214283323427,0.10201786717811416,0.1707176310299695,True,101,101,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.14919361196967804,0.09010340947393414,10.0,sub-10585,3.6171565863296267,
M3_phi10,84,3,-48.91307670430908,103.82615340861815,104.12615340861815,111.1186038051481,0.10839597239767765,0.15992079528656922,True,101,101,1,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.020320824575347226,0.9285928640934141,,sub-10585,,0.9536801075226572
M3_logitprior,84,3,-49.02702932097232,104.05405864194464,104.35405864194463,111.34650903847458,0.10643884293391125,0.15796366582280275,True,101,101,98,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.013507418968818382,1.4733574028900978,,sub-10585,,1.6196141206331425
M4_theta10,84,3,-49.22577753550274,104.45155507100549,104.75155507100548,111.74400546753543,0.10302535408285671,0.15455017697174822,True,101,100,92,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.005942239383686202,1.2628384201363443,2.5912753827786967,sub-10589,,
M5_theta10,84,3,-49.401406801679315,104.80281360335863,105.10281360335863,112.09526399988857,0.10000893180490543,0.15153375469379693,True,101,101,97,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.03300912856101316,0.09327186257201603,10.0,sub-10589,,
M6_theta10,84,3,-51.73366008129399,109.46732016258798,109.76732016258798,116.75977055911792,0.05995261941684455,0.11147744230573609,True,101,101,88,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.04476961200722259,10.0,sub-10589,,
M7_theta10,84,4,-48.428015885423484,104.85603177084697,105.36236088477102,114.57929896622022,0.09955192236252076,0.16825168621437614,True,101,101,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.03807814538447585,0.09690607407514297,10.0,sub-10589,2.1014556789032173,
M3_phi10,84,3,-51.04811934244819,108.09623868489638,108.39623868489637,115.38868908142632,0.07172674113422782,0.12325156402311932,True,101,101,16,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.529518413118525,,sub-10589,,2.9487317892349085
M3_logitprior,84,3,-58.22447499943413,122.44894999886826,122.74894999886826,129.7414003953982,-0.05152674360373736,-1.9207148458377787e-06,True,101,101,101,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.4260816818330194,1e-05,,sub-10589,,1.732871431947267
M4_theta10,84,3,-39.434088147330236,84.86817629466047,85.16817629466047,92.16062669119042,0.27119704125239913,0.32272186414129067,True,101,101,62,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.005766962337630744,3.3247346565001994,0.6693857905591151,sub-10590,,
M5_theta10,84,3,-36.554955218141714,79.10991043628343,79.40991043628343,86.40236083281337,0.3206459793357372,0.3721708022246287,True,101,101,101,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.18441176597868017,0.8841208583326916,2.9309710138395837,sub-10590,,
M6_theta10,84,3,-44.401658049025,94.80331609805,95.10331609805,102.09576649457995,0.1858793214613954,0.2374041443502869,True,101,101,42,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,2.110014903284399,0.6383871403058848,sub-10590,,
M7_theta10,84,4,-33.83400563225212,75.66801126450424,76.1743403784283,85.3912784598775,0.350203186873628,0.41890295072548345,True,101,101,100,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.07364165550587544,1.8847328171447657,1.334389556993241,sub-10590,0.36788188450820675,
M3_phi10,84,3,-39.41983056753398,84.83966113506796,85.13966113506795,92.1321115315979,0.2714419143436746,0.3229667372325662,True,101,101,68,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.009006224239636101,0.8720756101133882,,sub-10590,,0.9366960932705415
M3_logitprior,84,3,-40.31955190489921,86.63910380979841,86.93910380979841,93.93155420632836,0.2559892534913079,0.30751407638019945,True,101,101,75,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.000554063671163531,1.1762518678343992,,sub-10590,,1.4353457781416283
M4_theta10,82,3,-32.58990728028724,71.17981456057448,71.48750686826679,78.39997230236725,0.37383679586623875,0.4266183217524203,True,101,101,101,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1.9210815842029476,1.3998975966521916,sub-10596,,
M5_theta10,82,3,-44.27571494066666,94.55142988133332,94.85912218902563,101.77158762312608,0.16823854269048696,0.22102006857666856,True,101,101,100,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.13749359367512068,10.0,sub-10596,,
M6_theta10,82,3,-33.254120829773576,72.50824165954715,72.81593396723946,79.72839940133991,0.36215072764751693,0.41493225353369856,True,101,101,101,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.313851149311847,4.29890800159652,sub-10596,,
M7_theta10,82,4,-32.5814186977043,73.1628373954086,73.68231791488913,82.78971438446561,0.3563923006846244,0.4267676685328665,True,101,101,101,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.3138511520849618,5.813973582080787,sub-10596,3.5192965466235178,
M3_phi10,82,3,-33.25412082977359,72.50824165954718,72.81593396723949,79.72839940133994,0.36215072764751666,0.4149322535336982,True,101,101,17,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1.19229165137725,,sub-10596,,2.075981361039642
