run,model,participant_id,n,posterior_draws,log_loss,brier,accuracy
HPreference_train_noage,HPreference,sub-10924,42,16000,0.4035669656172575,0.13577568435316195,0.6666666666666666
HPreference_train_noage,HPreference,sub-10926,15,16000,0.5906132885665784,0.2023035733579159,0.7333333333333333
HPreference_train_noage,HPreference,sub-10928,15,16000,0.2601751097645632,0.0806684149647776,0.8
HPreference_train_noage,HPreference,sub-10929,15,16000,0.640112888733565,0.22730767636888569,0.4666666666666667
HPreference_train_noage,HPreference,sub-10930,42,16000,0.515987548744773,0.1748934814979496,0.6904761904761905
HPreference_train_noage,HPreference,sub-10938,42,16000,0.6642210518106862,0.23333629272009296,0.5714285714285714
HPreference_train_noage,HPreference,sub-10940,42,16000,0.684915381758859,0.24571865362185596,0.5238095238095238
HPreference_train_noage,HPreference,sub-10950,42,16000,0.6765351388545117,0.23701651437550592,0.5476190476190477
HPreference_train_noage,HPreference,sub-10951,42,16000,0.19239037501770442,0.052932882283796466,0.9285714285714286
HPreference_train_noage,HPreference,sub-10952,15,16000,0.5943990571687772,0.2031810979391351,0.6
HPreference_train_noage,HPreference,sub-10953,42,16000,0.20954289886070254,0.047548515362448626,0.9523809523809523
HPreference_train_noage,HPreference,sub-10954,30,16000,0.6834966985554698,0.24509620648096403,0.6
HPreference_train_noage,HPreference,sub-10956,42,16000,0.45941165900547243,0.15319174971478616,0.7380952380952381
HPreference_train_noage,HPreference,sub-10958,42,16000,0.6229650139197589,0.21496369736292695,0.7380952380952381
HPreference_train_noage,HPreference,sub-10969,42,16000,0.7413524826072931,0.2737647520882156,0.3333333333333333
HPreference_train_noage,HPreference,sub-10974,14,16000,0.7040805104355996,0.25307083364212896,0.6428571428571429
HPreference_train_noage,HPreference,sub-10977,15,16000,0.6237250685819243,0.21312793650049663,0.7333333333333333
HPreference_train_noage,HPreference,sub-10983,40,16000,0.6142769020819024,0.21285119505818545,0.65
HPreference_train_noage,HPreference,sub-10984,40,16000,0.6304943235777287,0.2064457543897062,0.65
HPreference_train_noage,HPreference,sub-11005,42,16000,0.7903416310379511,0.2937208679939549,0.42857142857142855
HPreference_train_noage,HPreference,sub-11031,42,16000,0.6069198769774033,0.2110457457084148,0.6190476190476191
