model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,participant_id,heldout_n,heldout_log_loss,heldout_accuracy,heldout_brier,split,kappa,alpha,theta,theta_stranger,alpha_negative,phi
M5,26,3,-14.135464159938774,34.27092831987755,35.36183741078664,38.045217933942,0.04918272435099083,0.2156475367612558,True,100,100,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10369,15,0.6153261455618897,0.6666666666666666,0.21325431117942184,chronological_65_percent,0.34657599527226735,0.2684766391580604,5.0,,,
M6,26,3,-17.59705678896056,41.19411357792112,42.285022668830216,44.96840319198557,-0.14289506485929848,0.023569747550966524,True,100,100,71,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10369,15,0.6598117506710551,0.5333333333333333,0.2337964826578275,chronological_65_percent,0.03865102227334528,0.0,5.0,,,
M7,26,4,-14.135464159938774,36.27092831987755,38.17569022463945,41.303314471963475,-0.006305546452430841,0.2156475367612558,True,100,100,99,theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10369,15,0.6153261471613797,0.6666666666666666,0.2132543114270738,chronological_65_percent,0.34657600036742103,0.268476638746766,5.0,0.0,,
M8,26,3,-18.021846363368876,42.04369272673775,43.134601817646846,45.8179823408022,-0.16646590379853732,-1.0913882722007884e-06,True,100,100,100,alpha_negative;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10369,15,0.6931435139189739,0.6666666666666666,0.24999816667951447,chronological_65_percent,1e-05,0.9082232824998996,,,0.0,
M0,41,0,-28.419034402957756,56.83806880591551,56.83806880591551,56.83806880591551,0.0,0.0,True,1,1,1,,exact,sub-10402,42,0.6931471805599452,0.5952380952380952,0.25,run_1_to_2,,,,,,
M1,41,1,-28.419101903754626,58.83820380750925,58.940767910073355,60.55177587421356,-0.035190059120825956,-2.3751967048735168e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,42,0.6931480139129216,0.40476190476190477,0.2500004166764881,run_1_to_2,1e-05,,,,,
M2,41,2,-28.419071264382495,60.83814252876499,61.1539320024492,64.26528666217361,-0.07037666491640483,-1.297068162653403e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,42,0.6931471893985435,0.4523809523809524,0.2500000044192991,run_1_to_2,1e-05,0.2747183161392537,,,,
M5,41,3,-28.151765354540164,62.30353070908033,62.95217935772897,67.44424690919325,-0.09615847297394434,0.009404578798418828,True,100,100,78,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,42,0.6574229605929574,0.6190476190476191,0.23241819964810242,run_1_to_2,0.032198091659473564,0.16937865880421862,5.0,,,
M6,41,3,-26.625791415702643,59.25158283140529,59.90023148005393,64.3922990315182,-0.04246298433768363,0.06310006743467955,True,100,100,79,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,42,0.6429054735642213,0.6428571428571429,0.22540188972113617,run_1_to_2,0.061063845762442004,0.13603091671066198,5.0,,,
M7,41,4,-26.43009685063384,60.86019370126768,61.9713048123788,67.71448196808491,-0.07076462976049534,0.06998610593598886,True,100,100,97,theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,42,0.6707777602626157,0.6428571428571429,0.23593730173443048,run_1_to_2,0.08190233520042034,0.15716981084567788,2.544472278195629,5.0,,
M8,41,3,-26.5438912547133,59.0877825094266,59.73643115807525,64.22849870953952,-0.03958110735945604,0.06598194441290717,True,100,100,87,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,42,0.7317449382487362,0.5952380952380952,0.26563470727654276,run_1_to_2,0.3880659539615861,0.3196481753769264,,,0.0,
M3,41,3,-26.688435330656123,59.376870661312246,60.02551930996089,64.51758686142517,-0.04466727861683619,0.06089577315552697,True,100,100,26,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,42,0.6659505447826698,0.5952380952380952,0.2373116727306071,run_1_to_2,0.2954798961834252,0.0,,,,2.5665183258205904
M4,41,3,-26.93557668539598,59.87115337079196,60.519802019440604,65.01186957090488,-0.053363610492001334,0.0521994412803618,True,100,100,84,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10402,42,0.6397968238463942,0.5952380952380952,0.22517414247329523,run_1_to_2,0.09596130899872193,0.105551164909491,4.214948451264368,,,
M0,42,0,-29.112181583517703,58.224363167035406,58.224363167035406,58.224363167035406,0.0,0.0,True,1,1,1,,exact,sub-10418,42,0.6931471805599452,0.7142857142857143,0.25,run_1_to_2,,,,,,
M1,42,1,-29.112266584342706,60.22453316868541,60.32453316868541,61.96220278696878,-0.03435280169423015,-2.9197683024673182e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,42,0.6931487281986358,0.2857142857142857,0.2500007738193452,run_1_to_2,1e-05,,,,,
M2,42,2,-29.112266584342706,62.22453316868541,62.53222547637772,65.69987240525215,-0.06870268362015784,-2.9197683024673182e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,42,0.6931487281986358,0.2857142857142857,0.2500007738193452,run_1_to_2,1e-05,0.0,,,,
M5,42,3,-21.1986137170013,48.3972274340026,49.02880638137102,53.610236288852704,0.1687804760498709,0.271830121827654,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,42,0.48703152773123176,0.6190476190476191,0.17148986121544305,run_1_to_2,0.37164477614478997,0.0,5.0,,,
M6,42,3,-23.015533385311677,52.031066770623355,52.66264571799177,57.24407562547346,0.10636949997451374,0.2094191457522968,True,100,100,90,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,42,0.7903086257850068,0.5714285714285714,0.2730662015097788,run_1_to_2,0.3833714645087639,0.019976739737899166,2.1588518428903267,,,
M7,42,4,-18.857982675278393,45.715965350556786,46.79704643163787,52.66664382369026,0.21483099403928624,0.35223052174299707,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,42,0.5894367622320086,0.5714285714285714,0.22321326050165435,run_1_to_2,0.6230188465069268,0.0,5.0,0.8821067923529794,,
M8,42,3,-28.818144229544348,63.636288459088696,64.26786740645711,68.8492973139388,-0.09294949738698614,0.010100148390796981,True,100,100,97,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,42,0.6696139260640716,0.7142857142857143,0.2382494867121598,run_1_to_2,0.10266811508230285,1.0,,,0.0,
M3,42,3,-25.317624125087587,56.635248250175174,57.26682719754359,61.84825710502528,0.0272929548804397,0.13034260065822278,True,100,100,83,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,42,0.7722733605378687,0.3333333333333333,0.2883418126479941,run_1_to_2,0.7666794507251763,0.07592251634971091,,,,1.1735064770643022
M4,42,3,-27.167732377582755,60.33546475516551,60.96704370253393,65.54847361001562,-0.03625804514295377,0.06679160063482936,True,100,99,82,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10418,42,0.6634193234561551,0.7142857142857143,0.23442084354492684,run_1_to_2,0.060511235441369084,0.0,5.0,,,
M0,27,0,-18.714973875118524,37.42994775023705,37.42994775023705,37.42994775023705,0.0,0.0,True,1,1,1,,exact,sub-10462,14,0.6931471805599453,0.35714285714285715,0.25,chronological_65_percent,,,,,,
M1,27,1,-18.117786821400212,38.235573642800425,38.39557364280042,39.531410508804754,-0.021523564444683868,0.03190958521787035,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,14,0.6240131952922392,0.6428571428571429,0.21612430430182641,chronological_65_percent,0.3452419061436458,,,,,
M2,27,2,-17.571299817784688,39.142599635569375,39.642599635569375,41.734273367578034,-0.04575619225440894,0.061110107070699415,True,100,100,32,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,14,0.6356884274977054,0.5714285714285714,0.22419066065697704,chronological_65_percent,0.1597850389954421,1.0,,,,
M5,27,3,-16.54453739589916,39.08907479179832,40.13255305266788,42.976585389811305,-0.04432619176046705,0.11597325722719554,True,100,100,70,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,14,0.6147503204341237,0.7857142857142857,0.21053011054783174,chronological_65_percent,0.7629830218994559,0.08510381023546625,0.8415348751520237,,,
M6,27,3,-17.100191637646063,40.200383275292126,41.24386153616169,44.08789387330511,-0.07401654802036244,0.08628290096730018,True,100,100,36,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,14,0.7138612994459289,0.5,0.2624341589271637,chronological_65_percent,0.8463190102899808,0.1355359057696388,0.8003060634875381,,,
M7,27,4,-16.544477855064986,41.08895571012997,42.90713752831179,46.27230317414729,-0.09775615996871789,0.11597643868149887,True,100,100,38,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,14,0.6135877919643976,0.7857142857142857,0.2101558576130127,chronological_65_percent,0.7684622677245231,0.08543580826583018,0.8417888226435027,0.012407444312929412,,
M8,27,3,-17.359526078400958,40.719052156801915,41.76253041767148,44.6065627548149,-0.08787360400587353,0.07242584498178906,True,100,100,76,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,14,0.6020428106837208,0.6428571428571429,0.20626814436543925,chronological_65_percent,0.14506216285743967,0.0,,,1.0,
M3,27,3,-16.67644341117942,39.35288682235884,40.3963650832284,43.24039742037183,-0.05137434561632842,0.10892510337133421,True,100,100,48,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,14,0.6346608228132128,0.5714285714285714,0.22581553240389174,chronological_65_percent,0.2144278470340705,1.0,,,,3.8383339086138006
M4,27,3,-17.339955002510745,40.67991000502149,41.72338826589105,44.56742060303448,-0.08682785977877461,0.07347158920888797,True,100,100,48,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10462,14,0.7147645920711607,0.5,0.2602503151982291,chronological_65_percent,1.9054214385092245,0.04413659089402006,0.5960337135926235,,,
M0,41,0,-28.419034402957756,56.83806880591551,56.83806880591551,56.83806880591551,0.0,0.0,True,1,1,1,,exact,sub-10478,41,0.6931471805599453,0.7317073170731707,0.25,run_1_to_2,,,,,,
M1,41,1,-28.419101903754626,58.83820380750925,58.940767910073355,60.55177587421356,-0.035190059120825956,-2.3751967048735168e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10478,41,0.69314992448243,0.2682926829268293,0.25000137196124234,run_1_to_2,1e-05,,,,,
M2,41,2,-28.41905123157541,60.83810246315082,61.15389193683503,64.26524659655944,-0.07037596000832098,-5.921600787495152e-07,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10478,41,0.6931505202927624,0.34146341463414637,0.25000166986640837,run_1_to_2,1e-05,0.43970455374515494,,,,
M5,41,3,-22.149211764732787,50.29842352946557,50.94707217811422,55.4391397295785,0.11505748548179587,0.2206205372541591,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10478,41,0.5486029396311561,0.6341463414634146,0.19652912247521703,run_1_to_2,0.3680897828534285,0.2428302253056065,4.213632341460791,,,
M6,41,3,-26.450805770103106,58.90161154020621,59.55026018885486,64.04232774031914,-0.03630564474906883,0.0692574070232943,True,100,99,19,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10478,41,0.5882429506040688,0.7317073170731707,0.19990857210354732,run_1_to_2,0.07035632142546944,0.0,5.0,,,
M7,41,4,-22.132922729317542,52.265845458635084,53.3769565697462,59.12013372545232,0.08044297498729525,0.22119371068377947,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10478,41,0.5470927383169895,0.6585365853658537,0.1955259889719367,run_1_to_2,0.3968339220404333,0.2347837967465553,3.932771240933907,0.08671320644925835,,
M8,41,3,-27.14233462917008,60.28466925834016,60.933317906988805,65.42538545845308,-0.060638943666325565,0.04492410810603764,True,100,100,75,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10478,41,0.6098514213351932,0.7317073170731707,0.20970629269978852,run_1_to_2,0.22286892829491686,0.7670908805739066,,,0.0,
M0,27,0,-18.714973875118524,37.42994775023705,37.42994775023705,37.42994775023705,0.0,0.0,True,1,1,1,,exact,sub-10486,15,0.6931471805599453,1.0,0.25,chronological_65_percent,,,,,,
M1,27,1,-18.715131375659148,39.430262751318295,39.59026275131829,40.726099617322625,-0.053441565412513284,-8.415749959134189e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,15,0.6931526805789037,0.0,0.2500027500094791,chronological_65_percent,1e-05,,,,,
M2,27,2,-18.715131375659148,41.430262751318295,41.930262751318295,44.021936483326954,-0.10687471507506748,-8.415749959134189e-06,True,100,100,99,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,15,0.6931526805789037,0.0,0.2500027500094791,chronological_65_percent,1e-05,0.0,,,,
M5,27,3,-15.805800339658028,37.611600679316055,38.65507894018562,41.49911127732904,-0.004853144073059968,0.15544630491460265,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,15,0.6178154320681098,0.3333333333333333,0.2209874331081211,chronological_65_percent,0.17255137536094622,0.0,5.0,,,
M6,27,3,-8.347736059878304,22.69547211975661,23.738950380626175,26.582982717769596,0.3936547207813595,0.553954169769022,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,15,0.42841886213038854,0.6,0.15751081990166113,chronological_65_percent,0.3799019220097996,0.0,5.0,,,
M7,27,4,-8.347736059878304,24.69547211975661,26.513653937938425,29.878819583773925,0.3402215711188053,0.553954169769022,True,100,100,100,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,15,0.4284188620886033,0.6,0.15751081985823437,chronological_65_percent,0.37990192159634334,0.0,5.0,5.0,,
M8,27,3,-12.101209965573336,30.20241993114667,31.245898192016238,34.08993052915966,0.19309478782386502,0.3533942368115276,True,100,100,100,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,15,0.20424510195947476,1.0,0.042577668836380825,chronological_65_percent,0.8011592221899918,1.0,,,0.0,
M3,27,3,-1.4428071182237545e-08,6.000000028856142,7.043478289725708,9.88751062686913,0.8397005502414001,0.9999999992290627,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,15,6.870510086779783e-10,1.0,1.416118180912249e-18,chronological_65_percent,20.0,0.0,,,,2.9740912935943986
M4,27,3,-0.0,6.0,7.043478260869565,9.887510598012987,0.8397005510123374,1.0,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,15,0.0,1.0,0.0,chronological_65_percent,17.975445185291342,0.0,5.0,,,
M0,41,0,-28.419034402957756,56.83806880591551,56.83806880591551,56.83806880591551,0.0,0.0,True,1,1,1,,exact,sub-10529,40,0.6931471805599453,0.675,0.25,run_1_to_2,,,,,,
M1,41,1,-28.41908690375462,58.83817380750924,58.940737910073345,60.55174587421355,-0.03518953130556693,-1.847381445818641e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,40,0.6931494930792421,0.325,0.25000115625964836,run_1_to_2,1e-05,,,,,
M2,41,2,-28.419079410814,60.838158821628,61.15394829531221,64.26530295503662,-0.07037695157046173,-1.5837222195891343e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,40,0.6931470557158829,0.525,0.24999993757796873,run_1_to_2,1e-05,1.0,,,,
M5,41,3,-26.0066766281421,58.0133532562842,58.66200190493284,63.154069456397124,-0.020677768880253834,0.08488528289210939,True,100,100,95,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,40,0.662458209340856,0.5,0.2361757499850033,run_1_to_2,0.11959623016059198,0.0,5.0,,,
M6,41,3,-26.756920942823335,59.51384188564667,60.162490534295316,64.65455808575959,-0.047077128691125986,0.058485923081237234,True,100,100,79,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,40,0.6416251636044958,0.575,0.22563577220441458,run_1_to_2,0.09107032521832155,0.0,3.7445244094464334,,,
M7,41,4,-25.820934360012206,59.64186872002441,60.75297983113553,66.49615698684164,-0.04932961258207088,0.09142112311441342,True,100,100,98,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,40,0.6449220047636384,0.575,0.22738623052571855,run_1_to_2,0.1251421707587923,0.0,5.0,1.109967078775336,,
M8,41,3,-27.489932390889244,60.97986478177849,61.628513430427134,66.12058098189141,-0.07287010383843148,0.03269294793393174,True,100,100,98,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,40,0.6191951240795245,0.675,0.2149308245367713,run_1_to_2,0.29398726036834116,0.38202840726541,,,0.0,
M3,41,3,-26.67840940321006,59.35681880642012,60.00546745506877,64.49753500653304,-0.044314489450818,0.061248562321545186,True,100,100,2,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,40,0.6406050036157792,0.6,0.22522474574793855,run_1_to_2,0.7807317200646798,0.0,,,,0.9258124889937211
M4,41,3,-26.678409403210054,59.35681880642011,60.005467455068754,64.49753500653303,-0.04431448945081775,0.06124856232154541,True,100,100,66,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,40,0.6406050026358557,0.6,0.22522474530728967,run_1_to_2,3.122926911491374,0.0,0.6943593682602521,,,
M0,40,0,-27.725887222397812,55.451774444795625,55.451774444795625,55.451774444795625,0.0,0.0,True,1,1,1,,exact,sub-10541,42,0.6931471805599452,0.7380952380952381,0.25,run_1_to_2,,,,,,
M1,40,1,-27.725974723207177,57.45194944641435,57.55721260430909,59.14082890052829,-0.036070531946817676,-3.155924593656323e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,42,0.693149561531969,0.2619047619047619,0.2500011904860119,run_1_to_2,1e-05,,,,,
M2,40,2,-27.725942363206382,59.451884726412764,59.77620905073709,62.82964363464064,-0.07213674082872502,-1.9887842768184782e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,42,0.693147698614417,0.5,0.25000025902723566,run_1_to_2,1e-05,0.49799371289170385,,,,
M5,40,3,-27.083605906312005,60.16721181262401,60.833878479290675,65.23385017496582,-0.0850367263273565,0.023165401739315805,True,100,100,66,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,42,0.6686265564528734,0.4523809523809524,0.23825601619202827,run_1_to_2,0.05353144642122872,0.013041233994484744,5.0,,,
M6,40,3,-27.63122381600498,61.26244763200996,61.92911429867662,66.32908599435177,-0.10478786739275735,0.003414260673914926,True,100,100,56,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,42,0.6750612140863138,0.6428571428571429,0.2409990097347844,run_1_to_2,0.011952742718592736,0.25058371700008164,5.0,,,
M7,40,4,-27.083605906312005,62.16721181262401,63.31006895548116,68.92272962907975,-0.12110410234958058,0.023165401739315805,True,100,100,76,theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,42,0.6686265565908264,0.4523809523809524,0.2382560162565325,run_1_to_2,0.05353144670264178,0.01304123224233443,5.0,0.0,,
M8,40,3,-26.33257980668692,58.66515961337384,59.3318262800405,63.73179797571565,-0.05794918558967418,0.050252942476998075,True,100,100,8,alpha,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10541,42,0.6206913384549738,0.7380952380952381,0.2149217574111542,run_1_to_2,0.24700882658451628,0.9999999999999957,,,0.05215141653205423,
M3,40,3,-23.77565952246309,53.55131904492618,54.217985711592846,58.617957407267994,0.03427221976027872,0.142474347826951,True,100,100,8,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,42,0.6224672548973581,0.7380952380952381,0.21507617473966384,run_1_to_2,0.4805289952672004,0.0,,,,1.6043730602100938
M4,40,3,-24.90165181621274,55.80330363242548,56.46997029909215,60.86994199476729,-0.006339367696516519,0.10186276037015574,True,100,100,92,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,42,0.6199921189538121,0.7380952380952381,0.21424783455802435,run_1_to_2,0.387408144958874,0.0,1.9059979317924254,,,
M0,27,0,-18.714973875118524,37.42994775023705,37.42994775023705,37.42994775023705,0.0,0.0,True,1,1,1,,exact,sub-10555,14,0.6931471805599453,0.6428571428571429,0.25,chronological_65_percent,,,,,,
M1,27,1,-18.715016375584153,39.430032751168305,39.5900327511683,40.725869617172634,-0.05343542059629486,-2.2709337406112695e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10555,14,0.6931491448677578,0.35714285714285715,0.25000098215390615,chronological_65_percent,1e-05,,,,,
M2,27,2,-17.341005460529555,38.68201092105911,39.18201092105911,41.27368465306777,-0.0334508393967537,0.07341545992835474,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10555,14,0.6074169724447412,0.7857142857142857,0.20369860783977464,chronological_65_percent,0.24004993709491113,0.8726783101702613,,,,
M5,27,3,-14.715875887637061,35.43175177527412,36.475230036143685,39.31926237328711,0.0533849522926537,0.2136844012803163,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10555,14,0.4708270888625109,0.8571428571428571,0.1515367069927218,chronological_65_percent,0.31416275279614786,0.8100587317389351,5.0,,,
M6,27,3,-15.572769099232994,37.145538198465985,38.18901645933555,41.03304879647898,0.0075984490726215765,0.1678978980602841,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10555,14,0.5463013921053324,0.7857142857142857,0.1803686179057465,chronological_65_percent,0.20143232490140542,0.7423485592635002,1.8725619329996956,,,
M7,27,4,-14.518728160414867,37.03745632082973,38.85563813901155,42.22080378484705,0.010486026644395437,0.22421862529461223,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10555,14,0.47109132535162335,0.8571428571428571,0.15054738936331566,chronological_65_percent,0.2852754355477272,0.8020601637260848,5.0,0.5239282998414053,,
M8,27,3,-12.840054070204737,31.680108140409473,32.723586401279036,35.56761873842246,0.15361602020379952,0.31391546919146207,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10555,14,0.34417012337667424,0.8571428571428571,0.10332460808334057,chronological_65_percent,1.0557169626157603,0.8656881600304419,,,0.23644249199052603,
