specification,kind,term,estimate,se,ci_low,ci_high,p,n_subjects,n_trials,p_holm,odds_ratio,or_ci_low,or_ci_high
quadratic,coefficient,C(offer_pair)[T.2-8],-1.3103043730719788,0.14136963150491907,-1.5873837593293192,-1.0332249868146384,1.8853253798915144e-20,111,8251,,0.26973794292244085,0.20445982872882654,0.35585747236700016
quadratic,coefficient,C(offer_pair)[T.4-8],-1.5365323131881847,0.14304285411302564,-1.816891155495532,-1.2561734708808374,6.479567688474608e-27,111,8251,,0.2151257983867728,0.1625302475937618,0.2847415162205333
quadratic,coefficient,age_z,0.08384106324883507,0.174195167340127,-0.2575751910187417,0.4252573175164118,0.6302995064115303,111,8251,,1.0874560433424807,0.7729235072225763,1.5299840607144906
quadratic,coefficient,C(partner)[T.stranger]:age_z,-0.01304988780076359,0.09250984306354522,-0.19436584842076476,0.16826607281923756,0.8878187058819299,111,8251,,0.9870348927919262,0.8233566254396021,1.1832513998033471
quadratic,coefficient,C(partner)[T.friend]:age_z,0.05346561600012986,0.17654180152983762,-0.29254995676417006,0.39948118876442984,0.7620044732097369,111,8251,,1.0549207187501326,0.7463579584760135,1.491050922965487
quadratic,coefficient,trial_scaled,0.3193016069552741,0.16089672261946877,0.0039498253905842495,0.6346533885199639,0.04719870159501638,111,8251,,1.3761663236544672,1.0039576362313254,1.886368191261296
quadratic,coefficient,C(partner)[T.stranger]:trial_scaled,-0.38828383987211834,0.16842021462318613,-0.7183813948020693,-0.05818628494216738,0.021141564657545638,111,8251,,0.678219810116933,0.4875407536526573,0.9434741760332052
quadratic,coefficient,C(partner)[T.friend]:trial_scaled,-1.0299442237825616,0.21852137294735888,-1.4582382446116302,-0.6016502029534929,2.438057529544848e-06,111,8251,,0.3570268736223393,0.23264577885527113,0.5479067323539956
quadratic,coefficient,age_z_squared,-0.16591770957453433,0.1694719059235208,-0.49807654157599535,0.16624112242692668,0.32756623676782126,111,8251,,0.8471159408524563,0.6076984189275952,1.1808577986967612
quadratic,coefficient,C(partner)[T.stranger]:age_z_squared,0.09401389859167032,0.15961543402723066,-0.2188266034784308,0.4068544006617714,0.5558595591049804,111,8251,,1.098575014456613,0.8034610234224309,1.5020853871013733
quadratic,coefficient,C(partner)[T.friend]:age_z_squared,-0.01672867203070903,0.20441487753170492,-0.4173744698970166,0.3839171258355985,0.934776443095127,111,8251,,0.9834104752066182,0.6587741826488255,1.4680237753968557
quadratic,age_interaction_contrast,friend - computer,0.05346561600012986,0.17654180152983762,-0.2925563149983519,0.39948754699861155,0.7620044732097369,111,8251,1.0,1.0549207187501326,0.7463532129724165,1.4910604034465715
quadratic,age_interaction_contrast,stranger - computer,-0.01304988780076359,0.09250984306354522,-0.19436918020531224,0.16826940460378503,0.8878187058819299,111,8251,1.0,0.9870348927919262,0.8233538821972903,1.1832553421486443
quadratic,age_interaction_contrast,friend - stranger,0.06651550380089345,0.16162456949056364,-0.2502686524006113,0.3832996600023982,0.6806742199840294,111,8251,1.0,1.0687775340608117,0.7785915844735457,1.4671176006679802
