parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,metric,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
"natural[4,1]",0.0316913,0.000369223,0.028526,0.0199805,0.00386779,0.0238081,0.0861007,5496.53,5868.66,3.99954,0.999931,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[4,2]",0.38748,0.00146691,0.142764,0.137458,0.18587,0.371002,0.652368,9523.78,6243.82,6.92997,1.00039,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[4,3]",5.74281,0.0203531,1.59511,1.54063,3.37313,5.58743,8.59133,6390.63,5733.7,4.65014,1.00039,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[4,4]",0.495299,0.00454629,0.40434,0.334577,0.0423266,0.415986,1.21949,8074.87,5432.96,5.87567,1.00008,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[5,1]",0.0911437,0.00150934,0.10456,0.0527746,0.00817044,0.0576629,0.295363,5851.88,5771.49,4.25812,1.00081,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[5,2]",0.543013,0.00516254,0.358256,0.379419,0.0631333,0.494068,1.20222,3794.95,3079.51,2.7614,1.00024,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[5,3]",1.41025,0.0308035,1.57749,0.628223,0.173615,0.916914,4.57909,4746.74,2932.21,3.45396,1.00034,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[5,4]",0.234943,0.0159704,0.835243,0.0314526,0.000333084,0.0222229,1.00273,6127.31,3190.31,4.45853,1.00074,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[6,1]",0.0702302,0.000713118,0.0584727,0.0454231,0.008478,0.0543311,0.186186,5087.03,4412.09,3.70158,1.00016,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[6,2]",0.317845,0.00162897,0.13836,0.129399,0.134475,0.295986,0.574937,6814.21,6522.71,4.95835,1.00045,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[6,3]",5.19133,0.0211786,1.67527,1.6324,2.84849,4.99095,8.23552,7012.74,6266.33,5.10282,1.0004,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[6,4]",0.77361,0.00841521,0.703256,0.499915,0.0653964,0.601176,2.07214,8595.55,5716.17,6.25455,1.00059,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[7,1]",0.0597253,0.000927303,0.0605636,0.0380025,0.00556066,0.0400634,0.181761,3251.53,5482.91,2.36597,1.00052,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[7,2]",0.262928,0.0010261,0.108316,0.102484,0.117167,0.246618,0.462901,11487.0,6052.59,8.35853,1.00006,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[7,3]",9.63455,0.0250403,2.50648,2.51876,5.84604,9.45542,13.9619,10380.6,5828.3,7.55345,1.0001,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[7,4]",6.86858,0.023802,2.48597,2.48531,3.28145,6.6029,11.3062,13386.6,4994.64,9.74077,1.00023,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[8,1]",0.103247,0.00116694,0.0936133,0.0643902,0.0121421,0.0758257,0.286322,5325.71,5292.07,3.87525,1.00165,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[8,2]",0.107153,0.000702219,0.0662758,0.0537787,0.0317576,0.0914955,0.236163,7746.7,6313.94,5.63688,0.999931,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
"natural[8,3]",6.21098,0.0329567,2.62277,2.59977,2.55788,5.86442,11.0192,7282.74,5202.39,5.29928,1.00038,H7_full_age_attempt95_short,111,0,diag_e,4,2000,2000,0.95,0,0.6812728750913485,True
