participant_id,partner,offer_pair,high_probability,investment,rt,n
sub-10529,friend,2-8,0.625,5.75,2.10745735,8
sub-10529,friend,4-8,0.75,7.0,1.8055667,4
sub-10529,stranger,0-2,1.0,2.0,1.8528713,3
sub-10529,stranger,0-4,1.0,4.0,1.5874203,4
sub-10529,stranger,0-8,1.0,8.0,1.719025,4
sub-10529,stranger,2-4,0.5,3.0,2.14022405,4
sub-10529,stranger,2-8,0.2857142857142857,3.7142857142857144,2.1376991,7
sub-10529,stranger,4-8,0.25,5.0,1.8531167000000002,4
sub-10541,computer,0-2,1.0,2.0,1.6192405499999998,4
sub-10541,computer,0-4,1.0,4.0,1.80371055,4
sub-10541,computer,0-8,1.0,8.0,1.9967155,4
sub-10541,computer,2-4,1.0,4.0,1.6159199499999999,4
sub-10541,computer,2-8,0.75,6.5,2.0165291,8
sub-10541,computer,4-8,0.25,5.0,1.7651067,4
sub-10541,friend,0-2,0.75,1.5,1.93278565,4
sub-10541,friend,0-4,0.75,3.0,1.83923805,4
sub-10541,friend,0-8,1.0,8.0,2.2923112,4
sub-10541,friend,2-4,1.0,4.0,2.0027661,3
sub-10541,friend,2-8,0.5,5.0,2.1206816,8
sub-10541,friend,4-8,0.75,7.0,2.0818197,4
sub-10541,stranger,0-2,0.75,1.5,2.1691605000000003,4
sub-10541,stranger,0-4,1.0,4.0,1.7800508,3
sub-10541,stranger,0-8,0.75,6.0,1.7404673,4
sub-10541,stranger,2-4,1.0,4.0,1.82683245,4
sub-10541,stranger,2-8,0.375,4.25,1.9889090999999999,8
sub-10541,stranger,4-8,0.0,4.0,1.82449295,4
sub-10555,computer,0-2,1.0,2.0,2.0083451500000002,2
sub-10555,computer,0-4,1.0,4.0,2.1522186999999997,2
sub-10555,computer,0-8,0.5,4.0,2.1864350999999997,2
sub-10555,computer,2-4,0.5,3.0,2.20276795,2
sub-10555,computer,2-8,1.0,8.0,2.1794761,4
sub-10555,computer,4-8,1.0,8.0,2.0401441499999997,2
sub-10555,friend,0-2,0.5,1.0,2.02844655,2
sub-10555,friend,0-4,0.5,2.0,2.15006605,2
sub-10555,friend,0-8,1.0,8.0,2.13645495,2
sub-10555,friend,2-4,0.5,3.0,2.481067,2
sub-10555,friend,2-8,0.75,6.5,2.1131476,4
sub-10555,friend,4-8,0.0,4.0,2.1800783,2
sub-10555,stranger,0-2,1.0,2.0,2.079897,2
sub-10555,stranger,0-4,0.5,2.0,2.5534336,2
sub-10555,stranger,0-8,1.0,8.0,1.7445765,1
sub-10555,stranger,2-4,0.5,3.0,2.09449765,2
sub-10555,stranger,2-8,0.25,3.5,2.12144855,4
sub-10555,stranger,4-8,0.0,4.0,2.07772895,2
sub-10559,computer,0-2,0.6666666666666666,1.3333333333333333,2.350683,3
sub-10559,computer,0-4,0.0,0.0,2.0499475,4
sub-10559,computer,0-8,0.0,0.0,1.8982703,4
sub-10559,computer,2-4,0.0,2.0,2.0833534,4
sub-10559,computer,2-8,0.0,2.0,1.9078856,8
sub-10559,computer,4-8,0.0,4.0,1.75754525,4
sub-10559,friend,0-2,0.3333333333333333,0.6666666666666666,1.8826554,3
sub-10559,friend,0-4,0.0,0.0,1.9572641,3
sub-10559,friend,0-8,0.25,2.0,1.9084197999999999,4
sub-10559,friend,2-4,0.0,2.0,1.6612598,3
sub-10559,friend,2-8,0.0,2.0,1.63516875,8
sub-10559,friend,4-8,0.25,5.0,1.9334052499999999,4
sub-10559,stranger,0-2,0.0,0.0,1.9294713,3
sub-10559,stranger,0-4,0.0,0.0,1.8225414,4
sub-10559,stranger,0-8,0.25,2.0,2.1726255,4
sub-10559,stranger,2-4,0.0,2.0,2.27461345,4
sub-10559,stranger,2-8,0.125,2.75,2.2860991999999998,8
sub-10559,stranger,4-8,0.0,4.0,2.059008,3
sub-10572,computer,0-2,1.0,2.0,1.8625170500000001,4
sub-10572,computer,0-4,1.0,4.0,1.8760256,4
sub-10572,computer,0-8,0.0,0.0,1.6799058,4
sub-10572,computer,2-4,1.0,4.0,1.8888186999999999,4
sub-10572,computer,2-8,0.125,2.75,1.5929601500000001,8
sub-10572,computer,4-8,0.0,4.0,1.66877695,4
sub-10572,friend,0-2,1.0,2.0,1.9321913,4
sub-10572,friend,0-4,0.75,3.0,1.8058397,4
sub-10572,friend,0-8,0.3333333333333333,2.6666666666666665,1.7883673,3
sub-10572,friend,2-4,1.0,4.0,1.81413795,4
sub-10572,friend,2-8,0.25,3.5,1.81569055,8
sub-10572,friend,4-8,0.25,5.0,1.5884457,4
sub-10572,stranger,0-2,1.0,2.0,1.6659453499999999,4
sub-10572,stranger,0-4,1.0,4.0,1.67237005,4
sub-10572,stranger,0-8,0.0,0.0,1.71416885,4
sub-10572,stranger,2-4,1.0,4.0,1.8788749,4
sub-10572,stranger,2-8,0.125,2.75,1.53384315,8
sub-10572,stranger,4-8,0.25,5.0,1.6824808,4
sub-10581,computer,0-2,0.5,1.0,1.637264,4
sub-10581,computer,0-4,0.5,2.0,2.3511585,4
sub-10581,computer,0-8,0.25,2.0,1.97893815,4
sub-10581,computer,2-4,0.0,2.0,2.2089759,4
sub-10581,computer,2-8,0.0,2.0,2.31870605,6
sub-10581,computer,4-8,0.0,4.0,2.11438395,4
sub-10581,friend,0-2,0.75,1.5,1.7292817999999999,4
sub-10581,friend,0-4,1.0,4.0,2.3559484,4
sub-10581,friend,0-8,0.75,6.0,1.8510871500000001,4
sub-10581,friend,2-4,1.0,4.0,2.1793083,4
sub-10581,friend,2-8,1.0,8.0,2.11941595,8
sub-10581,friend,4-8,0.75,7.0,2.0717749000000003,4
sub-10581,stranger,0-2,0.25,0.5,2.1846856,4
sub-10581,stranger,0-4,1.0,4.0,2.4247644,2
sub-10581,stranger,0-8,0.5,4.0,2.13424755,4
sub-10581,stranger,2-4,0.5,3.0,2.5210121,4
sub-10581,stranger,2-8,0.25,3.5,2.2535963,8
sub-10581,stranger,4-8,0.3333333333333333,5.333333333333333,2.0799725,3
sub-10584,computer,0-2,0.75,1.5,1.9671793,4
sub-10584,computer,0-4,0.75,3.0,1.60556025,4
sub-10584,computer,0-8,0.75,6.0,2.1020015,4
sub-10584,computer,2-4,0.5,3.0,2.07798245,4
sub-10584,computer,2-8,0.0,2.0,1.9415466000000001,8
sub-10584,computer,4-8,0.25,5.0,1.79911195,4
sub-10584,friend,0-2,0.5,1.0,1.85697915,4
sub-10584,friend,0-4,0.25,1.0,1.86820075,4
sub-10584,friend,0-8,0.25,2.0,1.9027170999999998,4
sub-10584,friend,2-4,0.0,2.0,1.6129332,4
sub-10584,friend,2-8,0.0,2.0,1.5750400500000001,8
sub-10584,friend,4-8,0.25,5.0,1.72918445,4
sub-10584,stranger,0-2,1.0,2.0,1.76233635,4
sub-10584,stranger,0-4,0.3333333333333333,1.3333333333333333,1.790824,3
sub-10584,stranger,0-8,0.75,6.0,1.7271688,4
sub-10584,stranger,2-4,0.0,2.0,1.8723712,4
sub-10584,stranger,2-8,0.375,4.25,1.8006655,8
sub-10584,stranger,4-8,0.25,5.0,1.7271667000000002,4
sub-10585,computer,0-2,0.5,1.0,1.6792254,4
sub-10585,computer,0-4,0.5,2.0,1.7475906,4
sub-10585,computer,0-8,1.0,8.0,1.91542015,4
sub-10585,computer,2-4,0.75,3.5,1.5235295500000001,4
sub-10585,computer,2-8,0.375,4.25,1.6357933,8
sub-10585,computer,4-8,0.25,5.0,1.6402128999999999,4
sub-10585,friend,0-2,0.75,1.5,1.89491405,4
sub-10585,friend,0-4,1.0,4.0,1.6306905,4
sub-10585,friend,0-8,1.0,8.0,1.4127018,4
sub-10585,friend,2-4,0.75,3.5,1.72521325,4
sub-10585,friend,2-8,1.0,8.0,1.7307494,8
sub-10585,friend,4-8,0.25,5.0,1.715361,4
sub-10585,stranger,0-2,1.0,2.0,1.6137594499999999,4
sub-10585,stranger,0-4,1.0,4.0,1.52410975,4
sub-10585,stranger,0-8,0.75,6.0,1.5076243,4
sub-10585,stranger,2-4,0.5,3.0,1.5763164,4
sub-10585,stranger,2-8,0.625,5.75,1.5915357,8
sub-10585,stranger,4-8,0.5,6.0,1.5269544000000002,4
sub-10589,computer,0-2,1.0,2.0,1.6786756999999999,4
sub-10589,computer,0-4,1.0,4.0,1.6123577999999998,4
sub-10589,computer,0-8,1.0,8.0,1.72094625,4
sub-10589,computer,2-4,0.75,3.5,1.64951955,4
sub-10589,computer,2-8,0.25,3.5,1.8440404,8
sub-10589,computer,4-8,0.0,4.0,1.7228253,4
sub-10589,friend,0-2,1.0,2.0,1.5442643,4
sub-10589,friend,0-4,1.0,4.0,1.69877615,4
sub-10589,friend,0-8,1.0,8.0,1.6579578499999998,4
sub-10589,friend,2-4,1.0,4.0,1.84216815,4
sub-10589,friend,2-8,0.75,6.5,1.8143957,8
sub-10589,friend,4-8,1.0,8.0,1.67818295,4
sub-10589,stranger,0-2,0.75,1.5,1.6281587499999999,4
sub-10589,stranger,0-4,1.0,4.0,1.5487445000000002,4
sub-10589,stranger,0-8,1.0,8.0,1.6887166,4
sub-10589,stranger,2-4,0.75,3.5,1.8716080000000002,4
sub-10589,stranger,2-8,0.375,4.25,1.97273585,8
sub-10589,stranger,4-8,0.0,4.0,1.6910919500000001,4
sub-10590,computer,0-2,0.25,0.5,1.9496768,4
sub-10590,computer,0-4,0.25,1.0,1.74451735,4
sub-10590,computer,0-8,0.0,0.0,1.74544455,4
sub-10590,computer,2-4,0.0,2.0,1.8787022,4
sub-10590,computer,2-8,0.0,2.0,1.7790397,8
sub-10590,computer,4-8,0.25,5.0,1.7351769,4
sub-10590,friend,0-2,0.75,1.5,1.7546696,4
sub-10590,friend,0-4,1.0,4.0,1.58784405,4
sub-10590,friend,0-8,1.0,8.0,1.8546939999999998,4
sub-10590,friend,2-4,0.75,3.5,1.76006135,4
sub-10590,friend,2-8,1.0,8.0,1.70117625,8
sub-10590,friend,4-8,0.75,7.0,1.5904083500000001,4
sub-10590,stranger,0-2,1.0,2.0,1.966619,4
sub-10590,stranger,0-4,1.0,4.0,1.57495055,4
sub-10590,stranger,0-8,0.5,4.0,2.0798433000000003,4
sub-10590,stranger,2-4,0.5,3.0,1.8268065,4
sub-10590,stranger,2-8,0.25,3.5,1.8897149999999998,8
sub-10590,stranger,4-8,0.0,4.0,1.85888625,4
sub-10596,computer,0-2,0.5,1.0,2.0471893,4
sub-10596,computer,0-4,0.6666666666666666,2.6666666666666665,2.1118374,3
sub-10596,computer,0-8,0.0,0.0,1.925104,3
sub-10596,computer,2-4,0.5,3.0,1.6460245,4
sub-10596,computer,2-8,0.375,4.25,1.8184041,8
sub-10596,computer,4-8,0.75,7.0,2.1421182500000002,4
sub-10596,friend,0-2,1.0,2.0,1.9478127,4
sub-10596,friend,0-4,1.0,4.0,1.6346095,4
sub-10596,friend,0-8,1.0,8.0,1.6291438500000002,4
sub-10596,friend,2-4,1.0,4.0,1.69594395,4
sub-10596,friend,2-8,1.0,8.0,2.0268021999999997,8
sub-10596,friend,4-8,0.75,7.0,1.7628203,4
sub-10596,stranger,0-2,1.0,2.0,2.197011,4
sub-10596,stranger,0-4,1.0,4.0,1.8910459,4
sub-10596,stranger,0-8,1.0,8.0,1.75995525,4
sub-10596,stranger,2-4,1.0,4.0,1.91709855,4
sub-10596,stranger,2-8,0.75,6.5,1.96673955,8
sub-10596,stranger,4-8,1.0,8.0,1.7087909,4
sub-10603,computer,0-2,0.0,0.0,1.8481637,4
sub-10603,computer,0-4,0.25,1.0,2.1248677999999996,4
sub-10603,computer,0-8,0.0,0.0,1.86308475,4
sub-10603,computer,2-4,0.5,3.0,2.0347928,4
sub-10603,computer,2-8,0.5,5.0,2.17418685,8
sub-10603,computer,4-8,0.5,6.0,2.21799275,4
sub-10603,friend,0-2,0.75,1.5,2.0945186,4
sub-10603,friend,0-4,0.5,2.0,2.1107155,4
sub-10603,friend,0-8,1.0,8.0,2.1771172500000002,4
sub-10603,friend,2-4,0.5,3.0,2.19696175,4
sub-10603,friend,2-8,0.75,6.5,1.8283884000000001,8
sub-10603,friend,4-8,0.5,6.0,2.0212451,4
sub-10603,stranger,0-2,0.25,0.5,2.0575687,4
sub-10603,stranger,0-4,0.25,1.0,1.658321,4
sub-10603,stranger,0-8,0.25,2.0,2.3217274000000003,4
sub-10603,stranger,2-4,0.0,2.0,1.78431675,4
sub-10603,stranger,2-8,0.125,2.75,2.1455102,8
sub-10603,stranger,4-8,0.25,5.0,2.2615405500000003,4
sub-10606,computer,0-2,1.0,2.0,1.6624175,4
sub-10606,computer,0-4,1.0,4.0,1.5263401,4
sub-10606,computer,0-8,1.0,8.0,1.4898534,3
sub-10606,computer,2-4,1.0,4.0,1.5073191000000001,4
sub-10606,computer,2-8,1.0,8.0,2.1972344,7
sub-10606,computer,4-8,0.75,7.0,1.98487415,4
sub-10606,friend,0-2,1.0,2.0,1.460939,4
sub-10606,friend,0-4,1.0,4.0,1.7342534,4
sub-10606,friend,0-8,1.0,8.0,1.5537111000000001,4
sub-10606,friend,2-4,1.0,4.0,1.5808334,4
sub-10606,friend,2-8,1.0,8.0,1.6004854000000002,8
sub-10606,friend,4-8,1.0,8.0,1.6981853,4
sub-10606,stranger,0-2,1.0,2.0,1.8131369,4
sub-10606,stranger,0-4,1.0,4.0,1.77536245,4
sub-10606,stranger,0-8,1.0,8.0,2.1439416,4
sub-10606,stranger,2-4,1.0,4.0,1.7220081999999999,4
sub-10606,stranger,2-8,0.8571428571428571,7.142857142857143,1.6371633,7
sub-10606,stranger,4-8,1.0,8.0,2.5016045499999997,4
sub-10608,computer,0-2,0.5,1.0,1.62478885,2
sub-10608,computer,0-4,0.0,0.0,1.51500525,2
sub-10608,computer,0-8,0.0,0.0,1.74438085,2
sub-10608,computer,2-4,0.0,2.0,1.83500335,2
sub-10608,computer,2-8,0.0,2.0,1.63004805,4
sub-10608,computer,4-8,0.0,4.0,1.9157894999999998,2
sub-10608,friend,0-2,1.0,2.0,1.4901199,2
sub-10608,friend,0-4,1.0,4.0,1.4927207999999998,2
sub-10608,friend,0-8,1.0,8.0,1.4981699499999999,2
sub-10608,friend,2-4,1.0,4.0,1.665784,2
sub-10608,friend,2-8,1.0,8.0,1.3273174,4
sub-10608,friend,4-8,1.0,8.0,1.5675705500000001,2
sub-10608,stranger,0-2,1.0,2.0,1.4691676999999999,2
sub-10608,stranger,0-4,0.0,0.0,1.7487018,2
sub-10608,stranger,0-8,0.0,0.0,1.5496680999999999,2
sub-10608,stranger,2-4,0.0,2.0,1.6350786,2
sub-10608,stranger,2-8,0.0,2.0,1.78144655,4
sub-10608,stranger,4-8,0.0,4.0,1.73936525,2
sub-10617,computer,0-2,0.0,0.0,1.9947023000000002,2
sub-10617,computer,0-4,1.0,4.0,2.07140485,2
sub-10617,computer,0-8,0.5,4.0,2.4119697,2
sub-10617,computer,2-4,0.5,3.0,1.9538888,2
sub-10617,computer,2-8,0.0,2.0,1.8787573499999999,4
sub-10617,computer,4-8,1.0,8.0,2.33052445,2
sub-10617,friend,0-2,1.0,2.0,1.9375471,2
sub-10617,friend,0-4,1.0,4.0,2.1335509999999998,2
sub-10617,friend,0-8,1.0,8.0,2.2227521,2
sub-10617,friend,2-4,1.0,4.0,1.97171175,2
sub-10617,friend,2-8,0.5,5.0,1.9944583000000002,4
sub-10617,friend,4-8,0.5,6.0,2.1685917,2
sub-10617,stranger,0-2,1.0,2.0,2.2541806500000003,2
sub-10617,stranger,0-4,1.0,4.0,1.90839505,2
sub-10617,stranger,0-8,1.0,8.0,1.9931313999999998,2
sub-10617,stranger,2-4,0.5,3.0,1.82829475,2
sub-10617,stranger,2-8,0.5,5.0,2.14132655,4
sub-10617,stranger,4-8,0.0,4.0,1.84532235,2
sub-10636,computer,0-2,0.75,1.5,1.6966127,4
sub-10636,computer,0-4,0.75,3.0,1.7199122999999998,4
sub-10636,computer,0-8,1.0,8.0,1.61784245,4
sub-10636,computer,2-4,1.0,4.0,1.61914155,4
sub-10636,computer,2-8,0.75,6.5,1.6233730999999998,8
sub-10636,computer,4-8,1.0,8.0,1.45679025,4
sub-10636,friend,0-2,0.6666666666666666,1.3333333333333333,1.5684382,3
sub-10636,friend,0-4,1.0,4.0,1.52054655,4
sub-10636,friend,0-8,1.0,8.0,1.53939545,4
sub-10636,friend,2-4,1.0,4.0,1.53001845,4
sub-10636,friend,2-8,1.0,8.0,1.502264,8
sub-10636,friend,4-8,1.0,8.0,1.8077496,4
sub-10636,stranger,0-2,0.75,1.5,1.4867827,4
sub-10636,stranger,0-4,1.0,4.0,1.4425886,4
sub-10636,stranger,0-8,1.0,8.0,1.4964265,3
sub-10636,stranger,2-4,1.0,4.0,1.58467735,4
sub-10636,stranger,2-8,1.0,8.0,1.5336403,8
sub-10636,stranger,4-8,0.5,6.0,1.5144507,4
sub-10638,computer,0-2,1.0,2.0,2.08065085,4
sub-10638,computer,0-4,1.0,4.0,1.8886685,3
sub-10638,computer,0-8,1.0,8.0,1.59181635,4
sub-10638,computer,2-4,0.75,3.5,1.70444285,4
sub-10638,computer,2-8,1.0,8.0,1.8910699,8
sub-10638,computer,4-8,1.0,8.0,2.1957025,4
sub-10638,friend,0-2,1.0,2.0,1.8231547,4
sub-10638,friend,0-4,1.0,4.0,1.87296635,4
sub-10638,friend,0-8,1.0,8.0,1.8015117,4
sub-10638,friend,2-4,1.0,4.0,1.96009925,4
sub-10638,friend,2-8,1.0,8.0,1.7577764,8
sub-10638,friend,4-8,1.0,8.0,2.05693135,4
sub-10638,stranger,0-2,1.0,2.0,1.7407376,4
sub-10638,stranger,0-4,1.0,4.0,1.7138497,4
sub-10638,stranger,0-8,1.0,8.0,1.76799495,4
sub-10638,stranger,2-4,1.0,4.0,1.754629,4
sub-10638,stranger,2-8,1.0,8.0,1.68457915,8
sub-10638,stranger,4-8,0.75,7.0,1.8935728,4
sub-10640,computer,0-2,0.25,0.5,1.82674775,4
sub-10640,computer,0-4,0.0,0.0,1.6979283,4
sub-10640,computer,0-8,0.0,0.0,1.8999850999999999,4
sub-10640,computer,2-4,0.5,3.0,2.2849475000000004,4
sub-10640,computer,2-8,0.375,4.25,1.81641695,8
sub-10640,computer,4-8,0.5,6.0,1.7873489999999999,4
sub-10640,friend,0-2,0.5,1.0,1.89261815,4
sub-10640,friend,0-4,0.5,2.0,1.8304637499999998,4
sub-10640,friend,0-8,0.5,4.0,1.7392178500000002,4
sub-10640,friend,2-4,1.0,4.0,1.8621370499999998,4
sub-10640,friend,2-8,0.5,5.0,1.77017195,8
sub-10640,friend,4-8,0.75,7.0,2.12152405,4
sub-10640,stranger,0-2,1.0,2.0,1.6560222,3
sub-10640,stranger,0-4,0.0,0.0,1.5544123,4
sub-10640,stranger,0-8,0.0,0.0,1.8602618,4
sub-10640,stranger,2-4,0.25,2.5,2.1093089999999997,4
sub-10640,stranger,2-8,0.125,2.75,2.0116976500000003,8
sub-10640,stranger,4-8,0.0,4.0,1.8912532,4
sub-10641,computer,0-2,1.0,2.0,1.56113455,2
sub-10641,computer,0-4,1.0,4.0,1.53473695,2
sub-10641,computer,0-8,0.5,4.0,1.73806615,2
sub-10641,computer,2-4,0.5,3.0,1.80150005,2
sub-10641,computer,2-8,0.25,3.5,2.2305123,4
sub-10641,computer,4-8,0.5,6.0,2.03801065,2
sub-10641,friend,0-2,1.0,2.0,1.80939195,2
sub-10641,friend,0-4,1.0,4.0,1.53594265,2
sub-10641,friend,0-8,1.0,8.0,1.62948185,2
sub-10641,friend,2-4,1.0,4.0,1.5563363,2
sub-10641,friend,2-8,1.0,8.0,1.5111511499999999,4
