model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,participant_id,kappa,alpha,theta,theta_stranger,alpha_negative,phi
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10652,,,,,,
M1,84,1,-58.22451316868538,118.44902633737075,118.49780682517563,120.87984313621406,-0.01717751723244644,-2.5762694826347854e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,1e-05,,,,,
M2,84,2,-58.15238014164979,120.30476028329959,120.45290843144774,125.16639388098622,-0.033113577714594264,0.0012363042113334721,True,100,100,99,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,0.02134223708957907,1.0,,,,
M5,84,3,-51.855606641308874,109.71121328261775,110.01121328261775,117.00366367914769,0.0578581944479524,0.10938301733684397,True,100,100,97,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,0.15190112114941884,0.3659536723078239,5.0,,,
M6,84,3,-55.05317048899465,116.1063409779893,116.4063409779893,123.39879137451925,0.002940224138641624,0.05446504702753319,True,100,100,32,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,0.0623682332722423,0.0,5.0,,,
M7,84,4,-51.74951464221653,111.49902928443306,112.00535839835712,121.22229647980632,0.04250537730604234,0.1112051411578977,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,0.15126816804805576,0.3554737265667966,5.0,0.376168644437793,,
M8,84,3,-53.94786572269221,113.89573144538441,114.19573144538441,121.18818184191436,0.021923768245968686,0.07344859113486024,True,100,100,96,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,0.3216874724135607,1.0,,,0.08426538308221108,
M3,84,3,-48.91824811476911,103.83649622953823,104.13649622953822,111.12894662606817,0.10830715372833127,0.15983197661722282,True,100,100,3,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10652,1.8571425922801614,0.03266288914756813,,,,1.4693121988768092
M4,84,3,-51.784215831611455,109.56843166322291,109.8684316632229,116.86088205975285,0.059084327389803765,0.11060915027869533,True,100,100,46,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10652,1.1928949807299958,0.018079946670945726,1.0662801384882985,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10656,,,,,,
M1,84,1,-41.931733638891664,85.86346727778333,85.9122477655882,88.29428407662664,0.2626500093143465,0.27982495027731036,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10656,1.1943663549026688,,,,,
M2,84,2,-40.55878068495674,85.11756136991347,85.26570951806163,89.97919496760011,0.2690554542801418,0.3034053362060696,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10656,1.18662147626443,0.08993258299102391,,,,
M5,84,3,-39.36480851263088,84.72961702526176,85.02961702526176,92.0220674217917,0.2723869148882963,0.32391173777718785,True,100,100,99,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10656,1.568216546301745,0.036990601630208654,0.2589223499194654,,,
M6,84,3,-33.18337739168936,72.36675478337872,72.66675478337872,79.65920517990867,0.37855262945709434,0.4300774523459858,True,100,100,90,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10656,20.0,0.0015122402235110302,0.48080957751766523,,,
M7,84,4,-33.116323339951286,74.23264667990257,74.73897579382663,83.95591387527583,0.36252933787405944,0.4312291017259149,True,100,100,88,kappa,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10656,20.0,0.0005796231809954202,0.48416840297702335,0.4770616118168121,,
M8,84,3,-39.510260768553195,85.02052153710639,85.32052153710639,92.31297193363633,0.2698887809799006,0.32141360386879214,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10656,0.525121362003578,0.10577289968703128,,,0.3551057461059266,
M3,84,3,-32.00454130657621,70.00908261315242,70.30908261315241,77.30153300968236,0.39879906962392414,0.4503238925128157,True,100,100,22,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10656,1.806240099894848,0.07678827669002014,,,,1.069558229520199
M4,84,3,-33.848053179614226,73.69610635922845,73.99610635922845,80.9885567557584,0.3671368620399733,0.4186616849288648,True,100,100,97,alpha,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10656,5.944608608261175,0.0,0.6608611246323389,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10661,,,,,,
M1,84,1,-58.22477816868542,118.44955633737084,118.49833682517571,120.88037313621415,-0.017182068591802338,-7.1276288384769515e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10661,1e-05,,,,,
M2,84,2,-58.2246881834416,120.4493763668832,120.59752451503135,125.31100996456982,-0.03435546406351608,-5.582137588389102e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10661,1e-05,1.0,,,,
M5,84,3,-48.9350567088602,103.8701134177204,104.1701134177204,111.16256381425035,0.10801846711714641,0.15954329000603795,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10661,0.19793465672014005,0.0,5.0,,,
M6,84,3,-41.06066855093431,88.12133710186862,88.42133710186862,95.41378749839856,0.24326061884898528,0.2947854417378768,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10661,0.2074911661099172,0.21899985946871237,5.0,,,
M7,84,4,-40.719021441927374,89.43804288385475,89.9443719977788,99.161310079228,0.2319534468133828,0.3006532106652382,True,100,100,85,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10661,0.25303668887301406,0.18922584005133802,5.0,3.571940206999847,,
M8,84,3,-29.773510231997413,65.54702046399483,65.84702046399482,72.83947086052477,0.4371168966163528,0.48864171950524427,True,100,100,21,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10661,1.161581586702985,0.5358211568068098,,,0.0,
M3,84,3,-24.714470481286405,55.42894096257281,55.72894096257281,62.72139135910275,0.5240056056641017,0.5755304285529932,True,100,100,79,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10661,1.142254406504042,0.0,,,,3.8875085220035874
M4,84,3,-22.41853119196997,50.83706238393994,51.137062383939934,58.12951278046988,0.5634382274126607,0.6149630503015522,True,100,100,94,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10661,0.47081533555173466,0.19259809590503543,5.0,,,
M0,76,0,-52.67918572255584,105.35837144511169,105.35837144511169,105.35837144511169,0.0,0.0,True,1,1,1,,exact,sub-10663,,,,,,
M1,76,1,-50.722343769763135,103.44468753952627,103.49874159358032,105.7754208798126,0.01816356763432304,0.03714639711970413,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10663,0.3691891019520427,,,,,
M2,76,2,-43.13343231841842,90.26686463683684,90.43124819848067,94.9283313174095,0.14323975020947463,0.18120540918023686,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10663,0.823248055989694,0.25612506534827767,,,,
M5,76,3,-41.41507072274843,88.83014144549686,89.16347477883019,95.82234146635585,0.15687628588892433,0.21382477434506764,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10663,1.0625141895702033,0.1651903743246669,0.35494540820843257,,,
M6,76,3,-42.63118991749675,91.2623798349935,91.59571316832682,98.25457985585248,0.1337909025811181,0.19073939103726134,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10663,0.9650502216027147,0.19714444963123867,0.14641321470972382,,,
M7,76,4,-41.41180750572796,90.82361501145591,91.38699529314606,100.14654837260125,0.1379554014958167,0.21388671943734106,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10663,1.0754976096914806,0.16112291942723608,0.3587392056708918,0.01414871028812819,,
M8,76,3,-43.13167702645425,92.2633540529085,92.59668738624183,99.25555407376748,0.1242902411321465,0.1812387295882898,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10663,0.8368591324815219,0.25376888825125304,,,0.2497568078550753,
M3,76,3,-38.973057372089734,83.94611474417947,84.2794480775128,90.93831476503846,0.20323260892550254,0.26018109738164585,True,100,100,31,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10663,1.54643556337629,0.1889880309352307,,,,0.8235089093049728
M4,76,3,-42.44555369896076,90.89110739792152,91.22444073125484,97.8833074187805,0.13731480326389772,0.19426329172004098,True,100,100,1,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10663,3.6323597164384633,0.025329667525256516,0.47411533967474806,,,
M0,37,0,-25.646445680717974,51.29289136143595,51.29289136143595,51.29289136143595,0.0,0.0,True,1,1,1,,exact,sub-10668,,,,,,
M1,37,1,-25.64645568139922,53.29291136279844,53.407197077084156,54.90382927544267,-0.0389921478060055,-3.899441416432836e-07,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10668,1e-05,,,,,
M2,37,2,-25.623541666560335,55.24708333312067,55.60002450959126,58.46891915840912,-0.0770904479496284,0.0008930677740993653,True,100,100,77,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10668,0.055865470155563667,0.20868440610867778,,,,
M5,37,3,-21.118631925379113,48.237263850758225,48.96453657803095,53.0700175886909,0.05957214400619784,0.1765474175917895,True,100,100,95,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10668,0.5398891648834527,0.10843033225062874,1.831097351652699,,,
M6,37,3,-23.3355133253774,52.6710266507548,53.398299378027524,57.503780388687474,-0.026867958751005127,0.09010731483458656,True,100,100,88,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10668,0.6361163744071134,0.055886502049353436,0.8473804439645062,,,
M7,37,4,-20.924479894725103,49.848959789450205,51.098959789450205,56.2926314400271,0.028150715111984286,0.1841177465594398,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10668,0.6872335942251137,0.08901987629798669,1.5445223507872023,0.26726254810619876,,
M8,37,3,-23.163376917366673,52.326753834733346,53.05402656200607,57.159507572666016,-0.020156057610639905,0.09681921597495169,True,100,100,86,alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10668,0.8309663090571727,0.2392128000558018,,,0.0,
M3,37,3,-23.566560751956807,53.133121503913614,53.86039423118634,57.96587524184629,-0.03587690406279619,0.08109836952279548,True,100,100,85,alpha;phi,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10668,0.20361341990163476,0.0,,,,5.0
M4,37,3,-25.41950893422628,56.83901786845256,57.566290595725285,61.671771606385235,-0.10812661091642826,0.008848662669163398,True,100,100,76,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10668,0.13836796359942052,0.18668006100284293,1.1179868108374038,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10673,,,,,,
M1,84,1,-58.22439316868538,118.44878633737076,118.49756682517564,120.87960313621407,-0.017175456239530963,-5.152765671923021e-07,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10673,1e-05,,,,,
M2,84,2,-58.22401093459016,120.44802186918032,120.59617001732848,125.30965546686696,-0.034343832354475384,6.049571452337865e-06,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10673,0.0026567229672631964,0.47829439169570365,,,,
M5,84,3,-57.65762145002079,121.31524290004158,121.61524290004158,128.6076932965715,-0.04179106735791677,0.009733755530974775,True,100,100,52,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10673,0.0358013885311629,0.0,5.0,,,
M6,84,3,-58.14370946637013,122.28741893274027,122.58741893274026,129.5798693292702,-0.05013960034152092,0.0013852225473706126,True,100,100,51,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10673,0.009496036705795215,0.0,5.0,,,
M7,84,4,-57.65762145002078,123.31524290004155,123.8215720139656,133.0385100954148,-0.05896600832088038,0.009733755530974997,True,100,100,78,alpha;theta;theta_stranger,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10673,0.035801387928016314,0.0,5.0,0.0,,
M8,84,3,-58.22334050071464,122.44668100142928,122.74668100142928,129.73913139795923,-0.051507258655207604,1.7564233683931008e-05,True,100,100,16,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10673,0.003897526822813081,0.4249424186007857,,,0.5922447358005317,
M3,84,3,-57.781180084155444,121.56236016831089,121.86236016831089,128.85481056484082,-0.04391317960464389,0.007611643284247682,True,100,100,12,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10673,0.21445336701137396,0.04644693933687769,,,,1.4285625808011815
M4,84,3,-57.944876019312666,121.88975203862533,122.18975203862533,129.18220243515526,-0.046724647626846326,0.0048001752620452365,True,100,100,41,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10673,0.595796670075652,0.0,0.9614245238514156,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10674,,,,,,
M1,84,1,-58.22484316868542,118.44968633737084,118.49846682517571,120.88050313621414,-0.01718318496296492,-8.244000001100815e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10674,1e-05,,,,,
M2,84,2,-58.22484316868542,120.44968633737084,120.59783448551899,125.31131993505747,-0.03435812592592877,-8.244000001100815e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10674,1e-05,0.0,,,,
M5,84,3,-50.14502553510667,106.29005107021334,106.59005107021333,113.58250146674328,0.08723732395933667,0.13876214684822819,True,100,100,100,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10674,0.17511355294914263,0.0,5.0,,,
M6,84,3,-29.50921739884957,65.01843479769914,65.31843479769914,72.31088519422909,0.4416561104226014,0.49318093331149293,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10674,0.3550056269133398,0.0,5.0,,,
M7,84,4,-29.50921739884958,67.01843479769916,67.52476391162321,76.74170199307241,0.42448116945963743,0.4931809333114928,True,100,100,100,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10674,0.3550056266886368,0.0,5.0,5.0,,
M8,84,3,-18.23658832959226,42.47317665918452,42.773176659184514,49.76562705571446,0.6352628491844858,0.6867876720733774,True,100,100,100,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10674,1.5237717994614999,1.0,,,0.0,
M3,84,3,-4.946767262481444e-08,6.000000098935345,6.300000098935345,13.292450495465285,0.9484751762615041,0.9999999991503956,True,100,100,99,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10674,20.0,0.0,,,,3.718412727042766
M4,84,3,-0.0,6.0,6.3,13.29245039652994,0.9484751771111084,1.0,True,100,100,100,alpha;kappa;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10674,20.0,0.0,5.0,,,
M0,82,0,-56.83806880591551,113.67613761183102,113.67613761183102,113.67613761183102,0.0,0.0,True,1,1,1,,exact,sub-10677,,,,,,
M1,82,1,-56.791209212735716,115.58241842547143,115.63241842547143,117.98913767273568,-0.016769401685248743,0.0008244402768118331,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10677,0.05357036712892783,,,,,
M2,82,2,-55.031000492773266,114.06200098554653,114.21389971972374,118.87543948007504,-0.0033944096080490817,0.03179327431607193,True,100,100,22,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10677,0.11834599986570238,1.0,,,,
M5,82,3,-50.870043991832986,107.74008798366597,108.04778029135828,114.96024572545873,0.05221895951844204,0.10500048540462359,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10677,0.5257357087414329,0.14870034047578387,1.0411627834487924,,,
M6,82,3,-54.3429968385739,114.6859936771478,114.99368598484011,121.90615141894057,-0.008883624008805872,0.043897901877375745,True,100,100,62,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10677,0.4730547571127762,0.15220515809506377,0.4622931539565946,,,
M7,82,4,-50.87004399183299,109.74008798366599,110.25956850314651,119.366964972723,0.03462511755638139,0.10500048540462348,True,100,100,100,theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10677,0.5257357035671002,0.14870033938689575,1.0411627964745156,0.0,,
M8,82,3,-54.37179478279998,114.74358956559996,115.05128187329227,121.96374730739272,-0.009390290488351717,0.04339123539782985,True,100,100,74,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10677,0.5436320794675576,0.26644628060535214,,,0.1449885240437067,
M3,82,3,-54.81541612801748,115.63083225603496,115.93852456372727,122.85098999782772,-0.017195294327105128,0.035586231559076476,True,100,100,38,alpha;phi,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10677,0.11588473180625546,1.0,,,,0.0
M4,82,3,-53.26898941740973,112.53797883481946,112.84567114251176,119.75813657661222,0.010012292825236815,0.06279381871141843,True,100,100,54,kappa,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10677,20.0,0.005213145383559883,0.9898430660231263,,,
M0,83,0,-57.53121598647546,115.06243197295092,115.06243197295092,115.06243197295092,0.0,0.0,True,1,1,1,,exact,sub-10685,,,,,,
M1,83,1,-56.39380604590266,114.78761209180531,114.8369948078547,117.20645269960191,0.0023884414437738348,0.01977030940629143,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10685,0.2696576528527306,,,,,
M2,83,2,-51.36497953692289,106.72995907384578,106.87995907384578,111.56764028943897,0.07241697186675104,0.10718070779178634,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10685,0.396679427135416,0.4127020347688522,,,,
M5,83,3,-26.939534632633777,59.87906926526755,60.182866733621985,67.13559108865735,0.47959496215633585,0.5317405660438888,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10685,1.3194717882722833,0.2152974324340861,1.9202286535596895,,,
M6,83,3,-34.4378240739534,74.8756481479068,75.17944561626123,82.13216997129659,0.3492606851425781,0.401406289030131,True,100,100,100,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10685,2.775152065678844,0.09758168094458103,0.6417150927240673,,,
M7,83,4,-24.903530745445526,57.80706149089105,58.31988200371156,67.48242392207744,0.49760264493209705,0.5671301167821676,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10685,2.0364963870299135,0.1506420282219356,1.369416828086803,0.3756316275325969,,
M8,83,3,-45.816640582826295,97.63328116565259,97.93707863400702,104.88980298904238,0.15147559901563357,0.20362120290318642,True,100,100,94,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10685,1.8896196423528437,0.17137838936610497,,,0.06544502619331866,
M3,83,3,-51.257060232283564,108.51412046456713,108.81791793292156,115.77064228795692,0.056910943008080854,0.10905654689563371,True,100,100,17,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10685,0.41066929060067403,0.4360869413053824,,,,0.6627082788997215
M4,83,3,-39.876965613071306,85.75393122614261,86.05772869449704,93.0104530495324,0.2547182450801857,0.30686384896773855,True,100,99,95,kappa,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10685,20.0,0.01522225719289844,0.5058168645617812,,,
M0,41,0,-28.419034402957756,56.83806880591551,56.83806880591551,56.83806880591551,0.0,0.0,True,1,1,1,,exact,sub-10690,,,,,,
M1,41,1,-28.419056903779627,58.83811380755925,58.940677910123355,60.55168587426356,-0.03518847567592907,-7.917518081157482e-07,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10690,1e-05,,,,,
M2,41,2,-28.348284282725462,60.696568565450924,61.01235803913514,64.12371269885953,-0.0678858349799146,0.0024895328683275375,True,100,100,82,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10690,0.08007786843733401,0.37424309213844736,,,,
M5,41,3,-26.658117921341773,59.31623584268355,59.96488449133219,64.45695204279647,-0.043600479200484654,0.06196257257187854,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10690,0.34459815479648226,0.17003184566475305,1.356629086376375,,,
M6,41,3,-26.174832560749767,58.349665121499534,58.99831377014818,63.49038132161246,-0.026594786686818257,0.07896826508554489,True,100,100,95,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10690,0.6027702154535851,0.12534028515337925,0.7261689957667715,,,
M7,41,4,-25.750751029601968,59.501502059203936,60.61261317031505,66.35579032602116,-0.046860023734853276,0.09389071196163101,True,100,100,95,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10690,0.6691249598532556,0.12379659401464654,0.9328986968428157,0.49503345780093216,,
M8,41,3,-26.069215041513772,58.138430083027544,58.78707873167619,63.27914628314046,-0.022878350803092282,0.08268470096927094,True,100,100,81,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10690,0.8959120496443977,0.24841052839382918,,,0.07242412712143005,
M3,41,3,-26.974310294245992,59.948620588491984,60.59726923714063,65.08933678860491,-0.05472655647745612,0.05083649529490708,True,100,100,18,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10690,0.5566006542758044,0.048728990217987316,,,,1.2327899859263824
M4,41,3,-25.778104656192834,57.55620931238567,58.204857961034314,62.696925512498595,-0.012634850577390042,0.09292820119497314,True,100,100,76,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10690,1.4999716565400314,0.07443926802660655,0.72044950282142,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10691,,,,,,
M1,84,1,-58.224793168685416,118.44958633737083,118.49836682517571,120.88040313621414,-0.01718232621591674,-7.385252952962773e-06,True,100,100,100,kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10691,1e-05,,,,,
M2,84,2,-58.224793168685416,120.44958633737083,120.59773448551898,125.31121993505747,-0.034357267178880595,-7.385252952962773e-06,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10691,1e-05,0.0,,,,
M5,84,3,-51.74984912402144,109.49969824804288,109.79969824804287,116.79214864457282,0.05967457356375375,0.11119939645264532,True,100,100,100,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10691,0.14699518272467849,0.0,5.0,,,
M6,84,3,-36.70728641263791,79.41457282527583,79.71457282527582,86.70702322180577,0.3180297000634472,0.3695545229523387,True,100,100,98,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10691,0.2386939761894475,0.0,5.0,,,
M7,84,4,-36.707286412637906,81.41457282527581,81.92090193919987,91.13784002064907,0.3008547591004835,0.3695545229523389,True,100,100,98,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10691,0.23869397651690052,0.0,5.0,5.0,,
M8,84,3,-30.24635373071515,66.4927074614303,66.7927074614303,73.78515785796024,0.4289958374411544,0.4805206603300459,True,100,100,97,alpha;alpha_negative,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10691,0.9726056135113816,1.0,,,0.0,
M3,84,3,-19.14637264895602,44.29274529791204,44.59274529791204,51.58519569444198,0.619637357210383,0.6711621800992746,True,100,100,1,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10691,2.608560046011456,0.02088765040239141,,,,1.3951942401922912
M4,84,3,-21.345284558411777,48.69056911682355,48.99056911682355,55.9830195133535,0.5818711749827223,0.6333959978716138,True,100,100,91,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10691,0.38057422306751876,0.0,5.0,,,
M0,84,0,-58.224363167035406,116.44872633407081,116.44872633407081,116.44872633407081,0.0,0.0,True,1,1,1,,exact,sub-10700,,,,,,
M1,84,1,-56.01074660910464,114.02149321820929,114.07027370601416,116.4523100170526,0.02084379273413625,0.03801873369710007,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10700,0.3743961747867058,,,,,
M2,84,2,-54.936721700549576,113.87344340109915,114.0215915492473,118.73507699878579,0.02211516616835833,0.056465048094285986,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10700,0.42329908076843803,0.10987225157456136,,,,
M5,84,3,-34.743051753792784,75.48610350758557,75.78610350758557,82.77855390411551,0.35176531436651975,0.4032901372554113,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10700,1.5293478108390959,0.11535240304382686,1.0736279222248921,,,
M6,84,3,-49.666928232705054,105.33385646541011,105.6338564654101,112.62630686194005,0.09544861690263669,0.14697343979152822,True,100,100,93,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10700,1.5073885663490905,0.03364586495348143,0.494708649379018,,,
M7,84,4,-34.743051753792784,77.48610350758557,77.99243262150962,87.20937070295882,0.3345903734035559,0.4032901372554113,True,100,100,99,theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10700,1.5293477839744247,0.1153524027097359,1.0736279181687327,0.0,,
M8,84,3,-53.71562477607356,113.43124955214712,113.73124955214712,120.72369994867707,0.025912492793326764,0.07743731568221834,True,100,100,42,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10700,1.0243975357049637,0.09098750142924447,,,0.03541596313580243,
M0,83,0,-57.53121598647546,115.06243197295092,115.06243197295092,115.06243197295092,0.0,0.0,True,1,1,1,,exact,sub-10701,,,,,,
M1,83,1,-43.366869758560775,88.73373951712155,88.78312223317093,91.15258012491815,0.2288209279464801,0.24620279590899774,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10701,1.0901294090350429,,,,,
M2,83,2,-42.38682469333959,88.77364938667918,88.92364938667919,93.61133060227237,0.22847407390495406,0.26323780982998934,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10701,1.1764889950483548,0.04663865825662036,,,,
