parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,max_depth_hits,min_bfmi,passed
"natural[9,1]",0.643266,0.00282354,0.2475,0.317023,0.224399,0.667929,0.979823,7328.04,5528.65,25.2081,0.999945,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[9,2]",0.328717,0.00125406,0.126493,0.116059,0.148244,0.315487,0.557018,9624.5,5914.01,33.1078,0.999916,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[9,3]",0.0275741,0.000380582,0.0351921,0.0181294,0.000527655,0.0144507,0.097233,8934.45,6328.95,30.7341,0.999906,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[10,1]",0.715747,0.00204154,0.173993,0.188052,0.402437,0.732755,0.962325,7169.22,5178.25,24.6618,1.00156,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[10,2]",0.87071,0.00692374,0.415,0.422047,0.307267,0.814137,1.63982,3213.81,4528.35,11.0553,1.00022,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[10,3]",0.16979,0.00180951,0.0998668,0.102317,0.00605025,0.178742,0.323054,3120.56,4644.66,10.7346,1.00063,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[11,1]",0.0534782,0.000527016,0.0439039,0.0436681,0.00326835,0.0427819,0.140043,6209.53,5545.68,21.3604,1.00002,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[11,2]",0.868015,0.00268351,0.269783,0.244278,0.513804,0.823627,1.37073,10798.6,6389.98,37.1465,1.00181,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[11,3]",0.372883,0.00224625,0.19931,0.198528,0.107119,0.337516,0.754867,8237.3,6078.12,28.3359,1.00018,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[12,1]",0.047607,0.000682497,0.0580927,0.031408,0.00222139,0.0291171,0.152253,8449.58,6253.97,29.0661,1.00174,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[12,2]",0.206778,0.00106047,0.0934311,0.0785472,0.086894,0.191094,0.383324,7012.57,4965.75,24.1229,1.00001,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[12,3]",0.343321,0.00290017,0.237052,0.222296,0.0511435,0.287647,0.840273,8502.96,5221.62,29.2497,0.999897,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[13,1]",0.177816,0.00269758,0.145561,0.0716433,0.0485236,0.135046,0.478375,4947.24,2912.83,17.0182,1.00309,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[13,2]",0.441863,0.00474003,0.31261,0.280996,0.0787128,0.36315,1.06233,3266.68,3880.74,11.2372,1.00299,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[13,3]",0.0525952,0.00206937,0.103836,0.0275982,0.00178746,0.0265847,0.169397,5296.33,3179.41,18.2191,1.00171,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[14,1]",0.101175,0.00119199,0.10529,0.0731606,0.00412708,0.0674877,0.312849,6872.42,5304.95,23.6408,0.999835,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[14,2]",0.251396,0.00150615,0.134207,0.105925,0.094186,0.222443,0.511797,7630.25,4982.71,26.2477,1.00099,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[14,3]",0.341276,0.00304999,0.257061,0.266885,0.0323633,0.276795,0.847713,7006.21,5695.88,24.101,1.00059,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[15,1]",0.74777,0.00207591,0.201885,0.213735,0.361869,0.794673,0.988216,8818.39,5668.36,30.3348,1.00033,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[15,2]",0.305341,0.0009971,0.100925,0.0997054,0.148785,0.299938,0.47923,9755.2,5163.71,33.5574,1.0002,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[15,3]",0.0195359,0.000343188,0.0295884,0.0111531,0.000345698,0.0088015,0.0735523,9426.93,5697.15,32.4282,1.00008,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[16,1]",0.612253,0.0029122,0.24309,0.308435,0.219188,0.61542,0.973562,6996.92,5551.33,24.069,1.0004,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[16,2]",0.307618,0.00114736,0.109119,0.106175,0.144106,0.299299,0.497072,8757.15,5337.79,30.1242,0.999958,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[16,3]",0.0231016,0.000346413,0.0312805,0.0145115,0.000602209,0.0123031,0.0816309,9312.06,6086.11,32.033,0.999775,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[17,1]",0.329371,0.00470641,0.284434,0.240193,0.0206036,0.226546,0.906766,4158.2,4890.23,14.304,1.00009,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[17,2]",0.187881,0.00163624,0.12875,0.0959923,0.0485245,0.154891,0.443114,5082.51,5081.48,17.4836,1.00124,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[17,3]",0.180339,0.00274203,0.204911,0.124879,0.00440175,0.104461,0.641428,6362.37,5491.13,21.8862,1.00076,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[18,1]",0.482268,0.00316465,0.218797,0.214531,0.20875,0.428548,0.920686,5889.84,4174.95,20.2607,1.00072,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[18,2]",0.733517,0.00280422,0.244863,0.223918,0.409768,0.694614,1.18978,7415.8,6583.54,25.51,1.0001,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[18,3]",0.014507,0.000150747,0.0144856,0.010811,0.000632584,0.00970321,0.0438337,8463.99,6127.71,29.1157,1.00004,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[19,1]",0.0715833,0.00161735,0.106527,0.0429958,0.00265982,0.0391532,0.233181,7019.65,4496.51,24.1472,1.00046,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[19,2]",0.171697,0.00103161,0.091684,0.0771028,0.0583921,0.154903,0.34679,7398.18,5673.05,25.4494,1.00043,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[19,3]",0.306435,0.00295597,0.244438,0.210919,0.0272238,0.233175,0.833993,7520.52,5313.6,25.8702,1.00028,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[20,1]",0.799881,0.0015849,0.14831,0.170326,0.528756,0.824228,0.988703,8091.99,5694.96,27.836,0.999794,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[20,2]",1.32715,0.00272398,0.276169,0.26493,0.916091,1.30505,1.81891,10229.1,6820.8,35.1876,0.999922,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[20,3]",0.00499635,6.77707e-05,0.00662658,0.00311446,0.000127788,0.00259285,0.0179671,9841.06,6244.73,33.8527,1.0001,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[21,1]",0.130014,0.00222046,0.157729,0.0877515,0.00390894,0.07806,0.451457,6546.58,4465.56,22.5199,1.00108,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[21,2]",0.235168,0.00195762,0.159715,0.123094,0.0615491,0.191807,0.552214,6457.46,5603.53,22.2133,1.0001,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[21,3]",0.255298,0.00362048,0.266522,0.187571,0.0061052,0.152128,0.855522,5789.84,5703.35,19.9168,1.00009,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[22,1]",0.567773,0.0035007,0.300062,0.383916,0.0548369,0.601541,0.977856,6867.67,5496.14,23.6244,1.00069,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[22,2]",0.202016,0.00112762,0.111367,0.107078,0.054471,0.184512,0.405042,8483.66,5941.0,29.1834,1.00048,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[22,3]",0.0615937,0.00166156,0.117185,0.0273224,0.000651801,0.0208185,0.249735,8625.97,5257.08,29.6729,1.00007,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[23,1]",0.881392,0.00102009,0.111081,0.0911763,0.651805,0.915441,0.994843,10975.5,6077.96,37.755,1.00037,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[23,2]",0.797218,0.00155709,0.159254,0.155311,0.55028,0.788863,1.073,10600.0,6263.72,36.4634,1.00047,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[23,3]",0.00561392,8.91307e-05,0.00802377,0.00329802,0.000116258,0.00269616,0.0211528,10188.6,5885.44,35.0483,1.00021,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[24,1]",0.902199,0.000939299,0.0995037,0.0733618,0.692501,0.936278,0.996715,9560.46,5237.46,32.8875,1.00035,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[24,2]",1.22536,0.00242386,0.23444,0.225234,0.869706,1.20832,1.63956,9324.55,7001.35,32.076,1.00041,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[24,3]",0.00345514,5.47676e-05,0.00526911,0.0018535,5.46007e-05,0.00144599,0.0139134,11407.4,6135.51,39.241,1.0,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[25,1]",0.238039,0.00201071,0.143546,0.151231,0.0208012,0.231534,0.484545,4564.13,3807.92,15.7004,1.00154,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[25,2]",0.465719,0.00302462,0.233994,0.214902,0.168757,0.423063,0.911094,5351.21,5578.29,18.4079,1.00028,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[25,3]",0.36652,0.00233343,0.206589,0.195504,0.087493,0.328367,0.776799,7692.39,5295.21,26.4614,1.00147,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[26,1]",0.465536,0.00358665,0.27808,0.320027,0.0718413,0.420733,0.950529,5995.43,4566.37,20.624,0.999972,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[26,2]",0.279486,0.00197675,0.171068,0.144078,0.0731992,0.244617,0.601638,6776.93,5980.53,23.3123,1.00063,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[26,3]",0.0681963,0.00161588,0.122325,0.0328317,0.00108556,0.0261874,0.276344,8086.45,6283.49,27.817,1.00017,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[27,1]",0.0615187,0.00103873,0.0771826,0.0408454,0.00265845,0.0419369,0.184451,7543.42,5193.44,25.949,1.00031,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[27,2]",0.271919,0.0048535,0.264468,0.112212,0.058829,0.165053,0.844994,2950.54,5489.26,10.1497,1.00031,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[27,3]",0.324683,0.00581113,0.328616,0.282502,0.00233429,0.196783,0.929794,2940.79,5847.7,10.1162,1.0005,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[28,1]",0.216397,0.00354821,0.208388,0.0974426,0.0370284,0.132542,0.720634,4210.76,4724.3,14.4848,1.00026,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[28,2]",0.424762,0.00489272,0.31354,0.278025,0.072838,0.339643,1.05696,3589.37,5254.85,12.3472,1.00116,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[28,3]",0.120472,0.0030271,0.183212,0.0529785,0.0016135,0.0407769,0.532894,4003.99,4909.7,13.7735,1.00031,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[29,1]",0.0220889,0.000218812,0.0196067,0.0164233,0.00142862,0.0164126,0.06171,6605.35,5751.75,22.7221,1.00014,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[29,2]",0.766872,0.00499971,0.355713,0.216974,0.416052,0.664489,1.51353,6777.55,5252.47,23.3144,1.00106,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[29,3]",0.388416,0.0034285,0.261481,0.290781,0.0391711,0.345614,0.876209,4915.08,4988.07,16.9076,1.00073,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[30,1]",0.887145,0.0010429,0.106046,0.0896278,0.672498,0.921766,0.995847,8957.8,5580.02,30.8144,1.0007,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[30,2]",1.09327,0.00232144,0.222633,0.215268,0.757105,1.07632,1.48652,9257.44,5926.65,31.8451,0.999945,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[30,3]",0.00385938,6.24724e-05,0.0057533,0.00216871,6.84065e-05,0.00175,0.0151465,10650.5,6447.53,36.6371,0.999953,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[31,1]",0.776326,0.00200866,0.196413,0.180108,0.372419,0.832383,0.989508,9376.35,5886.84,32.2542,1.00023,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[31,2]",0.276564,0.000994255,0.0986394,0.0984169,0.122322,0.273042,0.447134,9348.42,4946.79,32.1581,0.999814,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[31,3]",0.0295976,0.00049891,0.0462842,0.0151515,0.000333403,0.0114672,0.118429,9662.75,6773.56,33.2394,1.0003,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[32,1]",0.0567184,0.000569438,0.0534878,0.0441976,0.00231401,0.0407046,0.162764,7205.26,5225.97,24.7857,1.00085,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[32,2]",0.482274,0.00249526,0.202757,0.151391,0.254856,0.430689,0.886211,7519.03,6041.19,25.8651,1.0005,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[32,3]",0.41478,0.00297522,0.245971,0.273348,0.0773735,0.379081,0.8709,6563.73,5387.9,22.5789,1.00049,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[33,1]",0.705268,0.00196971,0.174908,0.211776,0.419518,0.70198,0.976896,7742.18,5497.35,26.6327,1.00005,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[33,2]",1.03616,0.00225783,0.225035,0.215592,0.706924,1.0141,1.43691,9522.67,5859.17,32.7575,0.999993,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[33,3]",0.00796428,0.00011752,0.0103732,0.00496676,0.000211866,0.00410947,0.0291676,10358.0,6448.42,35.6311,1.00014,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[34,1]",0.236719,0.00141038,0.110795,0.101248,0.0766287,0.223269,0.434834,4925.76,3027.14,16.9444,1.00087,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[34,2]",0.596442,0.00354998,0.275878,0.263802,0.20627,0.561446,1.10658,5096.11,3343.4,17.5303,1.00051,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[34,3]",0.282707,0.00200525,0.172722,0.152011,0.0606634,0.249755,0.623921,6965.32,3500.3,23.9604,1.00077,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[35,1]",0.428981,0.0029254,0.243199,0.235586,0.0982823,0.380026,0.909506,6961.32,4201.63,23.9466,1.00026,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[35,2]",0.41775,0.00313851,0.260046,0.225762,0.100183,0.364876,0.924503,5870.14,5075.32,20.193,1.00075,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[35,3]",0.0504057,0.00144153,0.100349,0.023759,0.000920903,0.0193778,0.186173,9010.04,5450.75,30.9941,1.00045,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[36,1]",0.325258,0.0045016,0.280775,0.24128,0.0174523,0.229927,0.908179,4377.16,4151.9,15.0572,1.00097,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[36,2]",0.142157,0.000955852,0.0847573,0.07424,0.0407107,0.125476,0.301338,7330.38,5533.45,25.2161,1.0002,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[36,3]",0.137616,0.00252545,0.191083,0.0783794,0.00268166,0.0628183,0.584137,7113.88,5069.95,24.4714,0.999949,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[37,1]",0.905976,0.000908183,0.0924032,0.0701818,0.714918,0.936596,0.996185,9786.32,6512.81,33.6645,1.00004,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[37,2]",1.47814,0.00299589,0.296041,0.284074,1.03382,1.45409,2.00426,9949.01,6129.52,34.2241,1.00052,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[37,3]",0.00391007,6.63809e-05,0.00610052,0.00210207,6.95154e-05,0.00168465,0.015247,10947.1,5600.01,37.6575,0.999889,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[38,1]",0.295611,0.00325192,0.224054,0.184794,0.0405516,0.231361,0.785698,5474.12,4310.74,18.8307,1.00083,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[38,2]",0.295914,0.00256816,0.186531,0.162216,0.070958,0.25548,0.662017,4378.3,4666.52,15.0611,1.00046,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[38,3]",0.156207,0.00247524,0.173023,0.106974,0.00570853,0.0990265,0.526947,6641.83,4842.07,22.8476,1.00029,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[39,1]",0.198535,0.00164932,0.105803,0.0803789,0.0775113,0.174848,0.403604,4091.48,4577.11,14.0745,1.00065,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[39,2]",1.10135,0.00649698,0.493919,0.500855,0.351977,1.06874,1.96574,5140.79,3731.73,17.684,0.999985,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[39,3]",0.0924574,0.00152571,0.0942163,0.0529524,0.00720016,0.0689732,0.258248,4210.54,4163.83,14.484,1.00023,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[40,1]",0.446098,0.00302589,0.259323,0.270661,0.100623,0.391992,0.937276,8136.96,4408.18,27.9907,1.00201,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[40,2]",0.347249,0.00257529,0.226335,0.178136,0.0883545,0.297619,0.788831,6243.15,4496.01,21.4761,1.00033,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[40,3]",0.0617227,0.00136202,0.101593,0.033319,0.00104371,0.0263348,0.229897,10068.1,5561.2,34.6338,1.00037,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[41,1]",0.886258,0.00101862,0.106805,0.0890587,0.665968,0.918253,0.99566,9724.58,5470.2,33.452,1.0001,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[41,2]",0.957775,0.00185255,0.185455,0.180232,0.671542,0.945674,1.28111,9876.46,6252.74,33.9745,1.00003,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[41,3]",0.00460965,7.44345e-05,0.0069447,0.00259255,8.41556e-05,0.00207271,0.0179149,10920.4,6079.82,37.5657,0.999912,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[42,1]",0.0992891,0.00127405,0.0868701,0.0608822,0.00716617,0.0799426,0.25232,5528.33,4293.78,19.0172,1.00169,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[42,2]",0.399196,0.00447419,0.300877,0.254418,0.0778687,0.312153,0.998718,3681.08,5072.99,12.6627,1.00068,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[42,3]",0.193965,0.00420938,0.245497,0.0984409,0.00551921,0.0845931,0.801781,4096.88,4985.89,14.0931,1.00176,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[43,1]",0.057036,0.000493762,0.0442117,0.0426979,0.00421631,0.047349,0.140889,6471.56,5043.79,22.2619,1.00012,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[43,2]",0.530202,0.0032754,0.264238,0.205414,0.238325,0.45898,1.06351,6404.47,5966.21,22.0311,1.00042,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[43,3]",0.328753,0.00308523,0.24372,0.238857,0.0318227,0.271236,0.829146,5909.85,5275.89,20.3296,1.00102,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[44,1]",0.0883031,0.000868158,0.0735955,0.057196,0.00819427,0.074639,0.212833,6741.6,4637.83,23.1908,1.00002,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[44,2]",0.435442,0.00361323,0.288191,0.247437,0.11471,0.358313,1.00476,5300.47,5814.69,18.2334,1.00085,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[44,3]",0.207486,0.00285823,0.211004,0.135974,0.00940446,0.13371,0.698775,6105.45,5346.65,21.0024,1.00124,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[45,1]",0.423589,0.00438985,0.308981,0.382078,0.0243209,0.366494,0.951825,5295.31,5514.74,18.2156,1.00019,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[45,2]",0.142055,0.00088095,0.078678,0.0718367,0.0431828,0.12901,0.288342,7678.79,5801.64,26.4146,1.00044,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
"natural[45,3]",0.134577,0.00201824,0.172775,0.0880844,0.00206775,0.0697349,0.501038,7623.64,5982.3,26.2249,1.00065,H8_full_age_attempt95,111,0,0,0.7239704894574897,True
