run,model,age,parameter,mean,median,ci_low,ci_high
H2_full_age,H2,42.63333333333333,alpha,0.21307647325492976,0.1883476317349451,0.05600627714260523,0.49864462040264446
H2_full_age,H2,42.63333333333333,kappa,0.020477107476029294,0.019572392165984057,0.009447808307680392,0.03662782051158556
H2_full_age,H2,43.61666666666667,alpha,0.21372079325222945,0.1889192939516363,0.05589620034263611,0.4998673315136571
H2_full_age,H2,43.61666666666667,kappa,0.02019415466276008,0.019279278135269532,0.009287908315339244,0.036158230757486795
H2_full_age,H2,44.599999999999994,alpha,0.21438664361027077,0.18938762711187312,0.05581450958380744,0.5016109563662471
H2_full_age,H2,44.599999999999994,kappa,0.01991982268948005,0.01900754487836743,0.009100083886182228,0.035878645319257024
H2_full_age,H2,45.58333333333333,alpha,0.21507388850700346,0.18985178165174468,0.05568520364009856,0.5041029710919812
H2_full_age,H2,45.58333333333333,kappa,0.01965386484829152,0.01873718741548713,0.00894171853080074,0.035494733161698586
H2_full_age,H2,46.56666666666666,alpha,0.21578237599521594,0.19036819900228685,0.05555170485627899,0.5068782006006931
H2_full_age,H2,46.56666666666666,kappa,0.019396043827160807,0.01846400443868064,0.008754687531639002,0.03526733385417693
H2_full_age,H2,47.55,alpha,0.21651193814321115,0.19091713976133395,0.055445135234384234,0.5095444786036684
H2_full_age,H2,47.55,kappa,0.019146131353683628,0.01817740261820524,0.008591845086294245,0.035088662359079245
H2_full_age,H2,48.53333333333333,alpha,0.2172623912128074,0.19121978026464193,0.055033457784848014,0.5122831285752023
H2_full_age,H2,48.53333333333333,kappa,0.018903907854768236,0.017899976271962874,0.008377292409699526,0.03492927407372007
H2_full_age,H2,49.516666666666666,alpha,0.2180335358746891,0.1919810641242422,0.05479458400930943,0.5157221264237385
H2_full_age,H2,49.516666666666666,kappa,0.018669162131520294,0.017646318871996594,0.008165230324611288,0.03476545191814819
H2_full_age,H2,50.5,alpha,0.2188251574608978,0.19262724082179045,0.054627062805401014,0.5180182535116761
H2_full_age,H2,50.5,kappa,0.018441691048649452,0.017402396931541282,0.007979376547731377,0.034643361575967535
H2_full_age,H2,51.483333333333334,alpha,0.21963702625399345,0.19318506437566063,0.05422469150462676,0.5226394478412301
H2_full_age,H2,51.483333333333334,kappa,0.018221299237751978,0.01713866170396466,0.007762819358804092,0.034570724622452746
H2_full_age,H2,52.46666666666667,alpha,0.22046889781213114,0.1938384254885882,0.05385616108695677,0.5271660404084321
H2_full_age,H2,52.46666666666667,kappa,0.018007798813856418,0.016892039605378363,0.007547487081613354,0.03448316275076623
H2_full_age,H2,53.449999999999996,alpha,0.22132051332899966,0.19409454877141807,0.053339615246705434,0.5303109779093402
H2_full_age,H2,53.449999999999996,kappa,0.01780100910465015,0.01665408905188352,0.007326865041330839,0.034527255025276926
H2_full_age,H2,54.43333333333333,alpha,0.22219160002726465,0.19478016169637116,0.0530065486801638,0.5340140019001863
H2_full_age,H2,54.43333333333333,kappa,0.01760075639183404,0.01640846563787746,0.007120016344357291,0.03453970879884547
H2_full_age,H2,55.416666666666664,alpha,0.22308187158386059,0.19542233573216738,0.052599623675752306,0.537707797414869
H2_full_age,H2,55.416666666666664,kappa,0.01740687366408057,0.016187031427266026,0.006892696093603773,0.03457532733080818
H2_full_age,H2,56.4,alpha,0.22399102858520098,0.1958634158748908,0.052156886584775936,0.5417796447130644
H2_full_age,H2,56.4,kappa,0.017219200381097047,0.01596642220445449,0.00666986114643357,0.03467191505754707
H2_full_age,H2,57.38333333333333,alpha,0.22491875901013425,0.1964107452960908,0.05167870157616018,0.546338242551295
H2_full_age,H2,57.38333333333333,kappa,0.017037582248320974,0.015734137156300305,0.006444455054779964,0.03477182716977507
H2_full_age,H2,58.36666666666667,alpha,0.2258647387382784,0.19692258797188802,0.05121673095167198,0.5519134438201134
H2_full_age,H2,58.36666666666667,kappa,0.016861871001798704,0.01551771897098295,0.006239596640120128,0.034828750766511374
H2_full_age,H2,59.35,alpha,0.22682863208123,0.19770984568157274,0.05052936863464407,0.5563426253535281
H2_full_age,H2,59.35,kappa,0.016691924202821132,0.01531219746066632,0.0060311694042869055,0.03500505506267325
H2_full_age,H2,60.0,alpha,0.22747544774762213,0.19792041536566907,0.050259984251476895,0.5592800988712969
H2_full_age,H2,60.0,kappa,0.01658268420992056,0.01518836264304449,0.005890379786529728,0.035122493950195136
H2_full_age,H2,60.33333333333333,alpha,0.22781009233406985,0.19809664006478767,0.050033245695167906,0.5600649072475028
H2_full_age,H2,60.33333333333333,kappa,0.016527605041912183,0.015118455418719718,0.005830707944171577,0.03520403223677986
H2_full_age,H2,61.31666666666666,alpha,0.22880876234457617,0.1987940802555405,0.04935828948748746,0.5648100655116545
H2_full_age,H2,61.31666666666666,kappa,0.016368782151786464,0.01489255741875607,0.005634767270455287,0.035424643535773126
H2_full_age,H2,62.3,alpha,0.22982427509760736,0.19924012161445143,0.04886167338844051,0.5696408853689284
H2_full_age,H2,62.3,kappa,0.016215329428912163,0.014684219045028982,0.005439064785235262,0.0355768568692599
H2_full_age,H2,63.28333333333333,alpha,0.23085625431221968,0.19975198137748565,0.0481549336390681,0.5756730746789547
H2_full_age,H2,63.28333333333333,kappa,0.016067125863334225,0.014488169909714202,0.005246084449753016,0.03583995613619076
H2_full_age,H2,64.26666666666667,alpha,0.23190431504922723,0.2005084027223203,0.04748588649840653,0.5808432313376025
