model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,alpha,kappa,theta,participant_id,heldout_n,heldout_log_loss,heldout_accuracy,heldout_brier,split,theta_stranger
M5_theta10,27,3,-16.544537395899162,39.089074791798325,40.13255305266789,42.97658538981131,-0.044326191760467246,0.11597325722719531,True,100,100,43,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0851038101806913,0.7629830036526223,0.8415348647748725,sub-10462,14,0.6147503213964358,0.7857142857142857,0.21053011112319622,chronological_65_percent,
M6_theta10,27,3,-17.100191637646066,40.20038327529213,41.243861536161695,44.08789387330512,-0.07401654802036263,0.08628290096729996,True,100,100,31,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1355359055561528,0.8463190037648534,0.8003060642783598,sub-10462,14,0.7138612988247381,0.5,0.26243415861318703,chronological_65_percent,
M7_theta10,27,4,-16.54447785506499,41.08895571012998,42.9071375283118,46.2723031741473,-0.09775615996871807,0.11597643868149876,True,100,100,11,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.08543580534168453,0.7684622562248126,0.841788831376895,sub-10462,14,0.6135877932830819,0.7857142857142857,0.21015585762532457,chronological_65_percent,0.012407410892155588
M5_theta10,41,3,-22.149211764732787,50.29842352946557,50.94707217811422,55.4391397295785,0.11505748548179587,0.2206205372541591,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.24283022483038622,0.3680897864147643,4.213632292118044,sub-10478,41,0.5486029404475293,0.6341463414634146,0.1965291227802303,run_1_to_2,
M6_theta10,41,3,-26.43196188118209,58.86392376236418,59.512572411012826,64.0046399624771,-0.035642571941814895,0.06992047983054828,True,100,100,21,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.033597158701119026,10.0,sub-10478,41,0.586609741123242,0.7317073170731707,0.19912754838948504,run_1_to_2,
M7_theta10,41,4,-22.13292272931755,52.2658454586351,53.37695656974621,59.120133725452334,0.080442974987295,0.22119371068377924,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.23478379885056638,0.3968339142678534,3.9327712904448884,sub-10478,41,0.5470927376586214,0.6585365853658537,0.1955259886472218,run_1_to_2,0.08671320911547303
M4_theta10,27,3,-0.0,6.0,7.043478260869565,9.887510598012987,0.8397005510123374,1.0,True,100,100,100,alpha;kappa,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,20.0,7.6206954812072825,sub-10486,15,0.0,1.0,0.0,chronological_65_percent,
M5_theta10,27,3,-14.588722356169765,35.17744471233953,36.22092297320909,39.06495531035252,0.06017916596966806,0.22047861495733068,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.1243254303387105,10.0,sub-10486,15,0.5637397521365107,0.3333333333333333,0.20099557419950154,chronological_65_percent,
M6_theta10,27,3,-7.172392508986496,20.344785017972992,21.388263278842558,24.23229561598598,0.45645702864107934,0.616756477628742,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.2496049699322898,10.0,sub-10486,15,0.36593548681090077,0.6,0.13519354090867094,chronological_65_percent,
M7_theta10,27,4,-7.172392508986499,22.344785017972995,24.162966836154812,27.528132481990312,0.40302387897852504,0.6167564776287418,True,100,100,100,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.24960496989599507,10.0,sub-10486,15,0.36593548680762317,0.6,0.13519354090443872,chronological_65_percent,10.0
M4_theta10,41,3,-26.678409403210058,59.356818806420115,60.00546745506876,64.49753500653304,-0.044314489450817875,0.0612485623215453,True,100,100,33,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,3.1229269088154563,0.6943593682246801,sub-10529,40,0.6406050026680523,0.6,0.22522474532094688,run_1_to_2,
M5_theta10,41,3,-25.9306579517706,57.8613159035412,58.50996455218984,63.002032103654116,-0.018002847723763423,0.08756020404859977,True,100,100,93,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.05882109058286746,10.0,sub-10529,40,0.6531000249217201,0.5,0.2314772921646405,run_1_to_2,
M6_theta10,41,3,-26.75692094282334,59.51384188564668,60.16249053429532,64.6545580857596,-0.04707712869112611,0.05848592308123712,True,100,100,76,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.09107032621668877,3.74452432391288,sub-10529,40,0.6416251639649124,0.575,0.22563577235098461,run_1_to_2,
M7_theta10,41,4,-25.817688154974725,59.63537630994945,60.746487421060564,66.48966457676669,-0.04921538614525911,0.09153534955122511,True,100,100,94,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.09107031478709048,6.723612866013146,sub-10529,40,0.6423199223044777,0.575,0.22608487363024526,run_1_to_2,1.3381721762645962
M4_theta10,40,3,-24.901651816212738,55.803303632425475,56.46997029909214,60.86994199476729,-0.006339367696516391,0.10186276037015585,True,100,100,97,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.38740814677305074,1.905997936576876,sub-10541,42,0.6199921188929132,0.7380952380952381,0.21424783450577614,run_1_to_2,
M5_theta10,40,3,-26.897270400301817,59.794540800603635,60.4612074672703,64.86117916294545,-0.07831609356579564,0.029886034500876568,True,100,100,72,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.0304931572737871,10.0,sub-10541,42,0.663686982716641,0.4523809523809524,0.23586012163125905,run_1_to_2,
M6_theta10,40,3,-27.593402452360543,61.186804904721086,61.85347157138775,66.25344326706289,-0.10342375004852018,0.004778378018152063,True,100,100,69,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.20021527085584356,0.007136736385451638,10.0,sub-10541,42,0.6715406442812545,0.6428571428571429,0.23925598915669724,run_1_to_2,
M7_theta10,40,4,-26.897270400301817,61.794540800603635,62.93739794346078,68.55005861705938,-0.11438346958801973,0.029886034500876568,True,100,100,73,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.03049315730571522,10.0,sub-10541,42,0.6636869827067136,0.4523809523809524,0.23586012162707057,run_1_to_2,0.0
M4_theta10,27,3,-14.281038462615305,34.56207692523061,35.605555186100176,38.44958752324359,0.0766196855027208,0.2369191344903835,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.5452883022469002,0.45988840889545546,1.5605353873575667,sub-10555,14,0.3174565716332797,0.8571428571428571,0.09533768992918688,chronological_65_percent,
M5_theta10,27,3,-14.53477499204833,35.06954998409666,36.11302824496622,38.95706058210965,0.06306174355066896,0.22336119253833153,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.8955943487782403,0.2536523962517008,10.0,sub-10555,14,0.4823766212868466,0.8571428571428571,0.15524541323127372,chronological_65_percent,
M6_theta10,27,3,-15.572769099232996,37.14553819846599,38.189016459335555,41.03304879647898,0.0075984490726213865,0.167897898060284,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.742348562711366,0.20143232320646073,1.8725619397410078,sub-10555,14,0.5463013926796996,0.7857142857142857,0.18036861815701724,chronological_65_percent,
M7_theta10,27,4,-14.324565525741649,36.649131051483295,38.467312869665115,41.83247851550061,0.020860747761765396,0.23459334641198215,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.892107830507748,0.22253518915199305,10.0,sub-10555,14,0.48509410835559447,0.8571428571428571,0.15586516278294335,chronological_65_percent,0.6652874610509583
M4_theta10,38,3,-10.41946864573065,26.8389372914613,27.544819644402477,31.751695770640456,0.4905210298273542,0.6044180067396407,True,100,100,98,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.023273320650495345,14.145039609200204,0.8129517010800608,sub-10559,40,0.31611155897450277,0.925,0.09101345016878928,run_1_to_2,
M5_theta10,38,3,-10.000017408597822,26.000034817195644,26.70591717013682,30.9127932963748,0.5064457724512034,0.62034274936349,True,100,100,91,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.15064045846251212,2.830428491841253,0.9494408759344065,sub-10559,40,1.1414951333014045,0.625,0.3010029993982684,run_1_to_2,
M6_theta10,38,3,-14.812007182217686,35.62401436443537,36.32989671737654,40.53677284361453,0.32375540973515654,0.4376523866474431,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.03833294614019471,2.2988241368489617,0.291213005286618,sub-10559,40,0.26610562409007776,0.975,0.07089281501308095,run_1_to_2,
M7_theta10,38,4,-9.895136316782462,27.790272633564925,29.002393845686136,34.34061727247047,0.47246199324478433,0.624324629127833,True,100,100,97,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.13972736793262108,3.1021689235622243,0.9282824050114935,sub-10559,40,1.1602510227415368,0.625,0.30891394830712937,run_1_to_2,0.07713107100835367
M4_theta10,41,3,-27.228166165110558,60.456332330221116,61.10498097886976,65.59704853033404,-0.06365915662372096,0.041903895148642234,True,100,100,94,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,3.7195220643973617,0.5620893343058889,sub-10572,42,0.6975742711200391,0.5238095238095238,0.2515174530801439,run_1_to_2,
M5_theta10,41,3,-27.22816616511056,60.45633233022112,61.10498097886977,65.59704853033405,-0.06365915662372108,0.04190389514864212,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.3743961736019054,1.1168402969314823,sub-10572,42,0.6975742705980196,0.5238095238095238,0.25151745285932603,run_1_to_2,
M6_theta10,41,3,-27.825185464981427,61.650370929962854,62.2990195786115,66.79108713007578,-0.08466688304417715,0.020896168728186004,True,100,100,99,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.4761194680535489,0.5525343762997755,sub-10572,42,0.6721575965296039,0.47619047619047616,0.2404657944734848,run_1_to_2,
M7_theta10,41,4,-27.178492075736823,62.35698415147365,63.46809526258476,69.21127241829087,-0.0970989243917405,0.043651811304743715,True,100,100,98,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.4761194698535033,0.9850518893653485,sub-10572,42,0.6985454045828243,0.5238095238095238,0.2521469065637514,run_1_to_2,0.20892020329438188
M5_theta10,38,3,-17.845205642468734,41.69041128493747,42.39629363787864,46.60316976411663,0.20859803140262417,0.32249500831491074,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.02586153641367938,1.052364316600235,1.2985748374348136,sub-10581,41,0.6205817989775302,0.7073170731707317,0.19967647491349672,run_1_to_2,
M6_theta10,38,3,-20.604022292207354,47.20804458441471,47.91392693735588,52.12080306359387,0.10385773931578704,0.21775471622807363,True,100,100,95,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.028938831418341172,2.2737923989039563,0.5328178773047514,sub-10581,41,0.6699280829305142,0.6829268292682927,0.2118327147678161,run_1_to_2,
M7_theta10,38,4,-16.523082241237493,41.046164482474985,42.258285694596196,47.59650912138053,0.22082765860027148,0.37269029448332025,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,2.2695896997944205,0.9175246754023566,sub-10581,41,0.6374465034508285,0.7073170731707317,0.19284708386086852,run_1_to_2,0.3829682920678364
M4_theta10,42,3,-25.654904499196594,57.30980899839319,57.941387945761605,62.522817853243296,0.0157074138538626,0.11875705963164573,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.4329295710189319,0.3710525205418697,0.8496507207240906,sub-10584,41,0.8827198459766713,0.36585365853658536,0.333781158393681,run_1_to_2,
M5_theta10,42,3,-26.426067883393817,58.85213576678763,59.48371471415605,64.06514462163774,-0.01078195733891083,0.09226768843887223,True,100,100,84,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.6684752570929425,0.2455894972491757,0.0,sub-10584,41,0.6905814124855241,0.3902439024390244,0.2497388672049493,run_1_to_2,
M6_theta10,42,3,-25.464225764921085,56.92845152984217,57.56003047721059,62.14146038469228,0.022257205862011645,0.12530685163979471,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.5010582082172176,0.3340964422259498,0.9203339516924224,sub-10584,41,0.901321094383719,0.3902439024390244,0.33761581151985603,run_1_to_2,
M7_theta10,42,4,-23.076232681510746,54.15246536302149,55.23354644410257,61.10314383615496,0.06993460439116113,0.20733413209487195,True,100,100,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.8064799437924973,0.2386738449053762,0.0,sub-10584,41,1.2412926312972443,0.3170731707317073,0.34731931598430704,run_1_to_2,4.944442644464985
M4_theta10,42,3,-21.305181017465316,48.61036203493063,49.24194098229905,53.82337088978073,0.16511990186176714,0.26816954763955025,True,100,100,99,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.00043829204010270817,5.345760406741203,0.6465349367181177,sub-10585,42,0.7137660198841699,0.6428571428571429,0.24060768803468405,run_1_to_2,
M5_theta10,42,3,-25.593281602516722,57.186563205033444,57.81814215240186,62.39957205988355,0.01782415307874983,0.12087379885653293,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2032999853427597,0.08370234098203633,10.0,sub-10585,42,0.5974192506041767,0.6190476190476191,0.2105118459901377,run_1_to_2,
M6_theta10,42,3,-21.49768730318171,48.99537460636342,49.62695355373184,54.20838346121353,0.15850733367741007,0.2615569794551932,True,100,99,94,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.08157628354861371,10.0,sub-10585,42,0.7148192603336154,0.6428571428571429,0.24256360946903316,run_1_to_2,
M7_theta10,42,4,-21.49188301228842,50.98376602457684,52.06484710565792,57.93444449771031,0.12435682845833067,0.2617563561620415,True,100,99,40,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1255622188324443,0.0883273034167869,10.0,sub-10585,42,0.6986919230625394,0.6428571428571429,0.23504052594184963,run_1_to_2,8.308151400995088
M4_theta10,42,3,-22.85886279777324,51.71772559554648,52.3493045429149,56.930734450396585,0.11175111615772473,0.2148007619355078,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1.8508423062827928,2.470795998210373,sub-10589,42,0.641223085320644,0.6428571428571429,0.21615223771646966,run_1_to_2,
M5_theta10,42,3,-20.755086615191743,47.51017323038349,48.141752177751904,52.72318208523359,0.18401557962797813,0.2870652254057612,True,100,100,88,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.2294562322746173,10.0,sub-10589,42,0.8110368592171323,0.5476190476190477,0.22792755901744435,run_1_to_2,
M6_theta10,42,3,-25.201903180942704,56.40380636188541,57.035385309253826,61.61681521673552,0.0312679556481733,0.1343176014259564,True,100,100,90,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0,0.05030474148792799,10.0,sub-10589,42,0.6335818081572547,0.6428571428571429,0.22056943326585768,run_1_to_2,
M7_theta10,42,4,-20.241889688537103,48.48377937707421,49.56486045815529,55.43445785020768,0.16729395153738627,0.304693479241097,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.27668150450227796,10.0,sub-10589,42,0.8476123034611716,0.6428571428571429,0.21598993817198714,run_1_to_2,0.830919538743919
M4_theta10,42,3,-21.099297674405797,48.198595348811594,48.83017429618001,53.411604203661696,0.17219197038637687,0.27524161616416,True,100,100,38,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,2.0658520982515483,0.8005913680966401,sub-10590,42,0.47204575275075894,0.7380952380952381,0.15959038459312272,run_1_to_2,
M5_theta10,42,3,-17.207704582945837,40.415409165891674,41.04698811326009,45.628418020741776,0.30586773358178243,0.4089173793595655,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.1073986568590836,0.7830502398476744,10.0,sub-10590,42,0.8279074962091416,0.7857142857142857,0.18474535378947068,run_1_to_2,
M6_theta10,42,3,-23.277918775457216,52.55583755091443,53.18741649828285,57.768846405764535,0.097356592803926,0.20040623858170914,True,100,100,15,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,1.328170982391899,0.7869308242754807,sub-10590,42,0.5296202497146755,0.7380952380952381,0.17768444165518893,run_1_to_2,
M7_theta10,42,4,-15.426538508946342,38.85307701789269,39.93415809897377,45.80375549102616,0.33270069598820556,0.4701002236919164,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.10020876051966547,1.5838076447805443,10.0,sub-10590,42,1.3242529863968446,0.7142857142857143,0.18510856604695208,run_1_to_2,0.36873060248837414
M4_theta10,41,3,-17.846530229809066,41.69306045961813,42.34170910826678,46.83377665973106,0.2664588833588438,0.37202193513120696,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.015991761601490732,1.370528042895986,1.4588422205181253,sub-10596,41,0.3874605506638401,0.8292682926829268,0.12141087963337531,run_1_to_2,
M5_theta10,41,3,-23.077365287448444,52.15473057489689,52.803379223545534,57.29544677500981,0.0823979126914178,0.18796096446378097,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0965625955188262,0.10651664676252139,10.0,sub-10596,41,0.5353494396328345,0.5365853658536586,0.18590154215247137,run_1_to_2,
M6_theta10,41,3,-17.760816933952253,41.521633867904505,42.17028251655315,46.66235006801743,0.269474935721548,0.37503798749391126,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.010171998922337937,0.27799303833566774,4.224746967667555,sub-10596,41,0.38467577875595443,0.8292682926829268,0.11558676012786082,run_1_to_2,
M7_theta10,41,4,-17.692099419703382,43.384198839406764,44.49530995051788,50.238487106224,0.23670526196886751,0.37745599766535176,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.01856219497634262,0.2711852258539682,4.797735785947379,sub-10596,41,0.3791198508363835,0.8292682926829268,0.11583561015064789,run_1_to_2,3.841859591767595
M4_theta10,42,3,-26.157689427586444,58.31537885517289,58.946957802541306,63.528387710023,-0.0015631890704647779,0.10148645670731837,True,100,100,91,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.09638529064550828,1.0721370767344862,0.6900091716649672,sub-10603,42,0.7507828227272023,0.47619047619047616,0.27329363092052084,run_1_to_2,
M5_theta10,42,3,-21.64537796101905,49.2907559220381,49.92233486940652,54.503764776888204,0.15343417701913484,0.25648382279691795,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2704207262169233,0.30482512522323857,4.919264647886557,sub-10603,42,0.870402710143256,0.6428571428571429,0.2644091281828852,run_1_to_2,
M6_theta10,42,3,-27.221742346349828,60.443484692699656,61.07506364006807,65.65649354754976,-0.03811328119292575,0.0649363645848573,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.14018248328449784,0.4065907877737175,0.9524937194396137,sub-10603,42,0.7195622213736896,0.6190476190476191,0.2611095379976594,run_1_to_2,
M7_theta10,42,4,-21.645377961019047,51.290755922038095,52.371837003119175,58.24143439517157,0.11908429509320725,0.25648382279691806,True,100,100,100,theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.2704207337694756,0.3048251098085713,4.919264847221924,sub-10603,42,0.8704027137975646,0.6428571428571429,0.2644091294475921,run_1_to_2,0.0
M4_theta10,40,3,-9.925515362758992,25.851030725517983,26.51769739218465,30.917669087859792,0.5338105771303373,0.6420127051970095,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.30836469116111215,7.119716570785289,sub-10606,41,0.09442783316704999,1.0,0.015207253004506658,run_1_to_2,
M5_theta10,40,3,-21.039135281689894,48.07827056337979,48.74493723004645,53.144908925721595,0.13297146854617686,0.2411735966128491,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.15094378192952937,10.0,sub-10606,41,0.543217919838175,0.34146341463414637,0.19794423876134623,run_1_to_2,
M6_theta10,40,3,-16.424349404148373,38.848698808296746,39.51536547496341,43.91533717063855,0.2994146860535163,0.4076168141201886,True,100,100,68,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.12954126805317,10.0,sub-10606,41,0.31518593019641894,0.6829268292682927,0.10248815351119715,run_1_to_2,
M7_theta10,40,4,-15.88597230535133,39.77194461070266,40.91480175355981,46.527462427158405,0.2827651592953592,0.42703466338425555,True,100,100,90,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.0,0.20150805228391463,10.0,sub-10606,41,0.32848297245745006,0.6829268292682927,0.11007012620608687,run_1_to_2,5.034699784566528
M4_theta10,27,3,-7.1247468443632815,20.249493688726563,21.29297194959613,24.13700428673955,0.4590028865696634,0.6193023355573261,True,100,100,29,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.0043783490770421644,17.74780266882287,0.5792030964575299,sub-10608,15,0.15379725683051662,0.9333333333333333,0.04297260246261512,chronological_65_percent,
