participant_id,run,observed_trials,valid,feedback,expected_trials
sub-10863,2.0,42,42,42,42
sub-10866,1.0,42,42,38,42
sub-10866,2.0,42,42,41,42
sub-10875,1.0,42,42,41,42
sub-10875,2.0,42,42,42,42
sub-10881,1.0,42,38,31,42
sub-10886,1.0,42,40,33,42
sub-10887,1.0,42,42,38,42
sub-10887,2.0,42,42,36,42
sub-10896,1.0,42,41,38,42
sub-10896,2.0,42,40,36,42
sub-10897,1.0,42,41,36,42
sub-10898,1.0,42,40,35,42
sub-10898,2.0,42,39,35,42
sub-10908,1.0,42,41,40,42
sub-10908,2.0,42,42,41,42
sub-10918,1.0,42,42,32,42
sub-10918,2.0,42,42,32,42
sub-10924,1.0,42,42,42,42
sub-10924,2.0,42,42,42,42
sub-10926,1.0,42,42,31,42
sub-10928,1.0,42,41,30,42
sub-10929,1.0,42,42,39,42
sub-10930,1.0,42,41,36,42
sub-10930,2.0,42,42,40,42
sub-10938,1.0,42,41,35,42
sub-10938,2.0,42,42,42,42
sub-10940,1.0,42,42,37,42
sub-10940,2.0,42,42,39,42
sub-10950,1.0,42,42,40,42
sub-10950,2.0,42,42,40,42
sub-10951,1.0,42,42,32,42
sub-10951,2.0,42,42,33,42
sub-10952,1.0,42,42,42,42
sub-10953,1.0,42,42,30,42
sub-10953,2.0,42,42,30,42
sub-10954,1.0,42,29,22,42
sub-10954,2.0,42,30,25,42
sub-10956,1.0,42,42,35,42
sub-10956,2.0,42,42,38,42
sub-10958,1.0,42,40,32,42
sub-10958,2.0,42,42,32,42
sub-10969,1.0,42,42,38,42
sub-10969,2.0,42,42,33,42
sub-10974,1.0,42,38,37,42
sub-10977,1.0,42,42,34,42
sub-10983,1.0,42,40,36,42
sub-10983,2.0,42,40,35,42
sub-10984,1.0,42,41,33,42
sub-10984,2.0,42,40,38,42
sub-11005,1.0,42,39,33,42
sub-11005,2.0,42,42,34,42
sub-11031,1.0,42,41,36,42
sub-11031,2.0,42,42,37,42
