parameter,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat,run,n_subjects,divergences,chains,warmup_per_chain,draws_per_chain,adapt_delta,max_depth_hits,min_bfmi,passed
"natural[4,2]",0.176395,0.000878844,0.0802213,0.081788,0.0572844,0.170658,0.318266,7151.34,3636.91,15.6791,1.00019,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[4,3]",0.0274068,0.00121744,0.0683708,0.0127441,0.0004365,0.0103974,0.0931478,6939.48,4975.37,15.2146,1.00045,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[5,1]",0.102353,0.00213838,0.144462,0.0597682,0.0027313,0.0517405,0.402927,6407.41,5094.89,14.0481,1.0009,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[5,2]",0.215542,0.00178477,0.136177,0.103659,0.0624214,0.184699,0.479025,6103.38,5325.66,13.3815,1.00034,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[5,3]",0.346003,0.00383085,0.296082,0.326498,0.00734815,0.270675,0.907108,5312.89,4808.6,11.6484,0.999999,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[6,1]",0.598838,0.00366072,0.256472,0.338711,0.195442,0.603282,0.974584,4844.6,5441.51,10.6216,1.00073,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[6,2]",0.353284,0.00157402,0.128292,0.11476,0.1761,0.339751,0.576532,6820.41,5498.83,14.9536,0.999781,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[6,3]",0.0202269,0.000277885,0.0258174,0.0131824,0.000544573,0.0109747,0.0703189,8687.01,5745.8,19.046,1.00005,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[7,1]",0.894484,0.000993442,0.100111,0.0793543,0.685015,0.926282,0.995505,8291.45,5669.77,18.1788,1.00009,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[7,2]",0.997502,0.00220402,0.272296,0.264014,0.592371,0.975919,1.47838,14569.2,5124.36,31.9425,0.999816,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[7,3]",0.00500903,8.50606e-05,0.0077496,0.00265654,0.000104667,0.00215245,0.0192929,10095.8,6552.47,22.1348,1.00127,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[8,1]",0.54893,0.00367041,0.254564,0.317822,0.17019,0.532393,0.962123,5109.88,4893.62,11.2033,1.00057,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[8,2]",0.309952,0.00148346,0.126728,0.119416,0.126754,0.296914,0.539463,6551.87,4891.61,14.3648,1.00066,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[8,3]",0.0231936,0.000410184,0.0357013,0.0139691,0.000600076,0.0118705,0.0808339,7814.09,5303.91,17.1322,1.00018,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[9,1]",0.646042,0.00318297,0.247509,0.317779,0.227194,0.670699,0.980854,5664.85,5661.51,12.42,1.00119,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[9,2]",0.328308,0.00129955,0.124817,0.116518,0.149507,0.316733,0.54925,8732.92,5578.44,19.1467,1.00044,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[9,3]",0.0287565,0.000469833,0.0400784,0.0186201,0.000532028,0.014595,0.0991793,6912.0,6024.22,15.1544,1.00015,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[10,1]",0.713867,0.00233706,0.173602,0.186934,0.405823,0.73183,0.960795,5350.98,5130.69,11.7319,1.00083,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[10,2]",0.872361,0.00909546,0.42429,0.409214,0.294989,0.810937,1.64855,1737.48,2335.43,3.80938,1.00317,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[10,3]",0.169699,0.00201965,0.100428,0.102628,0.00601486,0.177318,0.3286,2505.5,3297.88,5.49324,1.00248,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[11,1]",0.0532201,0.000641969,0.0440959,0.0420197,0.00315545,0.0416059,0.14182,3845.11,3921.18,8.4303,1.00048,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[11,2]",0.865741,0.00247075,0.265007,0.240112,0.513855,0.821663,1.36537,12606.4,6806.19,27.6392,1.00068,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[11,3]",0.370927,0.0025012,0.197618,0.195271,0.108837,0.334254,0.752062,6052.14,6507.36,13.2691,1.00055,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[12,1]",0.047474,0.000781935,0.0575845,0.0309388,0.00226242,0.0290589,0.15483,6582.9,6172.99,14.4328,1.0001,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[12,2]",0.20658,0.00100881,0.0952531,0.0805667,0.0835878,0.190406,0.385536,8680.32,5251.35,19.0314,1.00011,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[12,3]",0.348466,0.00302911,0.236549,0.222735,0.0548036,0.293285,0.837592,6404.23,5573.35,14.0411,1.00029,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[13,1]",0.181507,0.00374016,0.155641,0.0704044,0.0510639,0.136067,0.507764,3111.2,1848.12,6.82121,1.00108,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[13,2]",0.437077,0.00538288,0.309912,0.28368,0.0746494,0.366658,1.04146,2424.63,3056.16,5.31592,1.00073,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[13,3]",0.0540218,0.00202446,0.107797,0.027926,0.00192363,0.0265654,0.167092,4907.45,3126.53,10.7594,1.00073,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[14,1]",0.0986544,0.00139515,0.100167,0.0696499,0.00421348,0.0664436,0.307407,4247.5,4261.34,9.31252,1.00066,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[14,2]",0.249492,0.00157068,0.130972,0.100645,0.0972834,0.218801,0.505629,7037.08,5632.93,15.4286,1.00104,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[14,3]",0.338705,0.00332756,0.252722,0.258413,0.0306961,0.275022,0.835174,5501.39,5254.35,12.0616,1.00078,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[15,1]",0.739626,0.00244284,0.204646,0.213958,0.340476,0.787001,0.98656,6061.46,5423.87,13.2896,1.00072,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[15,2]",0.3052,0.000991869,0.103212,0.10075,0.148129,0.300167,0.482231,10290.3,5314.56,22.5612,1.00032,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[15,3]",0.0191645,0.000293644,0.0265831,0.0114828,0.000377807,0.00917119,0.0703461,7727.16,6100.53,16.9416,0.999879,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[16,1]",0.615828,0.00348741,0.246054,0.316212,0.218834,0.622365,0.975137,4944.05,5077.49,10.8397,1.00122,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[16,2]",0.30772,0.00108208,0.109313,0.104579,0.145164,0.298942,0.496771,9471.17,4984.62,20.7653,1.00074,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[16,3]",0.0236441,0.000393538,0.0335883,0.0148687,0.000592609,0.0124902,0.0839482,8428.38,5680.29,18.479,1.00026,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[17,1]",0.320988,0.00506752,0.281,0.233096,0.01829,0.216688,0.895814,3345.07,4101.09,7.33397,1.00241,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[17,2]",0.185792,0.00168109,0.125496,0.0974673,0.0485512,0.155662,0.434589,4804.03,5583.25,10.5327,1.00007,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[17,3]",0.177178,0.00311263,0.203742,0.122265,0.00461144,0.103667,0.651993,4121.52,5012.26,9.03633,1.00136,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[18,1]",0.485273,0.00369564,0.218305,0.211689,0.212931,0.431097,0.926028,4019.32,3354.87,8.81226,1.00069,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[18,2]",0.730595,0.00328414,0.243843,0.218049,0.407205,0.693295,1.1965,5206.53,6069.34,11.4152,1.0002,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[18,3]",0.0149361,0.000148874,0.0146911,0.0112695,0.000622019,0.0102786,0.0446033,8579.06,6125.01,18.8093,0.999812,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[19,1]",0.0713574,0.00188321,0.104315,0.0445141,0.00266229,0.0405647,0.236848,4584.81,4134.93,10.0521,1.00026,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[19,2]",0.170502,0.00106179,0.0913863,0.0765955,0.0576008,0.153588,0.341981,6339.97,4692.23,13.9002,1.00038,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[19,3]",0.312555,0.00329871,0.244821,0.217232,0.0305223,0.244206,0.832351,6225.42,5387.69,13.6491,1.00075,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[20,1]",0.801503,0.00189233,0.147552,0.172223,0.531196,0.824998,0.990868,5393.65,4807.02,11.8254,1.00024,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[20,2]",1.33177,0.00257791,0.273952,0.261676,0.920688,1.30768,1.82041,11341.3,6085.03,24.8654,1.00004,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[20,3]",0.0049556,7.16658e-05,0.00669104,0.00300718,0.000115963,0.00248517,0.0179924,9171.88,5193.82,20.1091,1.00008,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[21,1]",0.12266,0.0021977,0.142822,0.0849133,0.0038979,0.0757732,0.398903,3933.47,4833.17,8.62404,1.00073,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[21,2]",0.231986,0.00193776,0.156667,0.120327,0.058792,0.190235,0.542006,5815.69,5382.39,12.7507,1.00022,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[21,3]",0.257814,0.00380742,0.266233,0.191078,0.00618294,0.156186,0.863412,4307.57,5228.33,9.44423,1.00015,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[22,1]",0.564416,0.00456014,0.30052,0.385548,0.0536452,0.597784,0.976744,4360.32,4763.65,9.55987,1.00184,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[22,2]",0.201135,0.00118651,0.110679,0.108719,0.0532464,0.183531,0.406818,8035.84,5268.42,17.6184,1.00066,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[22,3]",0.0635724,0.00164298,0.119139,0.0279462,0.000754637,0.0214847,0.260229,8165.52,5653.07,17.9027,1.00031,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[23,1]",0.883211,0.00113123,0.108769,0.0886072,0.658777,0.91773,0.994078,7804.03,5728.79,17.1101,0.999942,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[23,2]",0.801268,0.00139704,0.158943,0.159502,0.553437,0.792186,1.07182,13150.6,5675.07,28.8322,1.00029,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[23,3]",0.00553222,8.28874e-05,0.00760436,0.00336047,0.000131035,0.0027978,0.0208003,9315.18,6395.72,20.4233,1.00014,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[24,1]",0.902736,0.00108801,0.0974687,0.0764579,0.701315,0.934034,0.996846,7472.84,5418.38,16.384,1.00054,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[24,2]",1.2218,0.00239813,0.240827,0.235696,0.860443,1.20341,1.64167,10200.6,6594.09,22.3645,1.00017,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[24,3]",0.00345008,5.82693e-05,0.00542591,0.00178221,5.4452e-05,0.00140284,0.0140587,9191.0,5857.55,20.151,1.00012,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[25,1]",0.234378,0.00235296,0.139798,0.145537,0.0203392,0.228723,0.47694,3087.24,2443.0,6.76869,1.00094,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[25,2]",0.465669,0.00346219,0.23533,0.212296,0.168917,0.420797,0.916392,3929.97,4514.85,8.61636,1.00044,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[25,3]",0.364618,0.00274103,0.206736,0.199158,0.0901358,0.327765,0.7831,5702.1,4375.42,12.5017,1.00041,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[26,1]",0.459963,0.00404449,0.278534,0.316864,0.072852,0.410086,0.950047,4714.28,3591.69,10.3359,1.00221,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[26,2]",0.280658,0.00213296,0.170729,0.144982,0.0709479,0.24736,0.606224,5731.93,5214.29,12.5671,1.00021,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[26,3]",0.0683267,0.00182258,0.123627,0.0312759,0.00127775,0.0252819,0.281549,6636.54,5178.5,14.5504,1.00036,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[27,1]",0.0627387,0.00126877,0.0815866,0.0413734,0.00235086,0.0413152,0.195889,5264.43,4197.32,11.5421,1.00177,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[27,2]",0.259226,0.00569634,0.255942,0.103921,0.0565107,0.159627,0.821378,1950.84,4409.87,4.27715,1.00127,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[27,3]",0.339319,0.00718743,0.32973,0.333347,0.00258885,0.233872,0.931165,1946.06,4550.37,4.26669,1.00129,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[28,1]",0.230459,0.00462671,0.219816,0.106773,0.0384897,0.138462,0.753998,2628.45,3382.62,5.7628,1.00196,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[28,2]",0.409098,0.00578088,0.305838,0.263318,0.0698112,0.32497,1.0167,2442.66,4396.75,5.35546,1.00255,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[28,3]",0.128375,0.00340365,0.190065,0.0572202,0.00180354,0.0437593,0.569295,3102.82,4790.66,6.80286,1.00094,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[29,1]",0.0219477,0.000212895,0.0196001,0.0159948,0.0014607,0.0161965,0.0617807,6825.14,5100.9,14.9639,1.00047,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[29,2]",0.755183,0.00534573,0.344236,0.206835,0.419333,0.659618,1.45892,5548.8,4981.27,12.1656,1.00096,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[29,3]",0.395099,0.00360285,0.263053,0.293964,0.0417435,0.346241,0.890343,4402.37,4426.82,9.65208,1.00083,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[30,1]",0.886299,0.00112365,0.107777,0.0894888,0.662317,0.92052,0.995648,7672.26,5702.31,16.8212,1.00064,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[30,2]",1.09301,0.00202257,0.222339,0.217824,0.755964,1.07334,1.48625,12124.1,6335.2,26.5817,1.0002,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[30,3]",0.00380238,5.82672e-05,0.00550873,0.00220444,6.82409e-05,0.00175814,0.0144775,8622.91,5775.81,18.9055,1.00029,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[31,1]",0.777641,0.00239229,0.195206,0.178542,0.377364,0.83108,0.989271,6177.55,5009.76,13.5441,1.0006,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[31,2]",0.276815,0.000981383,0.0993761,0.09905,0.124774,0.270985,0.446865,9577.29,4921.9,20.9979,1.00168,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[31,3]",0.0301901,0.000515964,0.0458705,0.0159664,0.000314124,0.0120079,0.118572,7855.45,5865.81,17.2229,1.00008,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[32,1]",0.0563773,0.00060401,0.0528947,0.0449749,0.00233646,0.0408649,0.163869,5911.59,4417.09,12.961,1.00014,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[32,2]",0.484226,0.00250218,0.203016,0.151334,0.258101,0.433781,0.884078,8068.54,5982.78,17.6901,1.00035,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[32,3]",0.404625,0.00290482,0.241703,0.26558,0.0774038,0.367064,0.85848,6347.92,5425.24,13.9177,1.00017,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[33,1]",0.709257,0.00250914,0.175506,0.213537,0.419683,0.710991,0.977558,4621.43,3924.58,10.1324,1.00031,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[33,2]",1.03011,0.00236005,0.222426,0.21408,0.700133,1.00863,1.41597,8563.46,5700.61,18.7752,0.999916,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[33,3]",0.00807277,0.000109638,0.0104622,0.00513456,0.000183713,0.00422802,0.0293187,8292.89,6206.18,18.1819,1.00081,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[34,1]",0.235024,0.00180592,0.111256,0.102083,0.0759608,0.222403,0.433296,3413.49,2557.54,7.48399,1.00194,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[34,2]",0.601818,0.00364261,0.275817,0.265431,0.216821,0.570686,1.10553,4601.99,2910.02,10.0897,1.0001,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[34,3]",0.279351,0.00251397,0.171164,0.14584,0.0616016,0.245396,0.620124,4462.46,3879.03,9.78381,1.00041,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[35,1]",0.430215,0.00347004,0.246183,0.234095,0.0881796,0.379448,0.914611,5049.39,3666.63,11.0706,1.00202,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[35,2]",0.414196,0.0034144,0.261688,0.224864,0.0934012,0.358496,0.921427,4846.55,4035.8,10.6259,1.00027,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[35,3]",0.0513352,0.00154202,0.0973544,0.0247405,0.000972724,0.0201535,0.197901,7456.82,5352.82,16.3489,0.999802,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[36,1]",0.325341,0.00496396,0.279,0.242617,0.0164863,0.232973,0.90831,3251.91,4774.17,7.12972,1.00168,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[36,2]",0.139886,0.0010229,0.0836027,0.0712224,0.0388581,0.122389,0.299571,6171.94,5415.5,13.5318,1.00029,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[36,3]",0.143318,0.0029001,0.198454,0.0795313,0.00244751,0.0638055,0.611797,5009.42,5575.99,10.983,1.00009,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[37,1]",0.907737,0.00100037,0.0909247,0.070303,0.721444,0.937547,0.996765,6772.88,5992.89,14.8494,1.00005,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[37,2]",1.46762,0.00254645,0.291162,0.283165,1.03097,1.44344,1.98473,12711.9,6074.3,27.8705,1.00019,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[37,3]",0.00376936,6.21893e-05,0.00580906,0.00203041,7.049e-05,0.00163532,0.0149817,9906.7,5870.22,21.7202,0.99982,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[38,1]",0.288484,0.00397605,0.220277,0.183394,0.0441645,0.225855,0.766141,3145.81,3498.53,6.8971,1.00107,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[38,2]",0.299254,0.00274189,0.190056,0.16637,0.0706922,0.257529,0.674884,3966.82,4684.43,8.69714,1.0005,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[38,3]",0.154945,0.00313715,0.177457,0.10599,0.0054423,0.096773,0.538746,3477.82,4392.61,7.62502,1.00183,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[39,1]",0.201225,0.00195329,0.107061,0.0813652,0.0812241,0.177327,0.405091,3434.53,3649.12,7.53011,1.00098,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
"natural[39,2]",1.10659,0.0071718,0.495197,0.508467,0.348495,1.07111,1.98203,4168.77,2978.83,9.13991,1.0006,H8_full_age_attempt99_short,111,0,4,2000,2000,0.99,0,0.7362529883240674,True
