model,n,k,log_likelihood,AIC,AICc,BIC,pseudo_r2_fareri,pseudo_r2_mcfadden,converged,n_starts,n_converged,n_near_best,boundary_parameters,optimizer_message,participant_id,kappa,alpha,theta,theta_stranger,alpha_negative,phi,base_model,theta_upper,theta_at_upper,theta_near_upper,theta_stranger_at_upper,theta_stranger_near_upper,kappa_theta
M5_theta5,42,3,-25.07251276755334,56.14502553510668,56.7766044824751,61.358034389956785,0.0357125010704448,0.1387621468482279,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,0.1751135565000602,0.0,5.0,,,,M5,5,True,True,False,False,0.875567782500301
M6_theta5,42,3,-14.7546086994248,35.5092173988496,36.14079634621802,40.7222262536997,0.3901312875337093,0.4931809333114925,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,0.3550056274874235,0.0,5.0,,,,M6,5,True,True,False,False,1.7750281374371175
M7_theta5,42,4,-14.754608699424796,37.50921739884959,38.590298479930674,44.459895871983065,0.3557814056077817,0.4931809333114926,True,100,100,100,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,0.3550056290833979,0.0,5.0,5.0,,,M7,5,True,True,True,True,1.7750281454169894
M4_theta5,42,3,-0.0,6.0,6.631578947368421,11.213008854850106,0.8969503542222169,1.0,True,100,100,100,alpha;kappa;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10486,20.0,0.0,5.0,,,,M4,5,True,True,False,False,100.0
M5_theta5,81,3,-52.364233915432486,110.72846783086496,111.04015614255329,117.91181529488227,0.0139048677480121,0.0673380174105664,True,100,100,94,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,0.1096133701688756,0.0492484026847719,5.0,,,,M5,5,True,True,False,False,0.548066850844378
M6_theta5,81,3,-52.316624876697624,110.63324975339523,110.94493806508356,117.81659721741256,0.0147528347120156,0.0681859843745698,True,100,100,93,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,0.069978792139884,0.0219465822724144,5.0,,,,M6,5,True,True,False,False,0.34989396069942
M7_theta5,81,4,-51.27731448976528,110.55462897953056,111.08094476900423,120.13242559822032,0.0154529939747651,0.0866971935248375,True,100,100,96,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10529,0.11617891566715,0.0493698977025493,5.0,1.8338945576837105,,,M7,5,True,True,False,False,0.58089457833575
M4_theta5,81,3,-50.784157421184894,107.5683148423698,107.8800031540581,114.7516623063871,0.0420476890131507,0.0954808386757049,True,100,100,100,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10529,4.273456878347399,0.0085910079556749,0.7001245528509893,,,,M4,5,False,False,False,False,2.991952086080957
M5_theta5,82,3,-54.93156597811495,115.8631319562299,116.1708242639222,123.08328969802268,-0.019238816433637,0.0335427094525445,True,100,100,77,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,0.0615764975297594,0.1268474907991559,5.0,,,,M5,5,True,True,False,False,0.307882487648797
M6_theta5,82,3,-55.099933271631826,116.19986654326364,116.50755885095596,123.4200242850564,-0.0222010439873527,0.0305804818988287,True,100,100,86,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,0.0426941337850197,0.2592056180978422,5.0,,,,M6,5,True,True,False,False,0.21347066892509847
M7_theta5,82,4,-54.72196313115312,117.44392626230623,117.96340678178676,127.07080325136326,-0.0331449390314532,0.0372304288167889,True,100,100,89,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,0.0637071985452011,0.1544876622714985,5.0,1.718434218192222,,,M7,5,True,True,False,False,0.3185359927260055
M4_theta5,82,3,-50.33474428412861,106.6694885682572,106.97718087594951,113.88964631004995,0.0616369379781301,0.1144184638643117,True,100,100,91,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10541,0.1073962495944253,0.2139662241590919,5.0,,,,M4,5,True,True,False,False,0.5369812479721265
M5_theta5,41,3,-20.982851377511093,47.965702755022185,48.61435140367083,53.10641895513511,0.1560990061289683,0.2616620579013314,True,100,100,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10555,0.4080763992472632,0.7508088500128133,5.0,,,,M5,5,True,True,False,False,2.040381996236316
M6_theta5,41,3,-22.86558532520524,51.73117065041048,52.37981929905912,56.87188685052339,0.089849959064294,0.1954130108366571,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10555,0.3699643890017565,0.6103420210062108,1.4100532243935762,,,,M6,5,False,False,False,False,0.521669479622726
M7_theta5,41,4,-20.75340312419226,49.50680624838452,50.617917359495635,56.36109451520176,0.1289850748195719,0.2697358105160562,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10555,0.3947844395386683,0.7458234399840444,5.0,0.4158167616666166,,,M7,5,True,True,False,False,1.9739221976933417
M4_theta5,41,3,-18.155960455898185,42.31192091179637,42.960569560445016,47.4526371119093,0.2555707503666505,0.3611338021390137,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10555,0.7493765712712708,0.4479946912669542,1.4773534777861936,,,,M4,5,False,False,False,False,1.1070940837391052
M5_theta5,78,3,-22.208616561611525,50.41723312322305,50.74155744754737,57.48735960329182,0.533739152549893,0.5892274233533148,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10559,2.8305015729842156,0.0716156885461075,0.4011878484363401,,,,M5,5,False,False,False,False,1.1355628360612138
M6_theta5,78,3,-23.301764458967344,52.60352891793469,52.92785324225901,59.67365539800346,0.5135201903643362,0.5690084611677578,True,100,100,98,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10559,3.312338188908978,0.0297639318044195,0.257872218385347,,,,M6,5,False,False,False,False,0.8541599968164607
M7_theta5,78,4,-20.97846001580052,49.95692003160104,50.50486523708049,59.38375533835941,0.5379961487969401,0.611980509868169,True,100,100,97,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10559,4.479712051481577,0.0465473617313633,0.4850082316376931,0.2088408241614011,,,M7,5,False,False,False,False,2.172697220335142
M4_theta5,78,3,-18.218851552255227,42.437703104510454,42.76202742883478,49.50782958457923,0.607534206310286,0.6630224771137075,True,100,100,98,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10559,17.42993034810811,0.0197640179528918,0.7705309735435196,,,,M4,5,False,False,False,False,13.430301199923479
M5_theta5,83,3,-53.946085561975366,113.89217112395072,114.19596859230516,121.14869294734052,0.0101706597795125,0.0623162636670654,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10572,0.5839978517761568,0.0,0.3273651743715463,,,,M5,5,False,False,False,False,0.19118055857931002
M6_theta5,83,3,-54.175352732982134,114.35070546596428,114.6545029343187,121.60722728935406,0.0061855680849329,0.0583311719724858,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10572,0.6408833941643836,0.0,0.2136485473152487,,,,M6,5,False,False,False,False,0.13692380616168648
M7_theta5,83,4,-53.918169819885414,115.83633963977084,116.34916015259134,125.51170207095724,-0.0067259804399218,0.0628014914101486,True,100,100,94,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10572,0.6408833960190999,0.0,0.3426884467387617,0.0871556346911382,,,M7,5,False,False,False,False,0.21962333552244806
M4_theta5,83,3,-53.94608556197538,113.89217112395076,114.1959685923052,121.14869294734056,0.0101706597795122,0.0623162636670651,True,100,99,97,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10572,2.1134423633402086,0.0,0.4522966109869884,,,,M4,5,False,False,False,False,0.9559028184551078
M5_theta5,79,3,-42.14396032535754,90.28792065071508,90.60792065071507,97.39626420811616,0.1755826875002349,0.2303685751289297,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10581,0.6654171568944445,0.0246244257971519,1.6642223729125758,,,,M5,5,False,False,False,False,1.1074021198236121
M6_theta5,79,3,-46.028898425861534,98.05779685172308,98.37779685172306,105.16614040912413,0.1046360934273526,0.1594219810560474,True,100,100,90,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10581,1.2526267201384718,0.0404978695892076,0.6433951602717075,,,,M6,5,False,False,False,False,0.8059339693641153
M7_theta5,79,4,-40.62336605607328,89.24673211214656,89.78727265268711,98.72452352201464,0.1850897605459515,0.2581376107175447,True,100,100,98,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10581,1.2455213674582055,0.0,1.1902306023062734,0.3801855938778474,,,M7,5,False,False,False,False,1.4824576473751132
M5_theta5,83,3,-52.89281299562917,111.78562599125834,112.08942345961276,119.04214781464812,0.0284785044562841,0.080624108343837,True,100,100,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10584,0.4729356593013158,0.0872313323738256,0.0,,,,M5,5,False,False,False,False,0.0
M6_theta5,83,3,-52.89281299562916,111.78562599125831,112.08942345961276,119.0421478146481,0.0284785044562844,0.0806241083438372,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10584,0.4729356546950656,0.0872313366310017,0.0,,,,M6,5,False,False,False,False,0.0
M7_theta5,83,4,-51.98230301892115,111.9646060378423,112.4774265506628,121.6399684690287,0.0269230006874603,0.0964504725375309,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10584,0.6432776943452334,0.0453368161720586,0.0,0.4049279278923852,,,M7,5,False,False,False,False,0.0
M4_theta5,83,3,-52.86559400986533,111.73118801973068,112.0349854880851,118.98770984312046,0.0289516212729048,0.0810972251604577,True,100,100,94,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10584,0.5828581165925619,0.0695649368109657,0.1435722319368636,,,,M4,5,False,False,False,False,0.08368224070171079
M5_theta5,84,3,-51.54561235688674,109.09122471377349,109.39122471377348,116.38367511030344,0.0631823279817587,0.1147071508706503,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10585,0.1618337092950863,0.1559341285856781,5.0,,,,M5,5,True,True,False,False,0.8091685464754316
M6_theta5,84,3,-50.03123365902835,106.0624673180567,106.3624673180567,113.35491771458663,0.0891916927130466,0.1407165156019382,True,100,100,92,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10585,0.1089945991286238,0.0,5.0,,,,M6,5,True,True,False,False,0.5449729956431191
M7_theta5,84,4,-48.65385045758077,105.30770091516156,105.8140300290856,115.0309681105348,0.0956732269183231,0.1643729907701785,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10585,0.1786578294921307,0.1168099597642599,5.0,2.0333489949270356,,,M7,5,True,True,False,False,0.8932891474606535
M4_theta5,84,3,-49.560646820968515,105.12129364193704,105.42129364193704,112.41374403846696,0.0972739938746722,0.1487988167635637,True,100,100,99,alpha,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10585,3.11851587363169,0.0,0.6616998746908398,,,,M4,5,False,False,False,False,2.063521562803484
M5_theta5,84,3,-50.08389088340411,106.16778176680825,106.46778176680824,113.46023216333818,0.0882873079931193,0.1398121308820109,True,100,100,99,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10589,0.178102686898699,0.0659341272543035,5.0,,,,M5,5,True,True,False,False,0.890513434493495
M6_theta5,84,3,-51.89421117009574,109.78842234019147,110.08842234019149,117.08087273672142,0.0571951639451349,0.1087199868340265,True,100,100,91,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10589,0.0927524501535,0.0,5.0,,,,M6,5,True,True,False,False,0.4637622507675
M7_theta5,84,4,-48.76192207249327,105.52384414498654,106.0301732589106,115.2471113403598,0.0938171033124288,0.1625168671642842,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10589,0.1935519632211388,0.0486133755180836,5.0,1.22838447198083,,,M7,5,True,True,False,False,0.967759816105694
M4_theta5,84,3,-49.22577753550274,104.45155507100549,104.75155507100548,111.74400546753544,0.1030253540828567,0.1545501769717482,True,100,100,90,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10589,1.2628384100324517,0.0059422369504604,2.5912753941590383,,,,M4,5,False,False,False,False,3.2723620987160142
M5_theta5,84,3,-36.55495521814172,79.10991043628344,79.40991043628344,86.40236083281339,0.3206459793357371,0.3721708022246286,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10590,0.8841208341571601,0.1844117678690971,2.9309710295075924,,,,M5,5,False,False,False,False,2.591332551498723
M6_theta5,84,3,-44.401658049025,94.80331609805,95.10331609805,102.09576649457996,0.1858793214613954,0.2374041443502869,True,100,100,71,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10590,2.11001490508387,0.0,0.6383871390638207,,,,M6,5,False,False,False,False,1.3470063786385111
M7_theta5,84,4,-33.834005632252136,75.66801126450427,76.17434037842833,85.39127845987753,0.3502031868736278,0.4189029507254831,True,100,100,99,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10590,1.8847328174558369,0.0736416553532504,1.334389560331822,0.3678818875004713,,,M7,5,False,False,False,False,2.5149677956278507
M4_theta5,84,3,-39.43408814733024,84.86817629466049,85.16817629466048,92.16062669119044,0.271197041252399,0.3227218641412905,True,100,100,74,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10590,3.3247346886403366,0.0057669623391546,0.6693857845702614,,,,M4,5,False,False,False,False,2.2255301380434758
M5_theta5,82,3,-46.141667750325546,98.28333550065108,98.5910278083434,105.50349324244384,0.1354092638486857,0.1881907897348672,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10596,0.2276976058413397,0.0,5.0,,,,M5,5,True,True,False,False,1.1384880292066986
M6_theta5,82,3,-33.25412082977358,72.50824165954717,72.81593396723947,79.72839940133993,0.3621507276475167,0.4149322535336983,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10596,0.313851149311847,0.0,4.29890800159652,,,,M6,5,False,False,False,False,1.3492172170869632
M7_theta5,82,4,-32.59405339775564,73.18810679551127,73.7075873149918,82.81498378456828,0.3561700077686831,0.4265453756169253,True,100,100,100,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10596,0.3626954497658708,0.0,5.0,3.1126870370112525,,,M7,5,True,True,False,False,1.813477248829354
M4_theta5,82,3,-32.58990728028724,71.17981456057448,71.48750686826679,78.39997230236725,0.3738367958662387,0.4266183217524203,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10596,1.921081568301069,0.0,1.3998976039360398,,,,M4,5,False,False,False,False,2.689317484430356
M5_theta5,84,3,-48.04724220195224,102.09448440390447,102.39448440390449,109.38693480043442,0.1232666288593535,0.174791451748245,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10603,0.7972446278551906,0.0677972381486625,1.0383876287151088,,,,M5,5,False,False,False,False,0.8278489586244108
M6_theta5,84,3,-54.95726809177087,115.91453618354174,116.21453618354174,123.20698658007169,0.0045873421491667,0.0561121650380583,True,100,100,82,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10603,0.6786649605418564,0.0645022153502981,0.4575465795867546,,,,M6,5,False,False,False,False,0.3105208313813062
M7_theta5,84,4,-48.04724220195224,104.09448440390447,104.60081351782854,113.81775159927774,0.1060916878963895,0.1747914517482449,True,100,100,99,theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10603,0.7972446305082966,0.0677972390656195,1.0383876336988918,0.0,,,M7,5,False,False,False,False,0.8278489653526574
M4_theta5,84,3,-54.36724085761519,114.73448171523036,115.03448171523036,122.02693211176032,0.0147210250623315,0.066245847951223,True,100,100,73,,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10603,1.289679355158489,0.0444872246942104,0.4898536645004115,,,,M4,5,False,False,False,False,0.6317541581549135
M5_theta5,81,3,-47.10882875321356,100.21765750642712,100.52934581811544,107.40100497044445,0.1075091512714135,0.1609423009339676,True,100,100,89,alpha;theta,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10606,0.1937721100284074,0.0,5.0,,,,M5,5,True,True,False,False,0.9688605501420371
M6_theta5,81,3,-31.48586131841153,68.97172263682306,69.28341094851137,76.15507010084038,0.3857706036437426,0.4392037533062968,True,100,100,99,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10606,0.2924506878004068,0.0,5.0,,,,M6,5,True,True,False,False,1.4622534390020339
M7_theta5,81,4,-31.48586131841153,70.97172263682306,71.49803842629674,80.54951925551282,0.3679595537562245,0.4392037533062968,True,100,100,99,alpha;theta;theta_stranger,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10606,0.2924506877805112,0.0,5.0,5.0,,,M7,5,True,True,True,True,1.462253438902556
M4_theta5,81,3,-12.796306169299802,31.592612338599604,31.904300650287915,38.77595980261693,0.7186512027800918,0.772084352442646,True,100,100,85,alpha;theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10606,0.6456611016666285,0.0,5.0,,,,M4,5,True,True,False,False,3.2283055083331424
M5_theta5,42,3,-4.332544791765512,14.665089583531024,15.296668530899446,19.87809843838113,0.7481279521862785,0.8511775979640617,True,100,100,100,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10608,4.141817525995345,0.2449486216053998,5.0,,,,M5,5,True,True,False,False,20.70908762997672
M6_theta5,42,3,-21.890938710399865,49.78187742079973,50.41345636816814,54.99488627564983,0.1449991942722616,0.2480488400500448,True,100,100,100,alpha,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10608,3.3355934420468354,0.0,0.5136512920462952,,,,M6,5,False,False,False,False,1.713331881248506
M7_theta5,42,4,-4.299474368694945,16.59894873738989,17.68002981847097,23.54962721052336,0.7149140353880653,0.8523135630917761,True,100,100,98,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10608,4.344181644622994,0.2244686487361265,5.0,0.0579929394601664,,,M7,5,True,True,False,False,21.720908223114968
M4_theta5,42,3,-9.290328665735489,24.580657331470977,25.212236278839395,29.79366618632108,0.5778286615011415,0.6808783072789246,True,100,100,95,kappa,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,sub-10608,20.0,0.0051027049872618,0.585818706329468,,,,M4,5,False,False,False,False,11.71637412658936
M5_theta5,42,3,-27.439877057619615,60.87975411523923,61.51133306260765,66.09276297008934,-0.0456061827689892,0.0574434630087938,True,100,100,97,theta,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10617,0.1187643895214471,0.3167878927758372,5.0,,,,M5,5,True,True,False,False,0.5938219476072355
M6_theta5,42,3,-26.83564296928928,59.67128593857856,60.302864885946974,64.88429479342867,-0.0248508131792216,0.0781988325985614,True,100,100,97,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10617,0.2814443586134658,0.0423836346400296,1.7276461003980617,,,,M6,5,False,False,False,False,0.4862362486375878
M7_theta5,42,4,-26.511240099826846,61.02248019965369,62.10356128073477,67.97315867278716,-0.0480574948426826,0.0893420328610281,True,100,100,100,,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,sub-10617,0.3029475304483815,0.0874898867168661,2.3083422201805255,1.2469074053586406,,,M7,5,False,False,False,False,0.6993065750334243
